assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,7,0,2.7,543,0.01,0.09,0.08,1.24,2,2,0,2.4,12.2,2024-08-17,90,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,18088,1,0,2,9.0,1,0,0,0,45,False,0,0,2,0.0850898697972297,90,DR,Arsenal,Wolverhampton Wanderers,2,0,26604,2024,666310,0.0,0,0,0,0.0850898697972297,0.3334283828735351,0.2483385056257248,Wolverhampton Wanderers
1,0,0,-8,0,11.8,543,0.06,0.06,0.0,1.56,20,6,0,3.7,18.8,2024-08-25,90,0,0,0,0,0,0,0,False,6,0,0,0,0,2,0,21053,1,6,2,6.0,-1,-721,875,1596,45,True,0,0,0,0.0,90,DR,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668733,0.0946553125977516,0,1,0,0.0,0.6720187067985535,0.6720187067985535,Wolverhampton Wanderers
2,0,0,3,0,0.0,543,0.0,0.0,0.0,0.35,29,0,0,0.7,7.4,2024-08-31,15,0,0,0,0,0,0,0,False,16,0,0,0,0,3,0,21002,0,1,1,0.0,1,-1173,1195,2368,45,False,0,0,0,0.0,13,Sub,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671870,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers
3,0,0,0,0,1.5,543,0.01,0.01,0.0,0.46,40,1,0,0.4,2.4,2024-09-15,13,0,0,0,0,0,0,0,False,15,0,0,0,0,4,0,20250,0,2,1,0.0,1,-1542,596,2138,45,True,0,0,0,0.0,11,Sub,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674621,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers
4,0,0,3,0,0.0,543,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2024-11-09,1,0,0,0,0,0,0,0,False,17,0,0,0,0,11,0,16382,0,0,2,0.0,1,-422,207,629,43,True,0,0,0,0.0,1,Sub,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686673,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers
5,0,0,3,0,0.0,543,0.0,0.0,0.0,0.06,115,0,0,0.0,0.0,2024-11-23,3,0,0,0,0,0,0,0,False,9,0,0,0,0,12,0,16308,0,4,1,0.0,1,-204,299,503,43,False,0,0,0,0.0,1,Sub,Fulham,Wolverhampton Wanderers,1,4,26717,2024,688417,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers
6,0,0,2,0,32.8,543,0.29,0.29,0.0,0.59,134,4,0,4.3,6.6,2024-12-04,76,0,0,0,0,0,0,0,False,8,0,0,0,0,14,0,16327,1,0,4,4.0,0,-105,353,458,43,False,0,0,0,0.0,83,DMR,Everton,Wolverhampton Wanderers,4,0,26735,2024,691588,0.7663055658340454,0,3,0,0.0,0.7838451862335205,0.0175396129488945,Wolverhampton Wanderers
7,0,0,20,0,16.3,543,0.08,0.59,0.51,1.01,150,2,1,10.8,54.0,2024-12-09,90,0,0,0,0,0,0,0,False,19,0,0,0,0,15,0,16171,1,1,2,38.0,6,-215,298,513,43,False,1,1,4,0.6056631803512573,90,DMR,West Ham,Wolverhampton Wanderers,2,1,26746,2024,693282,0.3161773383617401,0,1,1,0.6056631803512573,1.033366322517395,0.5971542000770569,Wolverhampton Wanderers
8,0,0,5,0,3.1,543,0.06,0.06,0.0,0.94,160,1,0,0.6,2.8,2024-12-14,63,0,0,0,0,0,0,0,False,10,1,0,0,0,16,0,21551,1,2,1,0.0,0,4797,5407,610,43,True,0,0,0,0.0,67,DMR,Wolverhampton Wanderers,Ipswich,1,2,26758,2024,693604,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers
9,1,1,37,1,12.1,543,0.03,0.03,0.0,0.81,167,0,0,4.4,27.8,2024-12-22,90,0,0,0,0,0,0,0,False,11,0,0,0,0,17,0,20455,1,3,0,4.0,10,-944,1095,2039,43,False,0,0,0,0.0,90,DC,Leicester,Wolverhampton Wanderers,0,3,26770,2024,695677,0.2990841269493103,1,1,0,0.0,0.465374231338501,0.1662901192903518,Wolverhampton Wanderers
