assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
14,0,0,10,0,17.8,23,0.15,0.17,0.02,0.04,145,1,0,5.0,9.0,2024-12-08,59,0,0,0,0,0,0,0,False,9,0,0,0,0,15,0,195311,1,1,1,23.0,1,-2775,9299,12074,68,False,0,0,1,0.057154219597578,61,FWL,Fulham,Arsenal,1,1,26749,2024,692736,0.1002670153975486,0,2,0,0.057154219597578,0.2097679674625396,0.0523467250168323,Arsenal
15,0,0,4,0,19.2,23,0.17,0.17,0.0,0.0,151,0,0,2.6,6.6,2024-12-14,16,0,0,0,0,0,0,0,False,8,0,0,0,0,16,0,193572,0,0,0,0.0,1,-2954,10975,13929,68,True,0,0,0,0.0,15,Sub,Arsenal,Everton,0,0,26755,2024,693735,0.0430638529360294,0,1,0,0.0,0.1084465682506561,0.1084465682506561,Arsenal
16,0,0,9,1,16.3,23,0.12,0.14,0.02,0.84,163,0,0,3.6,10.0,2024-12-21,66,0,0,0,0,0,0,0,False,7,0,0,0,0,17,0,179962,0,5,1,10.0,3,-14072,3248,17320,68,False,0,0,1,0.0333160869777202,67,Sub,Crystal Palace,Arsenal,1,5,26765,2024,695506,0.4359996914863586,0,1,0,0.0333160869777202,0.564693808555603,0.5313777327537537,Arsenal
17,1,0,31,1,30.1,23,0.5,0.65,0.15,0.16,171,0,0,7.9,28.8,2024-12-27,90,0,0,0,0,0,0,0,False,10,0,0,0,0,18,0,199242,1,0,1,20.0,6,17443,29596,12153,68,True,0,0,2,0.1263590902090072,90,FWL,Arsenal,Ipswich,1,0,26773,2024,696406,1.061937928199768,1,2,0,0.1263590902090072,1.2214101552963257,0.0331131443381309,Arsenal
18,0,0,2,0,0.3,23,0.0,0.0,0.0,0.0,182,0,0,0.1,0.2,2025-01-01,12,0,0,0,0,0,0,0,False,4,0,0,0,0,19,0,218446,0,3,1,0.0,1,18649,27954,9305,68,False,0,0,0,0.0,8,Sub,Brentford,Arsenal,1,3,26783,2024,697037,0.0,0,0,0,0.0,0.0,0.0,Arsenal
19,0,0,13,0,4.9,23,0.07,0.16,0.09,1.52,193,1,0,1.8,2.8,2025-01-04,90,0,0,0,0,0,0,0,False,5,0,0,0,0,20,0,203827,1,1,1,10.0,2,-14444,11407,25851,68,False,0,0,3,0.1234403401613235,90,FWL,Brighton,Arsenal,1,1,26794,2024,697393,0.0,0,0,0,0.1234403401613235,0.1234403401613235,0.0,Arsenal
20,0,2,26,0,13.5,23,0.03,0.3,0.27,0.57,201,1,1,8.6,34.2,2025-01-15,76,0,0,0,0,0,0,0,False,18,0,0,0,0,21,0,184871,1,1,2,38.0,9,-19876,3755,23631,68,True,0,1,3,0.5369507074356079,81,FWL,Arsenal,Tottenham,2,1,26802,2024,699515,0.1003583520650863,0,1,1,0.5369507074356079,0.7989161610603333,0.1616071164608001,Arsenal
21,2,3,37,0,46.1,23,0.43,0.63,0.2,1.04,211,2,0,13.7,48.2,2025-01-18,90,0,0,0,0,0,0,0,False,2,0,0,0,0,22,0,198615,1,2,2,43.0,10,11995,19303,7308,68,True,1,0,6,0.2330348044633865,90,FWL,Arsenal,Aston Villa,2,2,26812,2024,700184,0.933696746826172,2,3,0,0.2330348044633865,1.3573566675186155,0.8276500105857849,Arsenal
22,0,0,18,1,31.7,23,0.23,0.23,0.0,0.74,230,0,0,4.8,12.6,2025-01-25,90,0,0,0,0,0,0,0,False,20,0,0,0,0,23,0,281770,1,1,0,4.0,3,77338,89087,11749,68,False,0,0,0,0.0,90,FWL,Wolverhampton Wanderers,Arsenal,0,1,26831,2024,701461,0.3502589464187622,0,2,0,0.0,0.3712012767791748,0.020942322909832,Arsenal
23,0,0,6,0,1.8,23,0.01,0.01,0.0,0.81,231,1,0,0.8,6.4,2025-02-02,83,0,0,0,0,0,0,0,False,13,0,0,0,0,24,0,262470,1,1,5,0.0,2,-16892,19266,36158,68,True,0,0,0,0.0,85,FWL,Arsenal,Manchester City,5,1,26833,2024,704200,0.0,0,0,0,0.0,0.5283109545707703,0.5283109545707703,Arsenal
