assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,4,1,15.2,612,0.03,0.08,0.05,1.0,19,0,0,3.7,6.2,2024-08-24,65,0,0,0,0,0,0,0,False,8,0,0,0,0,2,0,2391,1,0,4,16.0,3,236,558,322,55,True,0,0,1,0.0764976516366005,69,FWL,Tottenham,Everton,4,0,26617,2024,667985,0.0185774713754653,0,1,0,0.0764976516366005,0.8798908591270447,0.8033932447433472,Tottenham
1,0,0,4,0,13.8,612,0.03,0.38,0.35,0.63,28,1,0,3.5,1.4,2024-09-01,73,0,0,0,0,0,0,0,False,15,0,0,0,0,3,0,5258,1,1,2,20.0,2,1915,2891,976,55,False,0,0,4,0.646691620349884,79,FWR,Newcastle United,Tottenham,2,1,26629,2024,672478,0.0152381295338273,0,1,0,0.646691620349884,0.646691620349884,0.0,Tottenham
2,0,0,4,0,11.5,612,0.02,0.04,0.02,0.0,39,0,0,2.0,2.4,2024-09-15,22,0,0,0,0,0,0,0,False,1,0,0,0,0,4,0,6366,0,1,0,6.0,1,473,2016,1543,55,True,0,0,1,0.0184424985200166,19,Sub,Tottenham,Arsenal,0,1,26640,2024,674315,0.0162199791520833,0,1,0,0.0184424985200166,0.0346624776721,0.0,Tottenham
3,0,0,4,0,0.1,612,0.0,0.0,0.0,0.1,249,0,0,0.2,2.2,2025-02-16,3,0,0,0,0,0,0,0,False,14,0,0,0,0,25,0,2382,0,0,1,0.0,1,-16,13,29,53,True,0,0,0,0.0,2,Sub,Tottenham,Manchester United,1,0,26850,2024,706993,0.0,0,0,0,0.0,0.0,0.0,Tottenham
4,0,0,2,0,0.6,612,0.0,0.0,0.0,0.03,256,0,0,0.3,0.0,2025-02-22,16,0,0,0,0,0,0,0,False,10,0,0,0,0,26,0,2539,0,4,1,2.0,1,137,164,27,53,False,0,0,0,0.0,13,Sub,Ipswich,Tottenham,1,4,26857,2024,707816,0.0,0,0,0,0.0,0.0979595854878425,0.0979595854878425,Tottenham
5,0,0,5,0,3.4,612,0.02,0.25,0.23,2.07,265,1,0,4.7,3.4,2025-02-26,66,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,2593,1,1,0,40.0,2,39,97,58,53,True,0,0,2,0.4865004122257232,68,FWL,Tottenham,Manchester City,0,1,26865,2024,709183,0.0,0,0,0,0.4865004122257232,0.4865004122257232,0.0,Tottenham
6,0,0,6,0,10.8,612,0.06,0.09,0.03,2.2,278,2,0,2.7,6.6,2025-03-09,90,0,0,0,0,0,0,0,False,3,0,0,0,0,28,0,2785,1,2,2,10.0,2,161,216,55,53,True,0,0,1,0.0280318204313516,90,FWL,Tottenham,Bournemouth,2,2,26879,2024,711945,0.0,0,0,0,0.0280318204313516,0.1006460934877395,0.072614274919033,Tottenham
7,0,0,2,0,0.3,612,0.01,0.01,0.0,0.46,285,2,0,0.0,0.0,2025-03-16,13,0,0,0,0,0,0,0,False,9,0,0,0,0,29,0,8064,0,0,2,0.0,1,2671,2863,192,53,False,0,0,0,0.0,12,Sub,Fulham,Tottenham,2,0,26886,2024,713709,0.0,0,0,0,0.0,0.0,0.0,Tottenham
8,0,0,6,0,12.8,612,0.01,0.01,0.0,1.06,296,1,0,2.1,4.0,2025-04-03,63,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,5297,1,0,1,4.0,2,-194,826,1020,53,False,0,0,0,0.0,68,FWR,Chelsea,Tottenham,1,0,26897,2024,716288,0.0972039029002189,0,1,0,0.0,0.0972039029002189,0.0,Tottenham
9,0,0,1,0,1.1,612,0.03,0.03,0.0,0.39,309,1,0,0.4,2.4,2025-04-06,33,0,0,0,0,0,0,0,False,17,0,0,0,0,31,0,5808,0,1,3,0.0,1,487,956,469,53,True,0,0,0,0.0,26,Sub,Tottenham,Southampton,3,1,26910,2024,717488,0.0,0,0,0,0.0,0.1006647646427154,0.1006647646427154,Tottenham
10,0,0,15,0,22.3,612,0.47,0.49,0.02,0.48,329,2,0,4.7,14.0,2025-04-21,66,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,4201,1,2,1,11.0,2,-643,55,698,53,True,0,0,1,0.0284237768501043,70,FWR,Tottenham,Nottingham Forest,1,2,26930,2024,721659,0.6548455953598022,0,1,0,0.0284237768501043,0.7010409235954285,0.6726171374320984,Tottenham
11,0,0,2,0,1.1,612,0.01,0.01,0.0,0.39,335,1,0,1.0,2.4,2025-04-27,22,0,0,0,0,0,0,0,False,12,0,0,0,0,34,0,4145,0,1,5,6.0,1,-119,82,201,53,False,0,0,0,0.0,18,Sub,Liverpool,Tottenham,5,1,26936,2024,723296,0.0,0,0,0,0.0,0.0,0.0,Tottenham
12,0,3,26,0,0.7,612,0.01,0.48,0.47,0.84,350,1,1,5.5,37.0,2025-05-04,90,0,0,0,0,0,0,0,False,19,0,0,0,0,35,0,4131,1,1,1,17.0,10,-79,87,166,53,False,0,1,1,0.3750309944152832,90,FWR,West Ham,Tottenham,1,1,26943,2024,724685,0.0,0,0,1,0.3750309944152832,0.3750309944152832,0.0,Tottenham
13,0,0,2,0,3.8,612,0.02,0.07,0.05,3.39,359,2,0,1.8,6.8,2025-05-11,90,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,4726,1,2,0,7.0,2,522,651,129,53,True,0,0,1,0.0483518056571483,90,FWR,Tottenham,Crystal Palace,0,2,26960,2024,726641,0.0,0,0,0,0.0483518056571483,0.0483518056571483,0.0,Tottenham
14,0,0,5,0,10.8,612,0.03,0.44,0.41,1.33,362,2,0,3.8,9.8,2025-05-16,86,0,0,0,0,0,0,0,False,2,0,0,0,0,37,0,4856,1,0,2,17.0,2,148,453,305,53,False,0,0,1,0.4079810380935669,88,AMC,Aston Villa,Tottenham,2,0,26963,2024,727526,0.0536065585911273,0,1,0,0.4079810380935669,0.4615875780582428,0.0536065585911273,Tottenham
15,0,0,4,0,0.3,612,0.01,0.01,0.0,1.92,379,4,0,0.3,2.6,2025-05-25,45,0,0,0,0,0,0,0,False,5,0,0,0,0,38,0,4917,0,4,1,0.0,1,24,428,404,53,True,0,0,0,0.0,43,Sub,Tottenham,Brighton,1,4,26976,2024,730136,0.0,0,0,0,0.0,0.0,0.0,Tottenham
