goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,34,DMR,Bournemouth,Wolverhampton Wanderers,1,0,2025-08-23,28792,2025,733215,0.05876665189862251,0,1,0,0,0.05876665189862251,0
0,0,0,78,DMR,Wolverhampton Wanderers,Manchester City,0,4,2025-08-16,28783,2025,732738,0.07954536378383636,0,1,0,0,0.07954536378383636,0
0,0,0,80,DR,Auxerre,Nantes,1,1,2025-05-10,28337,2024,726176,0.056348539888858795,0,1,0,0,0.3925294876098633,0.3361809253692627
0,0,0,14,Sub,Auxerre,Le Havre,1,2,2025-05-04,28329,2024,724824,0.03579290211200714,0,1,0,0,0.03579290211200714,0
1,1,0.3030097484588623,87,DR,Lens,Auxerre,0,4,2025-04-27,28322,2024,723253,0.20592141151428223,0,2,1,0.3030097484588623,1.7963618040084839,1.2874306440353394
0,0,0,90,DR,Lille,Auxerre,3,1,2025-04-20,28312,2024,721052,0,0,0,0,0,0,0
0,1,0.008304630406200886,71,DR,Auxerre,Lyon,1,3,2025-04-13,28302,2024,719742,0.01213498692959547,0,1,0,0.008304630406200886,0.4499069154262543,0.4294672906398773
0,0,0,72,DR,Rennes,Auxerre,0,1,2025-04-06,28299,2024,717745,0,0,0,0,0,0.5168523788452148,0.5168523788452148
0,0,0,88,DMR,Auxerre,Montpellier,1,0,2025-03-30,28283,2024,715500,0.6622393131256104,1,3,0,0,1.0743917226791382,0.47387245297431946
0,1,0.019164016470313072,90,DR,Nice,Auxerre,1,1,2025-03-14,28274,2024,712566,0,0,0,0,0.019164016470313072,0.3319106996059418,0.31274667382240295
0,0,0,82,DR,Reims,Auxerre,0,2,2025-03-09,28265,2024,712136,0.23962385952472687,0,2,0,0,0.38665613532066345,0.2751023471355438
0,0,0,85,DMR,Auxerre,Strasbourg,0,1,2025-03-02,28261,2024,710447,0,0,0,0,0,0.41384559869766235,0.41384559869766235
0,0,0,90,DMR,Auxerre,Marseille,3,0,2025-02-22,28252,2024,708230,0,0,0,0,0,0,0
0,0,0,90,DR,Brest,Auxerre,2,2,2025-02-14,28241,2024,705825,0.26092931628227234,0,1,0,0,0.26092931628227234,0.26092931628227234
0,1,0.07307404279708862,72,DMR,Auxerre,Toulouse,2,2,2025-02-09,28228,2024,705215,0,0,0,0,0.07307404279708862,0.269008606672287,0.19593454897403717
0,0,0,9,Sub,Monaco,Auxerre,4,2,2025-02-01,28227,2024,703726,0.06745142489671707,0,1,0,0,0.06745142489671707,0
0,0,0,19,Sub,Auxerre,Saint-Etienne,1,1,2025-01-24,28214,2024,701141,0,0,0,0,0,0,0
0,0,0,87,DR,Angers,Auxerre,2,0,2025-01-19,28208,2024,700736,0.09557650238275528,0,1,0,0,0.16783878207206726,0.16783878207206726
0,2,0.13133402168750763,78,DMR,Strasbourg,Auxerre,3,1,2025-01-05,28190,2024,697633,0,0,0,0,0.13133402168750763,0.7553485631942749,0.6240145564079285
0,0,0,22,Sub,Auxerre,Lens,2,2,2024-12-14,28177,2024,693981,0,0,0,0,0,0.0107725253328681,0.0107725253328681
0,0,0,85,DMR,Auxerre,Paris Saint Germain,0,0,2024-12-06,28166,2024,691823,0,0,0,0,0,0,0
0,0,0,47,DR,Toulouse,Auxerre,2,0,2024-12-01,28164,2024,690934,0,0,0,0,0,0,0
0,1,0.009350551292300224,90,DMR,Auxerre,Angers,1,0,2024-11-24,28154,2024,689218,0.17959406971931458,1,1,0,0.009350551292300224,0.21982955932617188,0.0402354896068573
0,0,0,90,DMR,Marseille,Auxerre,1,3,2024-11-08,28146,2024,686221,0.431377112865448,0,3,0,0,0.431377112865448,0
0,1,0.020960811525583267,88,DMR,Auxerre,Rennes,4,0,2024-11-03,28131,2024,685700,0,0,0,0,0.020960811525583267,0.14737491309642792,0.12641410529613495
0,1,0.015296842902898788,90,DMR,Lyon,Auxerre,2,2,2024-10-27,28126,2024,683651,0.20219279825687408,0,3,0,0.015296842902898788,0.055380940437316895,0
0,0,0,90,DMR,Auxerre,Reims,2,1,2024-10-20,28113,2024,682066,0.12639565765857697,0,1,0,0,0.2435954064130783,0.11719974130392075
0,0,0,62,DMR,Saint-Etienne,Auxerre,3,1,2024-10-05,28107,2024,679625,0,0,0,0,0,0,0
