goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Newcastle United,Ipswich,3,0,2025-04-26,26938,2024,722601,0,0,0,0,0,0,0
0,0,0,90,GK,Ipswich,Arsenal,0,4,2025-04-20,26927,2024,720972,0,0,0,0,0,0.050650082528591156,0.050650082528591156
0,0,0,90,GK,Chelsea,Ipswich,2,2,2025-04-13,26915,2024,719227,0,0,0,0,0,0.09268457442522049,0.09268457442522049
0,0,0,90,GK,Ipswich,Wolverhampton Wanderers,1,2,2025-04-05,26907,2024,716793,0,0,0,0,0,0,0
0,0,0,90,GK,Bournemouth,Ipswich,1,2,2025-04-02,26896,2024,716095,0,0,0,0,0,0.8070335388183594,0.8070335388183594
0,0,0,90,GK,Ipswich,Nottingham Forest,2,4,2025-03-15,26887,2024,712977,0,0,0,0,0,0.05147811025381088,0.05147811025381088
0,0,0,90,GK,Crystal Palace,Ipswich,1,0,2025-03-08,26875,2024,711364,0.021070318296551704,0,1,0,0,0.10472364723682404,0.10472364723682404
0,0,0,90,GK,Manchester United,Ipswich,3,2,2025-02-26,26871,2024,709220,0,0,0,0,0,0.15727782249450684,0.15727782249450684
0,0,0,90,GK,Ipswich,Tottenham,1,4,2025-02-22,26857,2024,707789,0,0,0,0,0,0,0
0,0,0,90,GK,Aston Villa,Ipswich,1,1,2025-02-15,26842,2024,706166,0,0,0,0,0,0.12506118416786194,0.12506118416786194
