FPL_ID,FPL_Name,Understat_ID,Understat_Name
1,530,Aaron Cresswell,534,Aaron Cresswell
2,104,Aaron Hickey,8942,Aaron Hickey
3,17,Aaron Ramsdale,5603,Aaron Ramsdale
4,675,Aaron Ramsey,9913,Aaron Ramsey
5,401,Aaron Wan-Bissaka,5584,Aaron Wan-Bissaka
6,249,Abdoulaye Doucouré,1726,Abdoulaye Doucouré
8,662,Adama Traoré,900,Adama Traoré
10,138,Adam Lallana,486,Adam Lallana
11,84,Adam Smith,825,Adam Smith
12,153,Adam Webster,7699,Adam Webster
13,807,Adam Wharton,12409,Adam Wharton
18,21,Albert Sambi Lokonga,9689,Albert Sambi Lokonga
19,382,Alejandro Garnacho,10552,Alejandro Garnacho
20,641,Alejo Véliz,12105,Alejo Véliz
22,415,Alexander Isak,5232,Alexander Isak
24,304,Alexis Mac Allister,8379,Alexis Mac Allister
25,256,Alex Iwobi,500,Alex Iwobi
26,718,Alex Matos,12086,Alex Matos
27,456,Alex Mighten,10761,Alex Mighten
28,634,Alex Murphy,12199,Alex Murphy
29,644,Alex Scott,12149,Alex Scott
32,321,Alfie Doughty,11723,Alfie Doughty
33,716,Alfie Gilchrist,11595,Alfie Gilchrist
37,426,Allan Saint-Maximin,101,Allan Saint-Maximin
38,524,Alphonse Areola,2310,Alphonse Areola
40,738,Amadou Diallo,12200,Amadou Diallo
41,261,Amadou Onana,9667,Amadou Onana
46,184,Anass Zaroury,11703,Anass Zaroury
49,711,Andrew Omobamidele,9833,Andrew Omobamidele
50,307,Andrew Robertson,1688,Andrew Robertson
52,655,Andre Brooks,11731,Andre Brooks
53,727,Andros Townsend,775,Andros Townsend
54,597,André Onana,10913,André Onana
58,577,Angelo Ogbonna,528,Angelo Ogbonna
61,378,Anthony Elanga,9524,Anthony Elanga
62,412,Anthony Gordon,8150,Anthony Gordon
64,390,Anthony Martial,553,Anthony Martial
65,82,Antoine Semenyo,11363,Antoine Semenyo
66,283,Antonee Robinson,8940,Antonee Robinson
68,656,Antwoine Hackford,9222,Antwoine Hackford
70,172,Arijanet Muric,7027,Arijanet Muric
71,193,Armando Broja,8384,Armando Broja
72,601,Arnaut Danjuma Groeneveld,8066,Arnaut Danjuma Groeneveld
74,588,Ashley Young,631,Ashley Young
75,27,Auston Trusty,11732,Auston Trusty
76,611,Axel Disasi,6885,Axel Disasi
78,357,Aymeric Laporte,2498,Aymeric Laporte
80,152,Bart Verbruggen,11711,Bart Verbruggen
83,742,Benicio Baker-Boaitey,12204,Benicio Baker-Boaitey
89,195,Ben Chilwell,782,Ben Chilwell
90,495,Ben Davies,660,Ben Davies
91,628,Ben Doak,11231,Ben Doak
92,252,Ben Godfrey,7689,Ben Godfrey
95,536,Ben Johnson,6424,Ben Johnson
96,109,Ben Mee,1654,Ben Mee
97,489,Ben Osborn,7714,Ben Osborn
98,739,Ben Parkinson,12198,Ben Parkinson
99,79,Ben Pearson,10742,Ben Pearson
101,275,Bernd Leno,181,Bernd Leno
102,59,Bertrand Traoré,695,Bertrand Traoré
105,133,Billy Gilmour,7988,Billy Gilmour
106,627,Bobby Clark,10997,Bobby Clark
109,47,Boubacar Kamara,5789,Boubacar Kamara
116,450,Brennan Johnson,10760,Brennan Johnson
120,494,Bryan Gil Salvatierra,7338,Bryan Gil Salvatierra
121,108,Bryan Mbeumo,6552,Bryan Mbeumo
122,19,Bukayo Saka,7322,Bukayo Saka
123,593,Bénie Traoré,11729,Bénie Traoré
125,205,Callum Hudson-Odoi,6456,Callum Hudson-Odoi
128,433,Callum Wilson,468,Callum Wilson
129,37,Calum Chambers,508,Calum Chambers
130,610,Calvin Bassey,11728,Calvin Bassey
131,33,Cameron Archer,9912,Cameron Archer
132,786,Cameron Peupion,11544,Cameron Peupion
133,301,Caoimhin Kelleher,7904,Caoimhin Kelleher
136,690,Carlos Baleba,10527,Carlos Baleba
138,326,Carlton Morris,11717,Carlton Morris
139,196,Carney Chukwuemeka,9356,Carney Chukwuemeka
140,340,Cauley Woodrow,11721,Cauley Woodrow
141,791,Cesare Casadei,10433,Cesare Casadei
144,178,Charlie Taylor,6044,Charlie Taylor
146,451,Cheikhou Kouyaté,532,Cheikhou Kouyaté
147,328,Chiedozie Ogbene,11719,Chiedozie Ogbene
149,379,Christian Eriksen,646,Christian Eriksen
150,110,Christian Nørgaard,7083,Christian Nørgaard
151,213,Christian Pulisic,2662,Christian Pulisic
152,212,Christopher Nkunku,3300,Christopher Nkunku
153,474,Chris Basham,7704,Chris Basham
154,75,Chris Mepham,7384,Chris Mepham
155,238,Chris Richards,8430,Chris Richards
156,468,Chris Wood,4456,Chris Wood
159,297,Cody Gakpo,11296,Cody Gakpo
160,362,Cole Palmer,8497,Cole Palmer
161,176,Connor Roberts,5568,Connor Roberts
162,757,Conor Bradley,10120,Conor Bradley
163,529,Conor Coventry,7239,Conor Coventry
164,202,Conor Gallagher,9040,Conor Gallagher
165,551,Craig Dawson,804,Craig Dawson
166,511,Cristian Romero,7218,Cristian Romero
167,300,Curtis Jones,6665,Curtis Jones
169,189,César Azpilicueta,681,César Azpilicueta
170,798,Daiki Hashioka,12509,Daiki Hashioka
171,640,Dane Scarlett,9332,Dane Scarlett
172,78,Dango Ouattara,9662,Dango Ouattara
173,546,Daniel Bentley,11361,Daniel Bentley
175,685,Daniel Gore,11987,Daniel Gore
176,483,Daniel Jebbison,9509,Daniel Jebbison
177,792,Daniel Muñoz,12408,Daniel Muñoz
179,535,Danny Ings,986,Danny Ings
180,154,Danny Welbeck,501,Danny Welbeck
181,407,Dan Burn,7382,Dan Burn
188,200,David Datro Fofana,11295,David Datro Fofana
189,64,David Brooks,6820,David Brooks
190,721,David Ozoh,11268,David Ozoh
192,512,Davinson Sánchez,6249,Davinson Sánchez
193,385,Dean Henderson,7702,Dean Henderson
194,540,Declan Rice,5553,Declan Rice
196,501,Dejan Kulusevski,6691,Dejan Kulusevski
197,248,Dele Alli,645,Dele Alli
198,253,Demarai Gray,762,Demarai Gray
200,149,Deniz Undav,10804,Deniz Undav
210,538,Divin Mubama,11242,Divin Mubama
211,714,Divock Origi,484,Divock Origi
212,517,Djed Spence,10764,Djed Spence
213,687,Djordje Petrovic,12032,Djordje Petrovic
214,246,Dominic Calvert-Lewin,5555,Dominic Calvert-Lewin
216,811,Dominic Sadi,11300,Dominic Sadi
217,85,Dominic Solanke,1679,Dominic Solanke
218,309,Dominik Szoboszlai,9788,Dominik Szoboszlai
219,400,Donny van de Beek,8821,Donny van de Beek
222,259,Dwight McNeil,6756,Dwight McNeil
223,226,Eberechi Eze,8706,Eberechi Eze
225,13,Eddie Nketiah,6482,Eddie Nketiah
228,314,Elijah Adebayo,11718,Elijah Adebayo
231,403,Elliot Anderson,9154,Elliot Anderson
233,264,Ellis Simms,8582,Ellis Simms
238,74,Emiliano Marcondes,10745,Emiliano Marcondes
240,417,Emil Krafth,1545,Emil Krafth
241,443,Emmanuel Dennis,9301,Emmanuel Dennis
242,804,Enes Ünal,6219,Enes Ünal
244,698,Enso González,12047,Enso González
245,199,Enzo Fernández,11356,Enzo Fernández
247,496,Eric Dier,643,Eric Dier
248,355,Erling Haaland,8260,Erling Haaland
252,772,Ethan Nwaneri,11132,Ethan Nwaneri
253,112,Ethan Pinnock,9678,Ethan Pinnock
254,850,Ethan Wheatley,12568,Ethan Wheatley
255,132,Evan Ferguson,10177,Evan Ferguson
256,48,Ezri Konsa Ngoyo,7726,Ezri Konsa Ngoyo
258,427,Fabian Schär,76,Fabian Schär
260,125,Facundo Buonanotte,11362,Facundo Buonanotte
265,854,Finley Munroe,12581,Finley Munroe
267,531,Flynn Downes,10845,Flynn Downes
272,111,Frank Onyeka,9681,Frank Onyeka
273,498,Fraser Forster,831,Fraser Forster
275,329,Fred Onyedinma,12549,Fred Onyedinma
281,330,Gabriel Osho,12151,Gabriel Osho
285,473,George Baldock,7706,George Baldock
286,829,George Earthy,12474,George Earthy
288,541,Gianluca Scamacca,6253,Gianluca Scamacca
289,503,Giovani Lo Celso,5681,Giovani Lo Celso
290,801,Giovanni Reyna,8191,Giovanni Reyna
291,438,Giulian Biancone,7282,Giulian Biancone
293,679,Gonzalo Montiel,9897,Gonzalo Montiel
295,30,Granit Xhaka,204,Granit Xhaka
296,520,Guglielmo Vicario,8858,Guglielmo Vicario
298,663,Gustavo Hamer,11839,Gustavo Hamer
300,218,Hakim Ziyech,8992,Hakim Ziyech
303,694,Han-Noah Massengo,7264,Han-Noah Massengo
304,674,Hannes Delcroix,11998,Hannes Delcroix
305,383,Hannibal Mejbri,9558,Hannibal Mejbri
307,282,Harrison Reed,910,Harrison Reed
310,500,Harry Kane,647,Harry Kane
311,387,Harry Maguire,1687,Harry Maguire
312,465,Harry Toffolo,10758,Harry Toffolo
313,288,Harry Wilson,5596,Harry Wilson
314,603,Harvey Barnes,6681,Harvey Barnes
315,295,Harvey Elliott,7546,Harvey Elliott
317,167,Hjalmar Ekdal,11704,Hjalmar Ekdal
319,502,Hugo Lloris,637,Hugo Lloris
323,609,Ian Maatsen,11807,Ian Maatsen
324,302,Ibrahima Konaté,6326,Ibrahima Konaté
326,254,Idrissa Gueye,668,Idrissa Gueye
329,89,Illia Zabarnyi,11486,Illia Zabarnyi
334,271,Issa Diop,3203,Issa Diop
338,117,Ivan Toney,998,Ivan Toney
339,790,Ivo Grbic,8923,Ivo Grbic
340,163,Jack Cork,712,Jack Cork
341,354,Jack Grealish,675,Jack Grealish
342,661,Jack Harrison,8720,Jack Harrison
343,621,Jack Hinshelwood,11269,Jack Hinshelwood
344,576,Jack Robinson,8286,Jack Robinson
346,631,Jacob Brown,11720,Jacob Brown
347,608,Jacob Bruun Larsen,5355,Jacob Bruun Larsen
348,423,Jacob Murphy,6063,Jacob Murphy
349,55,Jacob Ramsey,8941,Jacob Ramsey
352,54,Jaden Philogene-Bidace,9415,Jaden Philogene-Bidace
353,397,Jadon Sancho,6345,Jadon Sancho
354,62,Jaidon Anthony,10746,Jaidon Anthony
355,239,Jairo Riedewald,6027,Jairo Riedewald
357,10,Jakub Kiwior,10012,Jakub Kiwior
358,144,Jakub Moder,9284,Jakub Moder
359,419,Jamaal Lascelles,766,Jamaal Lascelles
360,420,Jamal Lewis,7691,Jamal Lewis
361,73,Jamal Lowe,10865,Jamal Lowe
362,250,James Garner,7438,James Garner
363,69,James Hill,10747,James Hill
364,504,James Maddison,6818,James Maddison
365,360,James McAtee,10126,James McAtee
366,629,James McConnell,11811,James McConnell
367,142,James Milner,489,James Milner
368,335,James Shea,11724,James Shea
370,265,James Tarkowski,1665,James Tarkowski
371,241,James Tomkins,530,James Tomkins
372,596,James Trafford,9077,James Trafford
373,664,James Ward-Prowse,843,James Ward-Prowse
375,722,Jamie Donley,12118,Jamie Donley
377,150,Jan Paul van Hecke,10807,Jan Paul van Hecke
378,518,Japhet Tanganga,8222,Japhet Tanganga
379,626,Jarell Quansah,10187,Jarell Quansah
380,245,Jarrad Branthwaite,8476,Jarrad Branthwaite
381,526,Jarrod Bowen,1776,Jarrod Bowen
382,148,Jason Steele,7235,Jason Steele
384,476,Jayden Bogle,9205,Jayden Bogle
385,824,Jayden Danns,12455,Jayden Danns
387,177,Jay Rodriguez,844,Jay Rodriguez
388,651,Jay Stansfield,10718,Jay Stansfield
390,232,Jean-Philippe Mateta,5735,Jean-Philippe Mateta
391,715,Jean-Ricner Bellegarde,7762,Jean-Ricner Bellegarde
393,240,Jeffrey Schlupp,757,Jeffrey Schlupp
397,657,Jesurun Rak-Sakyi,9461,Jesurun Rak-Sakyi
