FPL_ID,FPL_Name,Understat_ID,Understat_Name
0,517,Aaron Cresswell,534.0,Aaron Cresswell
1,93,Aaron Hickey,8942.0,Aaron Hickey
2,14,Aaron Ramsdale,5603.0,Aaron Ramsdale
3,388,Aaron Wan-Bissaka,5584.0,Aaron Wan-Bissaka
4,217,Abdoulaye Doucouré,1726.0,Abdoulaye Doucouré
5,570,Abdul Fatawu,12911.0,Abdul Fatawu
6,239,Adama Traoré,900.0,Adama Traoré
7,453,Adam Armstrong,4419.0,Adam Armstrong
8,463,Adam Lallana,486.0,Adam Lallana
9,81,Adam Smith,825.0,Adam Smith
10,147,Adam Webster,7699.0,Adam Webster
11,216,Adam Wharton,12409.0,Adam Wharton
13,372,Alejandro Garnacho,10552.0,Alejandro Garnacho
14,507,Alejo Véliz,12105.0,Alejo Véliz
15,401,Alexander Isak,5232.0,Alexander Isak
16,329,Alexis Mac Allister,8379.0,Alexis Mac Allister
17,247,Alex Iwobi,500.0,Alex Iwobi
18,469,Alex McCarthy,635.0,Alex McCarthy
20,390,Alex Murphy,12199.0,Alex Murphy
22,77,Alex Scott,12149.0,Alex Scott
24,699,Alfie Dorrington,12193.0,Alfie Dorrington
25,170,Alfie Gilchrist,11595.0,Alfie Gilchrist
26,664,Alfie Pond,13117.0,Alfie Pond
29,260,Ali Al-Hamadi,12751.0,Ali Al-Hamadi
30,513,Alphonse Areola,2310.0,Alphonse Areola
32,233,Amadou Onana,9667.0,Amadou Onana
38,440,Andrew Omobamidele,9833.0,Andrew Omobamidele
39,335,Andrew Robertson,1688.0,Andrew Robertson
41,383,André Onana,10913.0,André Onana
43,576,Andy Irving,12774.0,Andy Irving
44,432,Anthony Elanga,9524.0,Anthony Elanga
45,398,Anthony Gordon,8150.0,Anthony Gordon
46,78,Antoine Semenyo,11363.0,Antoine Semenyo
47,255,Antonee Robinson,8940.0,Antonee Robinson
49,489,Archie Gray,10184.0,Archie Gray
51,568,Arijanet Muric,7027.0,Arijanet Muric
52,156,Armando Broja,8384.0,Armando Broja
54,646,Asher Agbinone,13039.0,Asher Agbinone
56,238,Ashley Young,631.0,Ashley Young
58,167,Axel Disasi,6885.0,Axel Disasi
59,282,Axel Tuanzebe,934.0,Axel Tuanzebe
61,146,Bart Verbruggen,11711.0,Bart Verbruggen
63,114,Benicio Baker-Boaitey,12204.0,Benicio Baker-Boaitey
67,584,Ben Brereton Díaz,11815.0,Ben Brereton Díaz
69,160,Ben Chilwell,782.0,Ben Chilwell
70,484,Ben Davies,660.0,Ben Davies
71,318,Ben Doak,11231.0,Ben Doak
72,275,Ben Johnson,6424.0,Ben Johnson
73,100,Ben Mee,1654.0,Ben Mee
75,687,Ben Winterburn,13242.0,Ben Winterburn
77,248,Bernd Leno,181.0,Bernd Leno
78,635,Bilal El Khannouss,13020.0,Bilal El Khannouss
79,124,Billy Gilmour,7988.0,Billy Gilmour
80,315,Bobby Clark,10997.0,Bobby Clark
82,42,Boubacar Kamara,5789.0,Boubacar Kamara
85,595,Brajan Gruda,11310.0,Brajan Gruda
87,491,Brennan Johnson,10760.0,Brennan Johnson
90,483,Bryan Gil Salvatierra,7338.0,Bryan Gil Salvatierra
91,99,Bryan Mbeumo,6552.0,Bryan Mbeumo
92,17,Bukayo Saka,7322.0,Bukayo Saka
93,666,Caleb Kporha,13130.0,Caleb Kporha
94,301,Caleb Okoli,7333.0,Caleb Okoli
97,434,Callum Hudson-Odoi,6456.0,Callum Hudson-Odoi
99,421,Callum Wilson,468.0,Callum Wilson
100,241,Calvin Bassey,11728.0,Calvin Bassey
101,27,Cameron Archer,9912.0,Cameron Archer
102,263,Cameron Burgess,12755.0,Cameron Burgess
105,325,Caoimhin Kelleher,7904.0,Caoimhin Kelleher
111,115,Carlos Baleba,10527.0,Carlos Baleba
112,654,Carlos Soler,2478.0,Carlos Soler
114,161,Carney Chukwuemeka,9356.0,Carney Chukwuemeka
115,158,Cesare Casadei,10433.0,Cesare Casadei
117,475,Charlie Taylor,6044.0,Charlie Taylor
119,632,Chiedozie Ogbene,11719.0,Chiedozie Ogbene
120,370,Christian Eriksen,646.0,Christian Eriksen
121,101,Christian Nørgaard,7083.0,Christian Nørgaard
122,283,Christian Walton,9251.0,Christian Walton
123,181,Christopher Nkunku,3300.0,Christopher Nkunku
124,72,Chris Mepham,7384.0,Chris Mepham
125,194,Chris Richards,8430.0,Chris Richards
126,447,Chris Wood,4456.0,Chris Wood
128,321,Cody Gakpo,11296.0,Cody Gakpo
129,182,Cole Palmer,8497.0,Cole Palmer
130,313,Conor Bradley,10120.0,Conor Bradley
131,265,Conor Chaplin,12750.0,Conor Chaplin
132,288,Conor Coady,6851.0,Conor Coady
133,169,Conor Gallagher,9040.0,Conor Gallagher
134,583,Conor Townsend,8905.0,Conor Townsend
136,542,Craig Dawson,804.0,Craig Dawson
137,498,Cristian Romero,7218.0,Cristian Romero
138,587,Crysencio Summerville,9492.0,Crysencio Summerville
139,324,Curtis Jones,6665.0,Curtis Jones
140,205,Daichi Kamada,6145.0,Daichi Kamada
141,500,Dane Scarlett,9332.0,Dane Scarlett
142,74,Dango Ouattara,9662.0,Dango Ouattara
143,536,Daniel Bentley,11361.0,Daniel Bentley
146,69,Daniel Jebbison,9509.0,Daniel Jebbison
