player names,first score,anytime score,last score,two or more,hatrick,contest
Zian Flemming,8/1,5/2,8/1,14/1,50/1,Burnley v Newcastle
Mike Tresor,9/1,3/1,9/1,18/1,66/1,Burnley v Newcastle
Armando Broja,10/1,16/5,10/1,20/1,80/1,Burnley v Newcastle
Jaidon Anthony,10/1,17/5,10/1,22/1,80/1,Burnley v Newcastle
Marcus Edwards,14/1,24/5,14/1,33/1,200/1,Burnley v Newcastle
Jacob Bruun Larsen,16/1,11/2,16/1,40/1,250/1,Burnley v Newcastle
Lesley Ugochukwu,20/1,15/2,20/1,50/1,500/1,Burnley v Newcastle
Loum Tchaouna,18/1,7/1,18/1,50/1,400/1,Burnley v Newcastle
Josh Cullen,22/1,8/1,22/1,66/1,500/1,Burnley v Newcastle
Florentino Luis,28/1,12/1,28/1,100/1,500/1,Burnley v Newcastle
Josh Laurent,28/1,12/1,28/1,100/1,500/1,Burnley v Newcastle
Hjalmar Ekdal,40/1,18/1,40/1,250/1,500/1,Burnley v Newcastle
Bashir Humphreys,40/1,18/1,40/1,250/1,500/1,Burnley v Newcastle
Kyle Walker,50/1,25/1,50/1,300/1,500/1,Burnley v Newcastle
Lucas Pires,50/1,25/1,50/1,300/1,500/1,Burnley v Newcastle
Nick Woltemade,17/4,5/4,17/4,13/2,28/1,Burnley v Newcastle
Yoane Wissa,24/5,29/20,24/5,8/1,33/1,Burnley v Newcastle
Anthony Gordon,5/1,13/8,5/1,9/1,40/1,Burnley v Newcastle
Harvey Barnes,13/2,2/1,13/2,12/1,50/1,Burnley v Newcastle
Jacob Murphy,17/2,27/10,17/2,16/1,66/1,Burnley v Newcastle
Bruno Guimaraes,11/1,15/4,11/1,28/1,100/1,Burnley v Newcastle
Sandro Tonali,14/1,5/1,14/1,40/1,250/1,Burnley v Newcastle
Jacob Ramsey,14/1,5/1,14/1,40/1,250/1,Burnley v Newcastle
Joelinton,14/1,5/1,14/1,40/1,250/1,Burnley v Newcastle
Fabian Schar,18/1,7/1,18/1,50/1,400/1,Burnley v Newcastle
Joe Willock,16/1,6/1,16/1,40/1,300/1,Burnley v Newcastle
Lewis Miley,22/1,17/2,22/1,66/1,500/1,Burnley v Newcastle
Malick Thiaw,22/1,17/2,22/1,66/1,500/1,Burnley v Newcastle
Lewis Hall,25/1,11/1,25/1,80/1,500/1,Burnley v Newcastle
Cole Palmer,24/5,6/5,24/5,13/2,25/1,Chelsea v Bournemouth
Joao Pedro,5/1,11/8,5/1,15/2,28/1,Chelsea v Bournemouth
Alejandro Garnacho,15/2,21/10,15/2,12/1,50/1,Chelsea v Bournemouth
Pedro Neto,8/1,23/10,8/1,14/1,50/1,Chelsea v Bournemouth
Andrey Santos,12/1,18/5,12/1,25/1,100/1,Chelsea v Bournemouth
Enzo Fernandez,9/1,11/4,9/1,16/1,66/1,Chelsea v Bournemouth
Marc Cucurella,20/1,7/1,20/1,50/1,400/1,Chelsea v Bournemouth
