player names,first score,anytime score,last score,two or more,hatrick,contest
Ollie Watkins,23/5,5/4,23/5,7/1,28/1,Aston Villa v Newcastle
Donyell Malen,7/1,21/10,7/1,12/1,50/1,Aston Villa v Newcastle
Evann Guessand,6/1,7/4,6/1,10/1,40/1,Aston Villa v Newcastle
Morgan Rogers,17/2,13/5,17/2,14/1,66/1,Aston Villa v Newcastle
Leon Bailey,9/1,29/10,9/1,18/1,66/1,Aston Villa v Newcastle
Emiliano Buendia,10/1,16/5,10/1,18/1,80/1,Aston Villa v Newcastle
Samuel Iling-Junior,11/1,17/5,11/1,22/1,80/1,Aston Villa v Newcastle
Youri Tielemans,16/1,11/2,16/1,40/1,250/1,Aston Villa v Newcastle
John McGinn,16/1,11/2,16/1,40/1,250/1,Aston Villa v Newcastle
Amadou Onana,20/1,7/1,20/1,50/1,400/1,Aston Villa v Newcastle
Ian Maatsen,22/1,9/1,22/1,66/1,500/1,Aston Villa v Newcastle
Matty Cash,28/1,11/1,28/1,80/1,500/1,Aston Villa v Newcastle
Ezri Konsa,28/1,12/1,28/1,100/1,500/1,Aston Villa v Newcastle
Pau Torres,28/1,12/1,28/1,100/1,500/1,Aston Villa v Newcastle
Tyrone Mings,28/1,12/1,28/1,100/1,500/1,Aston Villa v Newcastle
Boubacar Kamara,33/1,16/1,33/1,200/1,500/1,Aston Villa v Newcastle
Lucas Digne,33/1,16/1,33/1,200/1,500/1,Aston Villa v Newcastle
Lamare Bogarde,33/1,16/1,33/1,200/1,500/1,Aston Villa v Newcastle
Anthony Gordon,6/1,17/10,6/1,9/1,40/1,Aston Villa v Newcastle
Harvey Barnes,17/2,5/2,17/2,14/1,66/1,Aston Villa v Newcastle
William Osula,8/1,23/10,8/1,12/1,50/1,Aston Villa v Newcastle
Anthony Elanga,10/1,16/5,10/1,20/1,80/1,Aston Villa v Newcastle
Jacob Murphy,11/1,7/2,11/1,22/1,80/1,Aston Villa v Newcastle
Fabian Schar,20/1,7/1,20/1,50/1,400/1,Aston Villa v Newcastle
Bruno Guimaraes,20/1,7/1,20/1,50/1,400/1,Aston Villa v Newcastle
Sandro Tonali,20/1,7/1,20/1,50/1,400/1,Aston Villa v Newcastle
Joelinton,18/1,6/1,18/1,50/1,300/1,Aston Villa v Newcastle
Lewis Miley,20/1,7/1,20/1,50/1,400/1,Aston Villa v Newcastle
Dan Burn,28/1,11/1,28/1,80/1,500/1,Aston Villa v Newcastle
Sven Botman,28/1,11/1,28/1,80/1,500/1,Aston Villa v Newcastle
Jamaal Lascelles,28/1,11/1,28/1,80/1,500/1,Aston Villa v Newcastle
Kieran Trippier,40/1,16/1,40/1,250/1,500/1,Aston Villa v Newcastle
Tino Livramento,40/1,16/1,40/1,250/1,500/1,Aston Villa v Newcastle
Lewis Hall,40/1,16/1,40/1,250/1,500/1,Aston Villa v Newcastle
