player names,first score,anytime score,last score,two or more,hatrick,contest
Antoine Semenyo,5/1,17/10,5/1,10/1,40/1,Bournemouth v Everton
Eli Junior Kroupi,11/2,19/10,11/2,11/1,40/1,Bournemouth v Everton
Enes Unal,6/1,2/1,6/1,12/1,50/1,Bournemouth v Everton
Evanilson,13/2,11/5,13/2,12/1,50/1,Bournemouth v Everton
Amine Adli,15/2,5/2,15/2,14/1,66/1,Bournemouth v Everton
David Brooks,17/2,29/10,17/2,16/1,66/1,Bournemouth v Everton
Marcus Tavernier,10/1,17/5,10/1,22/1,80/1,Bournemouth v Everton
Ryan Christie,12/1,9/2,12/1,33/1,150/1,Bournemouth v Everton
Alex Scott,22/1,9/1,22/1,66/1,500/1,Bournemouth v Everton
Marcos Senesi,22/1,9/1,22/1,66/1,500/1,Bournemouth v Everton
Bafode Diakite,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
Adrien Truffert,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
Tyler Adams,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
Alex Jimenez,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
Adam Smith,28/1,12/1,28/1,100/1,500/1,Bournemouth v Everton
Justin Kluivert,7/1,23/10,7/1,12/1,50/1,Bournemouth v Everton
Beto,13/2,21/10,13/2,12/1,50/1,Bournemouth v Everton
Thierno Barry,7/1,23/10,7/1,12/1,50/1,Bournemouth v Everton
Iliman Ndiaye,15/2,5/2,15/2,14/1,50/1,Bournemouth v Everton
Carlos Alcaraz,11/1,4/1,11/1,28/1,100/1,Bournemouth v Everton
Tyler Dibling,12/1,19/4,12/1,33/1,150/1,Bournemouth v Everton
Jack Grealish,14/1,24/5,14/1,33/1,200/1,Bournemouth v Everton
Kiernan Dewsbury-Hall,14/1,5/1,14/1,40/1,200/1,Bournemouth v Everton
Dwight McNeil,14/1,5/1,14/1,40/1,200/1,Bournemouth v Everton
Michael Keane,22/1,10/1,22/1,66/1,500/1,Bournemouth v Everton
Tim Iroegbunam,22/1,10/1,22/1,66/1,500/1,Bournemouth v Everton
Jake O'Brien,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
James Tarkowski,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
James Garner,28/1,11/1,28/1,80/1,500/1,Bournemouth v Everton
Vitaliy Mykolenko,40/1,18/1,40/1,250/1,500/1,Bournemouth v Everton
Raul Jimenez,7/1,11/5,7/1,12/1,50/1,Fulham v Man City
Jonah Kusi-Asare,10/1,3/1,10/1,18/1,80/1,Fulham v Man City
Emile Smith Rowe,12/1,17/4,12/1,28/1,150/1,Fulham v Man City
Harry Wilson,12/1,9/2,12/1,33/1,150/1,Fulham v Man City
Samuel Chukwueze,14/1,24/5,14/1,33/1,200/1,Fulham v Man City
Kevin,14/1,24/5,14/1,33/1,200/1,Fulham v Man City
Joshua King,14/1,11/2,14/1,40/1,250/1,Fulham v Man City
Adama Traore,14/1,11/2,14/1,40/1,250/1,Fulham v Man City
Alex Iwobi,18/1,7/1,18/1,50/1,400/1,Fulham v Man City
Tom Cairney,22/1,8/1,22/1,66/1,500/1,Fulham v Man City
Ryan Sessegnon,25/1,9/1,25/1,66/1,500/1,Fulham v Man City
Sasa Lukic,25/1,10/1,25/1,80/1,500/1,Fulham v Man City
Sander Berge,33/1,14/1,33/1,100/1,500/1,Fulham v Man City
Timothy Castagne,33/1,14/1,33/1,100/1,500/1,Fulham v Man City
Calvin Bassey,40/1,16/1,40/1,200/1,500/1,Fulham v Man City
Jorge Cuenca,40/1,16/1,40/1,200/1,500/1,Fulham v Man City
Kenny Tete,40/1,18/1,40/1,250/1,500/1,Fulham v Man City
Joachim Andersen,40/1,18/1,40/1,250/1,500/1,Fulham v Man City
Erling Haaland,5/2,4/6,5/2,16/5,11/1,Fulham v Man City
Omar Marmoush,17/4,6/5,17/4,13/2,25/1,Fulham v Man City
