player names,first score,anytime score,last score,two or more,hatrick,contest
Viktor Gyokeres,3/1,4/5,3/1,4/1,14/1,Arsenal v Nottingham Forest
Bukayo Saka,17/4,6/5,17/4,13/2,25/1,Arsenal v Nottingham Forest
Andre Harriman-Annous,5/1,31/20,5/1,17/2,33/1,Arsenal v Nottingham Forest
Noni Madueke,6/1,7/4,6/1,10/1,40/1,Arsenal v Nottingham Forest
Leandro Trossard,6/1,7/4,6/1,10/1,40/1,Arsenal v Nottingham Forest
Eberechi Eze,6/1,15/8,6/1,11/1,40/1,Arsenal v Nottingham Forest
Max Dowman,13/2,2/1,13/2,11/1,50/1,Arsenal v Nottingham Forest
Ethan Nwaneri,7/1,21/10,7/1,12/1,50/1,Arsenal v Nottingham Forest
Gabriel Martinelli,7/1,21/10,7/1,12/1,50/1,Arsenal v Nottingham Forest
Mikel Merino,24/5,11/8,24/5,15/2,28/1,Arsenal v Nottingham Forest
Martin Odegaard,9/1,11/4,9/1,16/1,66/1,Arsenal v Nottingham Forest
Declan Rice,12/1,15/4,12/1,28/1,100/1,Arsenal v Nottingham Forest
Piero Hincapie,20/1,15/2,20/1,50/1,500/1,Arsenal v Nottingham Forest
Riccardo Calafiori,18/1,13/2,18/1,50/1,300/1,Arsenal v Nottingham Forest
Jurrien Timber,22/1,17/2,22/1,66/1,500/1,Arsenal v Nottingham Forest
Martin Zubimendi,22/1,17/2,22/1,66/1,500/1,Arsenal v Nottingham Forest
Myles Lewis-Skelly,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Cristhian Mosquera,28/1,12/1,28/1,100/1,500/1,Arsenal v Nottingham Forest
Christian Norgaard,18/1,13/2,18/1,50/1,300/1,Arsenal v Nottingham Forest
Ben White,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Gabriel Magalhaes,14/1,11/2,14/1,40/1,250/1,Arsenal v Nottingham Forest
William Saliba,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Chris Wood,9/1,11/4,9/1,16/1,66/1,Arsenal v Nottingham Forest
Igor Jesus,11/1,17/5,11/1,20/1,80/1,Arsenal v Nottingham Forest
Arnaud Kalimuendo,11/1,16/5,11/1,20/1,80/1,Arsenal v Nottingham Forest
James McAtee,16/1,11/2,16/1,40/1,250/1,Arsenal v Nottingham Forest
Dan Ndoye,16/1,11/2,16/1,40/1,250/1,Arsenal v Nottingham Forest
Morgan Gibbs-White,14/1,24/5,14/1,33/1,200/1,Arsenal v Nottingham Forest
Callum Hudson-Odoi,18/1,6/1,18/1,40/1,300/1,Arsenal v Nottingham Forest
Omari Hutchinson,18/1,6/1,18/1,50/1,300/1,Arsenal v Nottingham Forest
Nikola Milenkovic,28/1,12/1,28/1,100/1,500/1,Arsenal v Nottingham Forest
Douglas Luiz,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Ryan Yates,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Elliot Anderson,33/1,12/1,33/1,100/1,500/1,Arsenal v Nottingham Forest
Ibrahim Sangare,40/1,16/1,40/1,200/1,500/1,Arsenal v Nottingham Forest
Willy Boly,40/1,16/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Neco Williams,40/1,18/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Murillo,40/1,18/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Morato,50/1,22/1,50/1,300/1,500/1,Arsenal v Nottingham Forest
Nicolo Savona,50/1,22/1,50/1,300/1,500/1,Arsenal v Nottingham Forest
Viktor Gyokeres,3/1,4/5,3/1,4/1,14/1,Arsenal v Nottingham Forest
Bukayo Saka,17/4,6/5,17/4,13/2,25/1,Arsenal v Nottingham Forest
Andre Harriman-Annous,5/1,31/20,5/1,17/2,33/1,Arsenal v Nottingham Forest
Noni Madueke,6/1,7/4,6/1,10/1,40/1,Arsenal v Nottingham Forest
Leandro Trossard,6/1,7/4,6/1,10/1,40/1,Arsenal v Nottingham Forest
Eberechi Eze,6/1,15/8,6/1,11/1,40/1,Arsenal v Nottingham Forest
Max Dowman,13/2,2/1,13/2,12/1,50/1,Arsenal v Nottingham Forest
Ethan Nwaneri,7/1,21/10,7/1,12/1,50/1,Arsenal v Nottingham Forest
Gabriel Martinelli,7/1,21/10,7/1,12/1,50/1,Arsenal v Nottingham Forest
Mikel Merino,24/5,11/8,24/5,15/2,28/1,Arsenal v Nottingham Forest
Martin Odegaard,9/1,11/4,9/1,16/1,66/1,Arsenal v Nottingham Forest
Declan Rice,12/1,15/4,12/1,28/1,100/1,Arsenal v Nottingham Forest
Piero Hincapie,20/1,15/2,20/1,50/1,500/1,Arsenal v Nottingham Forest
Riccardo Calafiori,18/1,13/2,18/1,50/1,300/1,Arsenal v Nottingham Forest
Jurrien Timber,22/1,17/2,22/1,66/1,500/1,Arsenal v Nottingham Forest
Martin Zubimendi,22/1,17/2,22/1,66/1,500/1,Arsenal v Nottingham Forest
Myles Lewis-Skelly,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Cristhian Mosquera,28/1,12/1,28/1,100/1,500/1,Arsenal v Nottingham Forest
Christian Norgaard,18/1,13/2,18/1,50/1,300/1,Arsenal v Nottingham Forest
Ben White,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Gabriel Magalhaes,14/1,11/2,14/1,40/1,250/1,Arsenal v Nottingham Forest
William Saliba,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Chris Wood,9/1,11/4,9/1,16/1,66/1,Arsenal v Nottingham Forest
Igor Jesus,11/1,17/5,11/1,22/1,80/1,Arsenal v Nottingham Forest
Arnaud Kalimuendo,11/1,16/5,11/1,20/1,80/1,Arsenal v Nottingham Forest
James McAtee,16/1,11/2,16/1,40/1,250/1,Arsenal v Nottingham Forest
Dan Ndoye,16/1,11/2,16/1,40/1,250/1,Arsenal v Nottingham Forest
Morgan Gibbs-White,14/1,24/5,14/1,33/1,200/1,Arsenal v Nottingham Forest
Callum Hudson-Odoi,18/1,6/1,18/1,40/1,300/1,Arsenal v Nottingham Forest
Omari Hutchinson,18/1,6/1,18/1,50/1,300/1,Arsenal v Nottingham Forest
Nikola Milenkovic,28/1,12/1,28/1,100/1,500/1,Arsenal v Nottingham Forest
Douglas Luiz,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Ryan Yates,28/1,11/1,28/1,80/1,500/1,Arsenal v Nottingham Forest
Elliot Anderson,33/1,12/1,33/1,100/1,500/1,Arsenal v Nottingham Forest
Ibrahim Sangare,40/1,16/1,40/1,200/1,500/1,Arsenal v Nottingham Forest
Willy Boly,40/1,16/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Neco Williams,40/1,18/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Murillo,40/1,18/1,40/1,250/1,500/1,Arsenal v Nottingham Forest
Morato,50/1,22/1,50/1,300/1,500/1,Arsenal v Nottingham Forest
Nicolo Savona,50/1,22/1,50/1,300/1,500/1,Arsenal v Nottingham Forest
Evanilson,5/1,6/4,5/1,17/2,33/1,Bournemouth v Brighton
Eli Junior Kroupi,11/2,13/8,11/2,9/1,40/1,Bournemouth v Brighton
Antoine Semenyo,6/1,9/5,6/1,10/1,40/1,Bournemouth v Brighton
Justin Kluivert,7/1,21/10,7/1,12/1,50/1,Bournemouth v Brighton
Amine Adli,9/1,27/10,9/1,16/1,66/1,Bournemouth v Brighton
Romain Faivre,10/1,16/5,10/1,20/1,80/1,Bournemouth v Brighton
David Brooks,11/1,7/2,11/1,22/1,80/1,Bournemouth v Brighton
Ben Doak,11/1,7/2,11/1,22/1,80/1,Bournemouth v Brighton
Marcus Tavernier,12/1,15/4,12/1,25/1,100/1,Bournemouth v Brighton
Bafode Diakite,22/1,15/2,22/1,50/1,500/1,Bournemouth v Brighton
Ryan Christie,22/1,15/2,22/1,50/1,500/1,Bournemouth v Brighton
Alex Scott,22/1,15/2,22/1,50/1,500/1,Bournemouth v Brighton
Marcos Senesi,25/1,10/1,25/1,66/1,500/1,Bournemouth v Brighton
Alejandro Jimenez,25/1,9/1,25/1,66/1,500/1,Bournemouth v Brighton
Adrien Truffert,28/1,11/1,28/1,80/1,500/1,Bournemouth v Brighton
Veljko Milosavljevic,33/1,14/1,33/1,150/1,500/1,Bournemouth v Brighton
Julian Araujo,40/1,16/1,40/1,200/1,500/1,Bournemouth v Brighton
Tyler Adams,40/1,16/1,40/1,200/1,500/1,Bournemouth v Brighton
Lewis Cook,40/1,16/1,40/1,200/1,500/1,Bournemouth v Brighton
Julio Soler,40/1,16/1,40/1,200/1,500/1,Bournemouth v Brighton
James Hill,33/1,14/1,33/1,150/1,500/1,Bournemouth v Brighton
Danny Welbeck,11/2,13/8,11/2,9/1,33/1,Bournemouth v Brighton
Stefanos Tzimas,6/1,17/10,6/1,10/1,40/1,Bournemouth v Brighton
Kaoru Mitoma,9/1,14/5,9/1,16/1,66/1,Bournemouth v Brighton
Georginio Rutter,17/2,13/5,17/2,14/1,66/1,Bournemouth v Brighton
Tom Watson,10/1,3/1,10/1,18/1,80/1,Bournemouth v Brighton
Yankuba Minteh,11/1,10/3,11/1,20/1,80/1,Bournemouth v Brighton
Brajan Gruda,12/1,15/4,12/1,28/1,100/1,Bournemouth v Brighton
Diego Gomez,14/1,24/5,14/1,33/1,200/1,Bournemouth v Brighton
James Milner,11/1,18/5,11/1,22/1,100/1,Bournemouth v Brighton
Jack Hinshelwood,16/1,11/2,16/1,40/1,250/1,Bournemouth v Brighton
Yasin Ayari,16/1,6/1,16/1,40/1,300/1,Bournemouth v Brighton
Ferdi Kadioglu,20/1,7/1,20/1,50/1,500/1,Bournemouth v Brighton
Maxime De Cuyper,22/1,17/2,22/1,66/1,500/1,Bournemouth v Brighton
Mats Wieffer,25/1,10/1,25/1,66/1,500/1,Bournemouth v Brighton
Carlos Baleba,22/1,9/1,22/1,66/1,500/1,Bournemouth v Brighton
Lewis Dunk,28/1,12/1,28/1,100/1,500/1,Bournemouth v Brighton
Diego Coppola,28/1,12/1,28/1,100/1,500/1,Bournemouth v Brighton
Jan Paul van Hecke,33/1,14/1,33/1,150/1,500/1,Bournemouth v Brighton
Joel Veltman,40/1,16/1,40/1,200/1,500/1,Bournemouth v Brighton
Beto,5/1,7/4,5/1,10/1,40/1,Everton v Aston Villa
Iliman Ndiaye,6/1,2/1,6/1,12/1,50/1,Everton v Aston Villa
Thierno Barry,6/1,2/1,6/1,12/1,50/1,Everton v Aston Villa
Jack Grealish,10/1,7/2,10/1,22/1,80/1,Everton v Aston Villa
Kiernan Dewsbury-Hall,12/1,17/4,12/1,33/1,150/1,Everton v Aston Villa
Tyler Dibling,11/1,4/1,11/1,28/1,100/1,Everton v Aston Villa
Carlos Alcaraz,10/1,7/2,10/1,22/1,80/1,Everton v Aston Villa
Dwight McNeil,12/1,5/1,12/1,33/1,200/1,Everton v Aston Villa
Michael Keane,22/1,10/1,22/1,66/1,500/1,Everton v Aston Villa
Jake O'Brien,25/1,10/1,25/1,80/1,500/1,Everton v Aston Villa
James Tarkowski,28/1,11/1,28/1,80/1,500/1,Everton v Aston Villa
Jarrad Branthwaite,28/1,12/1,28/1,100/1,500/1,Everton v Aston Villa
Tim Iroegbunam,28/1,11/1,28/1,80/1,500/1,Everton v Aston Villa
James Garner,28/1,14/1,28/1,150/1,500/1,Everton v Aston Villa
Idrissa Gueye,28/1,14/1,28/1,150/1,500/1,Everton v Aston Villa
Vitaliy Mykolenko,33/1,16/1,33/1,200/1,500/1,Everton v Aston Villa
Seamus Coleman,40/1,18/1,40/1,250/1,500/1,Everton v Aston Villa
Adam Aznou,40/1,22/1,40/1,300/1,500/1,Everton v Aston Villa
Ollie Watkins,11/2,19/10,11/2,11/1,40/1,Everton v Aston Villa
Morgan Rogers,10/1,18/5,10/1,25/1,100/1,Everton v Aston Villa
Donyell Malen,9/1,16/5,9/1,20/1,80/1,Everton v Aston Villa
Evann Guessand,9/1,16/5,9/1,20/1,80/1,Everton v Aston Villa
Harvey Elliott,11/1,15/4,11/1,28/1,100/1,Everton v Aston Villa
Jadon Sancho,12/1,9/2,12/1,33/1,150/1,Everton v Aston Villa
Ross Barkley,12/1,24/5,12/1,33/1,200/1,Everton v Aston Villa
Emiliano Buendia,12/1,24/5,12/1,33/1,200/1,Everton v Aston Villa
Youri Tielemans,16/1,6/1,16/1,50/1,300/1,Everton v Aston Villa
John McGinn,22/1,9/1,22/1,66/1,500/1,Everton v Aston Villa
Amadou Onana,22/1,9/1,22/1,66/1,500/1,Everton v Aston Villa
Ian Maatsen,25/1,11/1,25/1,80/1,500/1,Everton v Aston Villa
Matty Cash,28/1,12/1,28/1,100/1,500/1,Everton v Aston Villa
Ezri Konsa,33/1,14/1,33/1,150/1,500/1,Everton v Aston Villa
Pau Torres,33/1,14/1,33/1,150/1,500/1,Everton v Aston Villa
Tyrone Mings,33/1,16/1,33/1,200/1,500/1,Everton v Aston Villa
Lucas Digne,40/1,18/1,40/1,250/1,500/1,Everton v Aston Villa
Victor Lindelof,40/1,18/1,40/1,250/1,500/1,Everton v Aston Villa
Boubacar Kamara,33/1,16/1,33/1,200/1,500/1,Everton v Aston Villa
Lamare Bogarde,40/1,22/1,40/1,300/1,500/1,Everton v Aston Villa
Raul Jimenez,15/4,5/4,15/4,13/2,28/1,Fulham v Leeds
Rodrigo Muniz,15/4,5/4,15/4,13/2,28/1,Fulham v Leeds
Harry Wilson,13/2,9/4,13/2,12/1,50/1,Fulham v Leeds
Emile Smith Rowe,8/1,14/5,8/1,16/1,66/1,Fulham v Leeds
Joshua King,9/1,16/5,9/1,20/1,80/1,Fulham v Leeds
Alex Iwobi,9/1,7/2,9/1,22/1,80/1,Fulham v Leeds
Adama Traore,10/1,15/4,10/1,25/1,100/1,Fulham v Leeds
Ryan Sessegnon,10/1,15/4,10/1,25/1,100/1,Fulham v Leeds
Sasa Lukic,18/1,15/2,18/1,50/1,500/1,Fulham v Leeds
Sander Berge,25/1,10/1,25/1,80/1,500/1,Fulham v Leeds
Kenny Tete,28/1,12/1,28/1,100/1,500/1,Fulham v Leeds
Joachim Andersen,28/1,12/1,28/1,100/1,500/1,Fulham v Leeds
Timothy Castagne,28/1,12/1,28/1,100/1,500/1,Fulham v Leeds
Calvin Bassey,33/1,14/1,33/1,150/1,500/1,Fulham v Leeds
Antonee Robinson,33/1,14/1,33/1,150/1,500/1,Fulham v Leeds
Dominic Calvert-Lewin,7/1,12/5,7/1,14/1,50/1,Fulham v Leeds
Joel Piroe,15/2,13/5,15/2,14/1,66/1,Fulham v Leeds
Lukas Nmecha,15/2,27/10,15/2,16/1,66/1,Fulham v Leeds
Daniel James,11/1,4/1,11/1,28/1,100/1,Fulham v Leeds
Wilfried Gnonto,11/1,15/4,11/1,28/1,100/1,Fulham v Leeds
Jack Harrison,12/1,24/5,12/1,33/1,200/1,Fulham v Leeds
Brenden Aaronson,14/1,11/2,14/1,40/1,250/1,Fulham v Leeds
Anton Stach,18/1,7/1,18/1,50/1,400/1,Fulham v Leeds
Jayden Bogle,25/1,10/1,25/1,80/1,500/1,Fulham v Leeds
Pascal Struijk,25/1,10/1,25/1,80/1,500/1,Fulham v Leeds
Sean Longstaff,22/1,10/1,22/1,66/1,500/1,Fulham v Leeds
Jaka Bijol,28/1,14/1,28/1,150/1,500/1,Fulham v Leeds
Gabriel Gudmundsson,33/1,14/1,33/1,150/1,500/1,Fulham v Leeds
James Justin,33/1,14/1,33/1,150/1,500/1,Fulham v Leeds
Ilia Gruev,33/1,16/1,33/1,200/1,500/1,Fulham v Leeds
Joe Rodon,40/1,22/1,40/1,300/1,500/1,Fulham v Leeds
Nick Woltemade,17/5,19/20,17/5,5/1,16/1,Newcastle v Wolves
Yoane Wissa,15/4,11/10,15/4,6/1,20/1,Newcastle v Wolves
William Osula,4/1,5/4,4/1,13/2,25/1,Newcastle v Wolves
Harvey Barnes,11/2,17/10,11/2,9/1,40/1,Newcastle v Wolves
Jacob Murphy,6/1,19/10,6/1,11/1,50/1,Newcastle v Wolves
Anthony Elanga,13/2,2/1,13/2,12/1,50/1,Newcastle v Wolves
Jacob Ramsey,8/1,13/5,8/1,16/1,66/1,Newcastle v Wolves
Fabian Schar,10/1,10/3,10/1,20/1,80/1,Newcastle v Wolves
Bruno Guimaraes,12/1,17/4,12/1,33/1,150/1,Newcastle v Wolves
Sandro Tonali,14/1,5/1,14/1,33/1,200/1,Newcastle v Wolves
Lewis Miley,14/1,11/2,14/1,40/1,250/1,Newcastle v Wolves
Dan Burn,22/1,9/1,22/1,66/1,500/1,Newcastle v Wolves
Sven Botman,22/1,9/1,22/1,66/1,500/1,Newcastle v Wolves
Lewis Hall,28/1,11/1,28/1,80/1,500/1,Newcastle v Wolves
Kieran Trippier,28/1,11/1,28/1,80/1,500/1,Newcastle v Wolves
Tino Livramento,28/1,12/1,28/1,100/1,500/1,Newcastle v Wolves
Joelinton,11/1,15/4,11/1,28/1,100/1,Newcastle v Wolves
