player names,first score,anytime score,last score,two or more,hatrick,contest
Jorgen Strand Larsen,15/2,9/4,15/2,12/1,50/1,Wolves v Newcastle
Hwang Hee-chan,9/1,29/10,9/1,16/1,66/1,Wolves v Newcastle
Tolu Arokodare,9/1,3/1,9/1,18/1,66/1,Wolves v Newcastle
Rodrigo Gomes,12/1,15/4,12/1,28/1,100/1,Wolves v Newcastle
Mateus Mane,12/1,4/1,12/1,28/1,100/1,Wolves v Newcastle
Fer Lopez,12/1,17/4,12/1,28/1,150/1,Wolves v Newcastle
Jhon Arias,14/1,17/4,14/1,33/1,150/1,Wolves v Newcastle
Tawanda Chirewa,16/1,11/2,16/1,40/1,250/1,Wolves v Newcastle
Ladislav Krejci,22/1,17/2,22/1,66/1,500/1,Wolves v Newcastle
Jean-Ricner Bellegarde,22/1,17/2,22/1,66/1,500/1,Wolves v Newcastle
Yerson Mosquera,25/1,10/1,25/1,66/1,500/1,Wolves v Newcastle
Pedro Lima,28/1,11/1,28/1,80/1,500/1,Wolves v Newcastle
Santiago Bueno,28/1,11/1,28/1,100/1,500/1,Wolves v Newcastle
Joao Gomes,28/1,12/1,28/1,100/1,500/1,Wolves v Newcastle
Matt Doherty,33/1,14/1,33/1,150/1,500/1,Wolves v Newcastle
David Moller Wolfe,33/1,14/1,33/1,150/1,500/1,Wolves v Newcastle
Jackson Tchatchoua,40/1,16/1,40/1,200/1,500/1,Wolves v Newcastle
Hugo Bueno,40/1,16/1,40/1,200/1,500/1,Wolves v Newcastle
Andre,50/1,33/1,50/1,300/1,500/1,Wolves v Newcastle
Nick Woltemade,9/2,5/4,9/2,13/2,25/1,Wolves v Newcastle
Yoane Wissa,24/5,13/10,24/5,7/1,28/1,Wolves v Newcastle
Harvey Barnes,6/1,7/4,6/1,10/1,40/1,Wolves v Newcastle
Anthony Gordon,6/1,7/4,6/1,10/1,40/1,Wolves v Newcastle
Jacob Murphy,10/1,16/5,10/1,18/1,80/1,Wolves v Newcastle
Anthony Elanga,12/1,15/4,12/1,28/1,100/1,Wolves v Newcastle
Joe Willock,12/1,15/4,12/1,28/1,100/1,Wolves v Newcastle
Bruno Guimaraes,14/1,5/1,14/1,40/1,200/1,Wolves v Newcastle
Joelinton,14/1,5/1,14/1,40/1,200/1,Wolves v Newcastle
Jacob Ramsey,18/1,6/1,18/1,50/1,300/1,Wolves v Newcastle
Lewis Miley,20/1,7/1,20/1,50/1,500/1,Wolves v Newcastle
Malick Thiaw,22/1,17/2,22/1,66/1,500/1,Wolves v Newcastle
Sandro Tonali,22/1,17/2,22/1,66/1,500/1,Wolves v Newcastle
