player names,first score,anytime score,last score,two or more,hatrick,contest
Cole Palmer,5/1,13/8,5/1,9/1,33/1,Chelsea v Everton
Marc Guiu,11/2,9/5,11/2,10/1,40/1,Chelsea v Everton
Estevao,6/1,2/1,6/1,11/1,50/1,Chelsea v Everton
Joao Pedro,6/1,2/1,6/1,11/1,50/1,Chelsea v Everton
Alejandro Garnacho,15/2,5/2,15/2,14/1,66/1,Chelsea v Everton
Pedro Neto,9/1,29/10,9/1,16/1,66/1,Chelsea v Everton
Jamie Gittens,9/1,29/10,9/1,16/1,66/1,Chelsea v Everton
Enzo Fernandez,7/1,9/4,7/1,12/1,50/1,Chelsea v Everton
Andrey Santos,12/1,23/5,12/1,33/1,150/1,Chelsea v Everton
Reece James,16/1,13/2,16/1,50/1,300/1,Chelsea v Everton
Trevoh Chalobah,20/1,15/2,20/1,50/1,500/1,Chelsea v Everton
Marc Cucurella,20/1,15/2,20/1,50/1,500/1,Chelsea v Everton
Tosin Adarabioyo,22/1,9/1,22/1,66/1,500/1,Chelsea v Everton
Wesley Fofana,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
Benoit Badiashile,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
Jorrel Hato,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
Josh Acheampong,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
Malo Gusto,33/1,14/1,33/1,150/1,500/1,Chelsea v Everton
Beto,15/2,12/5,15/2,14/1,50/1,Chelsea v Everton
Thierno Barry,17/2,29/10,17/2,16/1,66/1,Chelsea v Everton
Iliman Ndiaye,10/1,17/5,10/1,22/1,80/1,Chelsea v Everton
Kiernan Dewsbury-Hall,14/1,11/2,14/1,40/1,250/1,Chelsea v Everton
Carlos Alcaraz,14/1,5/1,14/1,40/1,200/1,Chelsea v Everton
Tyler Dibling,14/1,5/1,14/1,40/1,200/1,Chelsea v Everton
Jack Grealish,16/1,6/1,16/1,40/1,300/1,Chelsea v Everton
Dwight McNeil,16/1,6/1,16/1,40/1,300/1,Chelsea v Everton
Michael Keane,25/1,10/1,25/1,80/1,500/1,Chelsea v Everton
Jake O'Brien,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
James Tarkowski,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
James Garner,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
Tim Iroegbunam,28/1,12/1,28/1,100/1,500/1,Chelsea v Everton
