player names,first score,anytime score,last score,two or more,hatrick,contest
Joao Pedro,23/5,13/10,23/5,7/1,28/1,Chelsea v Fulham
Cole Palmer,9/2,13/10,9/2,7/1,28/1,Chelsea v Fulham
Liam Delap,24/5,29/20,24/5,8/1,33/1,Chelsea v Fulham
Pedro Neto,8/1,13/5,8/1,14/1,66/1,Chelsea v Fulham
Estevao,15/2,12/5,15/2,14/1,50/1,Chelsea v Fulham
Jamie Gittens,9/1,14/5,9/1,16/1,66/1,Chelsea v Fulham
Enzo Fernandez,11/1,18/5,11/1,25/1,100/1,Chelsea v Fulham
Marc Cucurella,18/1,7/1,18/1,50/1,400/1,Chelsea v Fulham
Reece James,22/1,9/1,22/1,66/1,500/1,Chelsea v Fulham
Trevoh Chalobah,25/1,10/1,25/1,66/1,500/1,Chelsea v Fulham
Tosin Adarabioyo,25/1,10/1,25/1,66/1,500/1,Chelsea v Fulham
Josh Acheampong,28/1,12/1,28/1,100/1,500/1,Chelsea v Fulham
Moises Caicedo,28/1,12/1,28/1,100/1,500/1,Chelsea v Fulham
Malo Gusto,28/1,12/1,28/1,100/1,500/1,Chelsea v Fulham
Jorrel Hato,33/1,14/1,33/1,150/1,500/1,Chelsea v Fulham
Rodrigo Muniz,15/2,9/4,15/2,12/1,50/1,Chelsea v Fulham
Raul Jimenez,15/2,9/4,15/2,12/1,50/1,Chelsea v Fulham
Harry Wilson,12/1,4/1,12/1,28/1,100/1,Chelsea v Fulham
Emile Smith Rowe,14/1,24/5,14/1,33/1,200/1,Chelsea v Fulham
Alex Iwobi,16/1,5/1,16/1,40/1,250/1,Chelsea v Fulham
Joshua King,16/1,11/2,16/1,40/1,250/1,Chelsea v Fulham
Adama Traore,16/1,11/2,16/1,40/1,250/1,Chelsea v Fulham
Ryan Sessegnon,16/1,6/1,16/1,40/1,300/1,Chelsea v Fulham
Sasa Lukic,28/1,11/1,28/1,80/1,500/1,Chelsea v Fulham
Sander Berge,33/1,12/1,33/1,100/1,500/1,Chelsea v Fulham
Timothy Castagne,33/1,14/1,33/1,200/1,500/1,Chelsea v Fulham
Jorge Cuenca,40/1,16/1,40/1,200/1,500/1,Chelsea v Fulham
Kenny Tete,40/1,16/1,40/1,200/1,500/1,Chelsea v Fulham
Joachim Andersen,40/1,16/1,40/1,200/1,500/1,Chelsea v Fulham
Calvin Bassey,40/1,18/1,40/1,250/1,500/1,Chelsea v Fulham
Antonee Robinson,40/1,18/1,40/1,250/1,500/1,Chelsea v Fulham
Zian Flemming,10/1,29/10,10/1,18/1,80/1,Man Utd v Burnley
Lyle Foster,11/1,16/5,12/1,25/1,100/1,Man Utd v Burnley
Jaidon Anthony,12/1,4/1,12/1,28/1,100/1,Man Utd v Burnley
Ashley Barnes,12/1,15/4,12/1,28/1,100/1,Man Utd v Burnley
Armando Broja,11/1,7/2,11/1,22/1,80/1,Man Utd v Burnley
Jacob Bruun Larsen,12/1,15/4,12/1,28/1,100/1,Man Utd v Burnley
Aaron Ramsey,12/1,4/1,12/1,28/1,100/1,Man Utd v Burnley
Marcus Edwards,16/1,11/2,16/1,40/1,250/1,Man Utd v Burnley
Loum Tchaouna,20/1,13/2,20/1,50/1,400/1,Man Utd v Burnley
Mike Tresor,20/1,15/2,20/1,50/1,500/1,Man Utd v Burnley
Jaydon Banel,20/1,7/1,20/1,50/1,400/1,Man Utd v Burnley
Josh Laurent,25/1,9/1,25/1,66/1,500/1,Man Utd v Burnley
