player names,first score,anytime score,last score,two or more,hatrick,contest
Ollie Watkins,17/4,5/4,17/4,7/1,28/1,Aston Villa v Nottingham Forest
Donyell Malen,17/4,5/4,17/4,7/1,28/1,Aston Villa v Nottingham Forest
Morgan Rogers,13/2,2/1,13/2,12/1,50/1,Aston Villa v Nottingham Forest
Emiliano Buendia,17/2,14/5,17/2,16/1,66/1,Aston Villa v Nottingham Forest
John McGinn,9/1,3/1,9/1,18/1,80/1,Aston Villa v Nottingham Forest
Jadon Sancho,9/1,3/1,9/1,18/1,80/1,Aston Villa v Nottingham Forest
Youri Tielemans,14/1,5/1,14/1,40/1,200/1,Aston Villa v Nottingham Forest
Amadou Onana,18/1,13/2,18/1,50/1,400/1,Aston Villa v Nottingham Forest
Matty Cash,18/1,15/2,18/1,50/1,500/1,Aston Villa v Nottingham Forest
Ian Maatsen,22/1,9/1,22/1,66/1,500/1,Aston Villa v Nottingham Forest
Ezri Konsa,28/1,12/1,28/1,100/1,500/1,Aston Villa v Nottingham Forest
Boubacar Kamara,28/1,11/1,28/1,80/1,500/1,Aston Villa v Nottingham Forest
Victor Lindelof,33/1,14/1,33/1,150/1,500/1,Aston Villa v Nottingham Forest
Lucas Digne,33/1,16/1,33/1,200/1,500/1,Aston Villa v Nottingham Forest
Lamare Bogarde,33/1,14/1,33/1,150/1,500/1,Aston Villa v Nottingham Forest
Taiwo Awoniyi,17/2,27/10,17/2,16/1,66/1,Aston Villa v Nottingham Forest
Igor Jesus,15/2,5/2,15/2,14/1,50/1,Aston Villa v Nottingham Forest
Morgan Gibbs-White,12/1,17/4,12/1,33/1,150/1,Aston Villa v Nottingham Forest
Callum Hudson-Odoi,14/1,24/5,14/1,33/1,200/1,Aston Villa v Nottingham Forest
Omari Hutchinson,16/1,6/1,16/1,40/1,300/1,Aston Villa v Nottingham Forest
Elliot Anderson,16/1,6/1,16/1,40/1,300/1,Aston Villa v Nottingham Forest
Douglas Luiz,25/1,11/1,25/1,80/1,500/1,Aston Villa v Nottingham Forest
Nikola Milenkovic,28/1,11/1,28/1,80/1,500/1,Aston Villa v Nottingham Forest
Nicolas Dominguez,28/1,11/1,28/1,80/1,500/1,Aston Villa v Nottingham Forest
Nicolo Savona,28/1,12/1,28/1,100/1,500/1,Aston Villa v Nottingham Forest
Murillo,33/1,16/1,33/1,200/1,500/1,Aston Villa v Nottingham Forest
Neco Williams,33/1,16/1,33/1,200/1,500/1,Aston Villa v Nottingham Forest
Morato,40/1,18/1,40/1,250/1,500/1,Aston Villa v Nottingham Forest
Oleksandr Zinchenko,40/1,18/1,40/1,250/1,500/1,Aston Villa v Nottingham Forest
Danny Welbeck,15/4,21/20,15/4,11/2,20/1,Brighton v Burnley
Georginio Rutter,5/1,29/20,5/1,8/1,33/1,Brighton v Burnley
Kaoru Mitoma,6/1,15/8,6/1,11/1,40/1,Brighton v Burnley
Diego Gomez,7/1,11/5,7/1,12/1,50/1,Brighton v Burnley
Yankuba Minteh,15/2,12/5,15/2,14/1,50/1,Brighton v Burnley
Brajan Gruda,15/2,12/5,15/2,14/1,50/1,Brighton v Burnley
Maxime De Cuyper,10/1,16/5,10/1,18/1,80/1,Brighton v Burnley
James Milner,9/1,29/10,9/1,16/1,66/1,Brighton v Burnley
Yasin Ayari,14/1,19/4,14/1,33/1,150/1,Brighton v Burnley
Jack Hinshelwood,11/1,7/2,11/1,22/1,80/1,Brighton v Burnley
Jan Paul van Hecke,18/1,13/2,18/1,50/1,400/1,Brighton v Burnley
Lewis Dunk,20/1,15/2,20/1,50/1,500/1,Brighton v Burnley
Ferdi Kadioglu,16/1,11/2,16/1,40/1,250/1,Brighton v Burnley
Joel Veltman,22/1,8/1,22/1,66/1,500/1,Brighton v Burnley
Olivier Boscagli,22/1,8/1,22/1,66/1,500/1,Brighton v Burnley
Diego Coppola,22/1,8/1,22/1,66/1,500/1,Brighton v Burnley
Armando Broja,8/1,5/2,8/1,14/1,66/1,Brighton v Burnley
Zian Flemming,8/1,5/2,8/1,14/1,66/1,Brighton v Burnley
Marcus Edwards,12/1,17/4,12/1,33/1,150/1,Brighton v Burnley
Jaidon Anthony,12/1,17/4,12/1,33/1,150/1,Brighton v Burnley
Lesley Ugochukwu,16/1,11/2,16/1,40/1,250/1,Brighton v Burnley
Loum Tchaouna,16/1,6/1,16/1,40/1,300/1,Brighton v Burnley
Jacob Bruun Larsen,16/1,11/2,16/1,40/1,250/1,Brighton v Burnley
Josh Laurent,33/1,12/1,33/1,100/1,500/1,Brighton v Burnley
Florentino Luis,33/1,12/1,33/1,100/1,500/1,Brighton v Burnley
Bashir Humphreys,40/1,16/1,40/1,250/1,500/1,Brighton v Burnley
Hjalmar Ekdal,40/1,18/1,40/1,250/1,500/1,Brighton v Burnley
Lucas Pires,40/1,18/1,40/1,250/1,500/1,Brighton v Burnley
Kyle Walker,50/1,25/1,50/1,300/1,500/1,Brighton v Burnley
Jorgen Strand Larsen,24/5,31/20,24/5,17/2,33/1,Wolves v West Ham
Tolu Arokodare,6/1,2/1,13/2,12/1,50/1,Wolves v West Ham
Hwang Hee-chan,13/2,11/5,7/1,14/1,50/1,Wolves v West Ham
Mateus Mane,17/2,3/1,9/1,20/1,80/1,Wolves v West Ham
Fernando Lopez,11/1,15/4,11/1,28/1,100/1,Wolves v West Ham
Jhon Arias,9/1,10/3,12/1,33/1,150/1,Wolves v West Ham
Ladislav Krejci,20/1,8/1,20/1,66/1,500/1,Wolves v West Ham
Joao Gomes,20/1,8/1,20/1,66/1,500/1,Wolves v West Ham
Yerson Mosquera,22/1,9/1,22/1,66/1,500/1,Wolves v West Ham
Matt Doherty,25/1,11/1,25/1,80/1,500/1,Wolves v West Ham
Jackson Tchatchoua,25/1,11/1,25/1,80/1,500/1,Wolves v West Ham
Hugo Bueno,28/1,14/1,28/1,100/1,500/1,Wolves v West Ham
Santiago Bueno,28/1,14/1,28/1,100/1,500/1,Wolves v West Ham
David Moller Wolfe,28/1,14/1,28/1,100/1,500/1,Wolves v West Ham
Andre,40/1,16/1,40/1,250/1,500/1,Wolves v West Ham
Callum Wilson,11/2,9/5,11/2,10/1,40/1,Wolves v West Ham
Jarrod Bowen,13/2,21/10,7/1,14/1,50/1,Wolves v West Ham
Lucas Paqueta,17/2,14/5,17/2,16/1,66/1,Wolves v West Ham
Crysencio Summerville,10/1,18/5,10/1,22/1,100/1,Wolves v West Ham
Tomas Soucek,10/1,18/5,10/1,22/1,100/1,Wolves v West Ham
