player names,first score,anytime score,last score,two or more,hatrick,contest
Danny Welbeck,9/2,7/5,9/2,15/2,28/1,Brighton v Leeds
Stefanos Tzimas,5/1,8/5,5/1,9/1,33/1,Brighton v Leeds
Tom Watson,7/1,23/10,7/1,12/1,50/1,Brighton v Leeds
Georginio Rutter,8/1,13/5,8/1,16/1,66/1,Brighton v Leeds
Yankuba Minteh,8/1,11/4,8/1,16/1,66/1,Brighton v Leeds
Diego Gomez,9/1,3/1,9/1,18/1,80/1,Brighton v Leeds
James Milner,11/1,4/1,11/1,28/1,100/1,Brighton v Leeds
Yasin Ayari,16/1,6/1,16/1,40/1,300/1,Brighton v Leeds
Ferdi Kadioglu,20/1,15/2,20/1,50/1,500/1,Brighton v Leeds
Maxime De Cuyper,18/1,7/1,18/1,50/1,400/1,Brighton v Leeds
Mats Wieffer,22/1,9/1,22/1,66/1,500/1,Brighton v Leeds
Carlos Baleba,20/1,8/1,20/1,66/1,500/1,Brighton v Leeds
Lewis Dunk,25/1,11/1,25/1,80/1,500/1,Brighton v Leeds
Olivier Boscagli,28/1,12/1,28/1,100/1,500/1,Brighton v Leeds
Diego Coppola,28/1,12/1,28/1,100/1,500/1,Brighton v Leeds
Jan Paul van Hecke,28/1,12/1,28/1,100/1,500/1,Brighton v Leeds
Charalampos Kostoulas,6/1,2/1,6/1,12/1,50/1,Brighton v Leeds
Kaoru Mitoma,15/2,13/5,15/2,14/1,66/1,Brighton v Leeds
Joel Veltman,40/1,18/1,40/1,250/1,500/1,Brighton v Leeds
Lukas Nmecha,6/1,2/1,6/1,11/1,50/1,Brighton v Leeds
Dominic Calvert-Lewin,7/1,11/5,7/1,12/1,50/1,Brighton v Leeds
Joel Piroe,7/1,11/5,7/1,12/1,50/1,Brighton v Leeds
Wilfried Gnonto,10/1,17/5,10/1,22/1,80/1,Brighton v Leeds
Daniel James,10/1,18/5,10/1,22/1,100/1,Brighton v Leeds
Noah Okafor,11/1,15/4,11/1,25/1,100/1,Brighton v Leeds
Brenden Aaronson,12/1,17/4,12/1,28/1,150/1,Brighton v Leeds
Jack Harrison,14/1,24/5,14/1,33/1,200/1,Brighton v Leeds
Pascal Struijk,16/1,13/2,16/1,50/1,300/1,Brighton v Leeds
Anton Stach,18/1,7/1,18/1,50/1,400/1,Brighton v Leeds
Ao Tanaka,20/1,8/1,20/1,50/1,500/1,Brighton v Leeds
Jayden Bogle,22/1,9/1,22/1,66/1,500/1,Brighton v Leeds
James Justin,22/1,9/1,22/1,66/1,500/1,Brighton v Leeds
Sean Longstaff,25/1,10/1,25/1,66/1,500/1,Brighton v Leeds
Jaka Bijol,28/1,12/1,28/1,100/1,500/1,Brighton v Leeds
Gabriel Gudmondsson,33/1,16/1,33/1,200/1,500/1,Brighton v Leeds
Joe Rodon,33/1,16/1,33/1,200/1,500/1,Brighton v Leeds
Ethan Ampadu,33/1,16/1,33/1,200/1,500/1,Brighton v Leeds
Ilia Gruev,33/1,16/1,33/1,200/1,500/1,Brighton v Leeds
Zian Flemming,11/1,15/4,12/1,28/1,100/1,Burnley v Arsenal
Jaidon Anthony,14/1,5/1,14/1,33/1,200/1,Burnley v Arsenal
Lyle Foster,12/1,17/4,14/1,33/1,200/1,Burnley v Arsenal
Ashley Barnes,14/1,24/5,14/1,33/1,200/1,Burnley v Arsenal
Armando Broja,14/1,24/5,14/1,33/1,200/1,Burnley v Arsenal
Jacob Bruun Larsen,14/1,5/1,16/1,40/1,300/1,Burnley v Arsenal
Jaydon Banel,18/1,13/2,18/1,50/1,400/1,Burnley v Arsenal
Loum Tchaouna,20/1,15/2,20/1,50/1,500/1,Burnley v Arsenal
Marcus Edwards,18/1,13/2,18/1,50/1,400/1,Burnley v Arsenal
Mike Tresor,25/1,9/1,25/1,66/1,500/1,Burnley v Arsenal
Josh Laurent,28/1,11/1,28/1,80/1,500/1,Burnley v Arsenal
Lesley Ugochukwu,33/1,12/1,33/1,100/1,500/1,Burnley v Arsenal
Hjalmar Ekdal,33/1,14/1,33/1,150/1,500/1,Burnley v Arsenal
Oliver Sonne,33/1,14/1,33/1,150/1,500/1,Burnley v Arsenal
Hannibal Mejbri,33/1,12/1,33/1,100/1,500/1,Burnley v Arsenal
Josh Cullen,40/1,18/1,40/1,300/1,500/1,Burnley v Arsenal
Bashir Humphreys,40/1,20/1,40/1,300/1,500/1,Burnley v Arsenal
Joe Worrall,50/1,25/1,50/1,300/1,500/1,Burnley v Arsenal
Lucas Pires,50/1,25/1,50/1,300/1,500/1,Burnley v Arsenal
Hannes Delcroix,50/1,25/1,50/1,300/1,500/1,Burnley v Arsenal
Maxime Esteve,50/1,33/1,50/1,300/1,500/1,Burnley v Arsenal
Quilindschy Hartman,50/1,33/1,50/1,300/1,500/1,Burnley v Arsenal
Florentino Luis,66/1,33/1,66/1,300/1,500/1,Burnley v Arsenal
Kyle Walker,80/1,50/1,80/1,300/1,500/1,Burnley v Arsenal
Axel Tuanzebe,66/1,40/1,66/1,300/1,500/1,Burnley v Arsenal
Viktor Gyokeres,14/5,3/4,18/5,11/2,20/1,Burnley v Arsenal
Bukayo Saka,23/5,11/8,23/5,15/2,28/1,Burnley v Arsenal
Max Dowman,6/1,19/10,6/1,11/1,40/1,Burnley v Arsenal
Eberechi Eze,11/2,15/8,13/2,12/1,50/1,Burnley v Arsenal
Leandro Trossard,6/1,19/10,6/1,11/1,50/1,Burnley v Arsenal
Gabriel Martinelli,13/2,21/10,13/2,12/1,50/1,Burnley v Arsenal
Mikel Merino,9/2,13/10,8/1,14/1,50/1,Burnley v Arsenal
Ethan Nwaneri,15/2,12/5,15/2,14/1,50/1,Burnley v Arsenal
Riccardo Calafiori,14/1,11/2,14/1,40/1,250/1,Burnley v Arsenal
Declan Rice,14/1,11/2,14/1,40/1,250/1,Burnley v Arsenal
Gabriel Magalhaes,16/1,13/2,16/1,50/1,300/1,Burnley v Arsenal
Christian Norgaard,16/1,6/1,16/1,50/1,300/1,Burnley v Arsenal
Jurrien Timber,18/1,7/1,18/1,50/1,400/1,Burnley v Arsenal
Martin Zubimendi,22/1,17/2,22/1,66/1,500/1,Burnley v Arsenal
Piero Hincapie,20/1,15/2,20/1,50/1,500/1,Burnley v Arsenal
William Saliba,33/1,14/1,33/1,150/1,500/1,Burnley v Arsenal
Cristhian Mosquera,33/1,14/1,33/1,150/1,500/1,Burnley v Arsenal
Ben White,33/1,12/1,33/1,100/1,500/1,Burnley v Arsenal
Myles Lewis-Skelly,40/1,16/1,40/1,250/1,500/1,Burnley v Arsenal
Jean-Philippe Mateta,7/2,Evs,7/2,5/1,16/1,Crystal Palace v Brentford
Eddie Nketiah,23/5,13/10,23/5,7/1,28/1,Crystal Palace v Brentford
Ismaila Sarr,13/2,19/10,13/2,11/1,40/1,Crystal Palace v Brentford
Christantus Uche,13/2,2/1,13/2,12/1,50/1,Crystal Palace v Brentford
Yeremy Pino,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Brentford
Romaine Esse,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Brentford
Justin Devenny,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Brentford
Daniel Munoz,14/1,19/4,14/1,33/1,150/1,Crystal Palace v Brentford
Daichi Kamada,12/1,17/4,12/1,28/1,150/1,Crystal Palace v Brentford
Jefferson Lerma,20/1,8/1,20/1,50/1,500/1,Crystal Palace v Brentford
Maxence Lacroix,22/1,9/1,22/1,66/1,500/1,Crystal Palace v Brentford
Marc Guehi,22/1,9/1,22/1,66/1,500/1,Crystal Palace v Brentford
Tyrick Mitchell,25/1,10/1,25/1,80/1,500/1,Crystal Palace v Brentford
Chris Richards,28/1,11/1,28/1,100/1,500/1,Crystal Palace v Brentford
Adam Wharton,28/1,11/1,28/1,100/1,500/1,Crystal Palace v Brentford
Will Hughes,28/1,11/1,28/1,100/1,500/1,Crystal Palace v Brentford
Jaydee Canvot,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Brentford
Borna Sosa,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Brentford
Nathaniel Clyne,50/1,25/1,50/1,300/1,500/1,Crystal Palace v Brentford
Igor Thiago,11/2,13/8,11/2,9/1,40/1,Crystal Palace v Brentford
Kevin Schade,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Brentford
Dango Ouattara,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Brentford
Fabio Carvalho,10/1,16/5,10/1,20/1,80/1,Crystal Palace v Brentford
Reiss Nelson,11/1,18/5,11/1,25/1,100/1,Crystal Palace v Brentford
Mikkel Damsgaard,18/1,13/2,18/1,50/1,300/1,Crystal Palace v Brentford
Keane Lewis-Potter,14/1,5/1,14/1,40/1,200/1,Crystal Palace v Brentford
Mathias Jensen,22/1,8/1,22/1,66/1,500/1,Crystal Palace v Brentford
