player names,first score,anytime score,last score,two or more,hatrick,contest
Evanilson,24/5,8/5,24/5,9/1,33/1,Bournemouth v Fulham
Eli Junior Kroupi,5/1,13/8,5/1,9/1,40/1,Bournemouth v Fulham
Antoine Semenyo,6/1,21/10,6/1,12/1,50/1,Bournemouth v Fulham
Justin Kluivert,13/2,23/10,13/2,14/1,50/1,Bournemouth v Fulham
Amine Adli,9/1,16/5,9/1,18/1,80/1,Bournemouth v Fulham
David Brooks,9/1,17/5,9/1,22/1,80/1,Bournemouth v Fulham
Marcus Tavernier,10/1,18/5,10/1,25/1,100/1,Bournemouth v Fulham
Ben Doak,11/1,4/1,11/1,28/1,100/1,Bournemouth v Fulham
Romain Faivre,11/1,4/1,11/1,28/1,100/1,Bournemouth v Fulham
Ryan Christie,14/1,11/2,14/1,40/1,250/1,Bournemouth v Fulham
Alex Scott,18/1,15/2,18/1,50/1,500/1,Bournemouth v Fulham
Bafode Diakite,20/1,17/2,20/1,66/1,500/1,Bournemouth v Fulham
Alex Jimenez,25/1,10/1,25/1,80/1,500/1,Bournemouth v Fulham
Marcos Senesi,25/1,10/1,25/1,80/1,500/1,Bournemouth v Fulham
Adrien Truffert,25/1,10/1,25/1,80/1,500/1,Bournemouth v Fulham
James Hill,28/1,12/1,28/1,100/1,500/1,Bournemouth v Fulham
Veljko Milosavljevic,28/1,12/1,28/1,100/1,500/1,Bournemouth v Fulham
Tyler Adams,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Julio Soler,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Raul Jimenez,6/1,19/10,6/1,11/1,40/1,Bournemouth v Fulham
Rodrigo Muniz,6/1,21/10,6/1,12/1,50/1,Bournemouth v Fulham
Harry Wilson,11/1,4/1,11/1,28/1,100/1,Bournemouth v Fulham
Emile Smith Rowe,12/1,17/4,12/1,33/1,150/1,Bournemouth v Fulham
Alex Iwobi,12/1,23/5,12/1,33/1,150/1,Bournemouth v Fulham
Joshua King,14/1,5/1,14/1,40/1,200/1,Bournemouth v Fulham
Adama Traore,14/1,5/1,14/1,40/1,200/1,Bournemouth v Fulham
Tom Cairney,20/1,8/1,20/1,50/1,500/1,Bournemouth v Fulham
Ryan Sessegnon,22/1,9/1,22/1,66/1,500/1,Bournemouth v Fulham
Sasa Lukic,25/1,10/1,25/1,80/1,500/1,Bournemouth v Fulham
Harrison Reed,28/1,12/1,28/1,100/1,500/1,Bournemouth v Fulham
Sander Berge,28/1,12/1,28/1,100/1,500/1,Bournemouth v Fulham
Joachim Andersen,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Kenny Tete,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Jorge Cuenca,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Timothy Castagne,33/1,16/1,33/1,200/1,500/1,Bournemouth v Fulham
Calvin Bassey,40/1,18/1,40/1,250/1,500/1,Bournemouth v Fulham
Dominic Calvert-Lewin,19/4,6/4,19/4,8/1,33/1,Leeds v Tottenham
Joel Piroe,11/2,15/8,11/2,10/1,40/1,Leeds v Tottenham
Lukas Nmecha,13/2,21/10,13/2,12/1,50/1,Leeds v Tottenham
Noah Okafor,9/1,16/5,9/1,20/1,80/1,Leeds v Tottenham
Brenden Aaronson,12/1,17/4,12/1,33/1,150/1,Leeds v Tottenham
Jack Harrison,12/1,17/4,12/1,33/1,150/1,Leeds v Tottenham
Anton Stach,14/1,11/2,14/1,40/1,250/1,Leeds v Tottenham
Jayden Bogle,18/1,15/2,18/1,50/1,500/1,Leeds v Tottenham
Ao Tanaka,16/1,13/2,16/1,50/1,400/1,Leeds v Tottenham
Pascal Struijk,14/1,11/2,14/1,40/1,250/1,Leeds v Tottenham
Sean Longstaff,20/1,8/1,20/1,50/1,500/1,Leeds v Tottenham
Sebastiaan Bornauw,22/1,9/1,22/1,66/1,500/1,Leeds v Tottenham
James Justin,22/1,10/1,22/1,66/1,500/1,Leeds v Tottenham
Jaka Bijol,28/1,11/1,28/1,100/1,500/1,Leeds v Tottenham
Gabriel Gudmundsson,28/1,12/1,28/1,100/1,500/1,Leeds v Tottenham
Ilia Gruev,33/1,14/1,33/1,150/1,500/1,Leeds v Tottenham
Joe Rodon,33/1,16/1,33/1,200/1,500/1,Leeds v Tottenham
Ethan Ampadu,33/1,16/1,33/1,200/1,500/1,Leeds v Tottenham
Richarlison,5/1,31/20,5/1,9/1,33/1,Leeds v Tottenham
Mathys Tel,13/2,21/10,13/2,12/1,50/1,Leeds v Tottenham
Brennan Johnson,8/1,27/10,8/1,16/1,66/1,Leeds v Tottenham
Mohammed Kudus,9/1,16/5,9/1,18/1,80/1,Leeds v Tottenham
Xavi Simons,8/1,27/10,8/1,16/1,66/1,Leeds v Tottenham
Wilson Odobert,10/1,18/5,10/1,25/1,100/1,Leeds v Tottenham
Pape Matar Sarr,14/1,11/2,14/1,40/1,250/1,Leeds v Tottenham
Joao Palhinha,18/1,7/1,18/1,50/1,500/1,Leeds v Tottenham
Lucas Bergvall,16/1,13/2,16/1,50/1,300/1,Leeds v Tottenham
Pedro Porro,22/1,9/1,22/1,66/1,500/1,Leeds v Tottenham
Cristian Romero,22/1,9/1,22/1,66/1,500/1,Leeds v Tottenham
Micky van de Ven,22/1,9/1,22/1,66/1,500/1,Leeds v Tottenham
Rodrigo Bentancur,22/1,9/1,22/1,66/1,500/1,Leeds v Tottenham
Kevin Danso,28/1,12/1,28/1,100/1,500/1,Leeds v Tottenham
Djed Spence,28/1,14/1,28/1,100/1,500/1,Leeds v Tottenham
Destiny Udogie,40/1,18/1,40/1,250/1,500/1,Leeds v Tottenham
Archie Gray,40/1,18/1,40/1,250/1,500/1,Leeds v Tottenham
Viktor Gyokeres,27/10,13/20,27/10,16/5,11/1,Arsenal v West Ham
Bukayo Saka,17/4,23/20,17/4,6/1,22/1,Arsenal v West Ham
Leandro Trossard,11/2,31/20,11/2,17/2,33/1,Arsenal v West Ham
Max Dowman,11/2,8/5,11/2,9/1,33/1,Arsenal v West Ham
Eberechi Eze,6/1,9/5,6/1,10/1,40/1,Arsenal v West Ham
Gabriel Martinelli,6/1,13/8,6/1,9/1,40/1,Arsenal v West Ham
Mikel Merino,8/1,12/5,8/1,14/1,50/1,Arsenal v West Ham
Martin Odegaard,9/1,14/5,9/1,16/1,66/1,Arsenal v West Ham
Declan Rice,11/1,7/2,11/1,22/1,100/1,Arsenal v West Ham
Gabriel Magalhaes0,14/1,5/1,14/1,40/1,200/1,Arsenal v West Ham
Christian Norgaard,14/1,5/1,14/1,40/1,200/1,Arsenal v West Ham
Riccardo Calafiori,18/1,6/1,18/1,40/1,300/1,Arsenal v West Ham
Martin Zubimendi,18/1,6/1,18/1,40/1,300/1,Arsenal v West Ham
Jurrien Timber,22/1,17/2,22/1,66/1,500/1,Arsenal v West Ham
William Saliba,22/1,17/2,22/1,66/1,500/1,Arsenal v West Ham
Ben White,25/1,10/1,25/1,66/1,500/1,Arsenal v West Ham
Myles Lewis-Skelly,25/1,10/1,25/1,66/1,500/1,Arsenal v West Ham
Cristhian Mosquera,28/1,11/1,28/1,100/1,500/1,Arsenal v West Ham
Jarrod Bowen,16/1,24/5,16/1,33/1,200/1,Arsenal v West Ham
Callum Wilson,14/1,24/5,14/1,33/1,200/1,Arsenal v West Ham
Niclas Fullkrug,16/1,24/5,16/1,33/1,200/1,Arsenal v West Ham
Callum Marshall,16/1,5/1,16/1,40/1,200/1,Arsenal v West Ham
Lucas Paqueta,18/1,6/1,18/1,40/1,300/1,Arsenal v West Ham
Crysencio Summerville,22/1,8/1,22/1,66/1,500/1,Arsenal v West Ham
Luis Guilherme,28/1,10/1,28/1,80/1,500/1,Arsenal v West Ham
Andy Irving,28/1,11/1,28/1,80/1,500/1,Arsenal v West Ham
El Hadji Malick Diouf,33/1,14/1,33/1,150/1,500/1,Arsenal v West Ham
Mateus Fernandes,33/1,14/1,33/1,150/1,500/1,Arsenal v West Ham
Freddie Potts,40/1,16/1,40/1,200/1,500/1,Arsenal v West Ham
Oliver Scarles,40/1,16/1,40/1,250/1,500/1,Arsenal v West Ham
Konstantinos Mavropanos,50/1,22/1,50/1,300/1,500/1,Arsenal v West Ham
Guido Rodriguez,50/1,22/1,50/1,300/1,500/1,Arsenal v West Ham
Kyle Walker-Peters,50/1,25/1,50/1,300/1,500/1,Arsenal v West Ham
Max Kilman,50/1,25/1,50/1,300/1,500/1,Arsenal v West Ham
