player names,first score,anytime score,last score,two or more,hatrick,contest
Jarrod Bowen,6/1,23/10,7/1,14/1,50/1,West Ham v Sunderland
Taty Castellanos,6/1,9/4,13/2,14/1,50/1,West Ham v Sunderland
Callum Wilson,6/1,21/10,6/1,12/1,50/1,West Ham v Sunderland
Pablo,17/2,16/5,17/2,20/1,80/1,West Ham v Sunderland
Lucas Paqueta,11/1,4/1,11/1,28/1,100/1,West Ham v Sunderland
Tomas Soucek,12/1,9/2,12/1,33/1,150/1,West Ham v Sunderland
Crysencio Summerville,12/1,9/2,12/1,33/1,150/1,West Ham v Sunderland
Konstantinos Mavropanos,22/1,10/1,22/1,66/1,500/1,West Ham v Sunderland
Mateus Fernandes,28/1,12/1,28/1,100/1,500/1,West Ham v Sunderland
Max Kilman,28/1,12/1,28/1,100/1,500/1,West Ham v Sunderland
El Hadji Malick Diouf,28/1,12/1,28/1,100/1,500/1,West Ham v Sunderland
Soungoutou Magassa,28/1,14/1,28/1,150/1,500/1,West Ham v Sunderland
Freddie Potts,28/1,14/1,28/1,150/1,500/1,West Ham v Sunderland
Oliver Scarles,40/1,16/1,40/1,250/1,500/1,West Ham v Sunderland
Kyle Walker-Peters,40/1,18/1,40/1,250/1,500/1,West Ham v Sunderland
Guido Rodriguez,28/1,14/1,28/1,150/1,500/1,West Ham v Sunderland
Jean-Clair Todibo,40/1,20/1,40/1,300/1,500/1,West Ham v Sunderland
Aaron Wan-Bissaka,40/1,25/1,50/1,300/1,500/1,West Ham v Sunderland
Igor Julio,40/1,25/1,50/1,300/1,500/1,West Ham v Sunderland
Brian Brobbey,6/1,21/10,6/1,12/1,50/1,West Ham v Sunderland
Wilson Isidor,13/2,9/4,13/2,12/1,50/1,West Ham v Sunderland
Eliezer Mayenda,7/1,5/2,7/1,14/1,66/1,West Ham v Sunderland
Romaine Mundle,11/1,4/1,11/1,28/1,100/1,West Ham v Sunderland
Enzo Le Fee,12/1,24/5,12/1,33/1,200/1,West Ham v Sunderland
Chemsdine Talbi,11/1,4/1,11/1,28/1,100/1,West Ham v Sunderland
Simon Adingra,11/1,4/1,11/1,28/1,100/1,West Ham v Sunderland
Daniel Ballard,20/1,8/1,20/1,66/1,500/1,West Ham v Sunderland
Granit Xhaka,20/1,8/1,20/1,66/1,500/1,West Ham v Sunderland
Chris Rigg,18/1,15/2,18/1,50/1,500/1,West Ham v Sunderland
Habib Diarra,16/1,13/2,18/1,50/1,500/1,West Ham v Sunderland
Nordi Mukiele,22/1,9/1,22/1,66/1,500/1,West Ham v Sunderland
Trai Hume,22/1,10/1,22/1,66/1,500/1,West Ham v Sunderland
