player names,first score,anytime score,last score,two or more,hatrick,contest
Yoane Wissa,6/1,7/4,6/1,10/1,40/1,Newcastle v Chelsea
Nick Woltemade,13/2,19/10,13/2,11/1,40/1,Newcastle v Chelsea
Anthony Gordon,6/1,19/10,6/1,11/1,40/1,Newcastle v Chelsea
Harvey Barnes,15/2,23/10,15/2,12/1,50/1,Newcastle v Chelsea
Anthony Elanga,10/1,3/1,10/1,18/1,80/1,Newcastle v Chelsea
Jacob Murphy,11/1,18/5,11/1,22/1,100/1,Newcastle v Chelsea
Jacob Ramsey,12/1,17/4,12/1,33/1,150/1,Newcastle v Chelsea
Joe Willock,16/1,11/2,16/1,40/1,250/1,Newcastle v Chelsea
Bruno Guimaraes,16/1,6/1,16/1,50/1,300/1,Newcastle v Chelsea
Joelinton,16/1,6/1,16/1,50/1,300/1,Newcastle v Chelsea
Sandro Tonali,18/1,7/1,18/1,50/1,400/1,Newcastle v Chelsea
Lewis Miley,22/1,17/2,22/1,66/1,500/1,Newcastle v Chelsea
Malick Thiaw,28/1,11/1,28/1,80/1,500/1,Newcastle v Chelsea
Fabian Schar,28/1,11/1,28/1,80/1,500/1,Newcastle v Chelsea
Sven Botman,33/1,12/1,33/1,100/1,500/1,Newcastle v Chelsea
Lewis Hall,40/1,16/1,40/1,250/1,500/1,Newcastle v Chelsea
Cole Palmer,13/2,19/10,13/2,11/1,40/1,Newcastle v Chelsea
Marc Guiu,7/1,21/10,7/1,12/1,50/1,Newcastle v Chelsea
Joao Pedro,15/2,23/10,15/2,14/1,50/1,Newcastle v Chelsea
Estevao,15/2,23/10,15/2,14/1,50/1,Newcastle v Chelsea
Alejandro Garnacho,9/1,3/1,9/1,18/1,66/1,Newcastle v Chelsea
Pedro Neto,10/1,17/5,10/1,22/1,80/1,Newcastle v Chelsea
Jamie Gittens,10/1,17/5,10/1,22/1,80/1,Newcastle v Chelsea
Enzo Fernandez,11/1,18/5,11/1,25/1,100/1,Newcastle v Chelsea
Andrey Santos,14/1,5/1,14/1,40/1,200/1,Newcastle v Chelsea
Reece James,20/1,15/2,20/1,50/1,500/1,Newcastle v Chelsea
Trevoh Chalobah,22/1,17/2,22/1,66/1,500/1,Newcastle v Chelsea
Marc Cucurella,22/1,17/2,22/1,66/1,500/1,Newcastle v Chelsea
Moises Caicedo,22/1,17/2,22/1,66/1,500/1,Newcastle v Chelsea
Tosin Adarabioyo,28/1,12/1,28/1,100/1,500/1,Newcastle v Chelsea
Wesley Fofana,33/1,14/1,33/1,150/1,500/1,Newcastle v Chelsea
Benoit Badiashile,33/1,14/1,33/1,150/1,500/1,Newcastle v Chelsea
Jorrel Hato,33/1,14/1,33/1,150/1,500/1,Newcastle v Chelsea
Josh Acheampong,33/1,14/1,33/1,150/1,500/1,Newcastle v Chelsea
Malo Gusto,28/1,12/1,28/1,100/1,500/1,Newcastle v Chelsea
Evanilson,17/4,6/5,17/4,6/1,22/1,Bournemouth v Burnley
Eli Junior Kroupi,17/4,5/4,17/4,13/2,25/1,Bournemouth v Burnley
Enes Unal,17/4,5/4,17/4,13/2,25/1,Bournemouth v Burnley
Antoine Semenyo,24/5,7/5,24/5,15/2,33/1,Bournemouth v Burnley
Justin Kluivert,5/1,31/20,5/1,17/2,33/1,Bournemouth v Burnley
Amine Adli,7/1,21/10,7/1,12/1,50/1,Bournemouth v Burnley
Marcus Tavernier,9/1,29/10,9/1,16/1,66/1,Bournemouth v Burnley
David Brooks,8/1,5/2,8/1,14/1,50/1,Bournemouth v Burnley
Alejandro Jimenez,12/1,17/4,12/1,33/1,150/1,Bournemouth v Burnley
Bafode Diakite,18/1,13/2,18/1,50/1,400/1,Bournemouth v Burnley
Alex Scott,18/1,13/2,18/1,50/1,400/1,Bournemouth v Burnley
Marcos Senesi,22/1,8/1,22/1,66/1,500/1,Bournemouth v Burnley
Adrien Truffert,25/1,10/1,25/1,80/1,500/1,Bournemouth v Burnley
Tyler Adams,25/1,10/1,25/1,80/1,500/1,Bournemouth v Burnley
Julian Araujo,33/1,12/1,33/1,100/1,500/1,Bournemouth v Burnley
James Hill,33/1,12/1,33/1,100/1,500/1,Bournemouth v Burnley
Julio Soler,33/1,16/1,33/1,200/1,500/1,Bournemouth v Burnley
Adam Smith,40/1,22/1,40/1,300/1,500/1,Bournemouth v Burnley
Zian Flemming,9/1,11/4,9/1,16/1,66/1,Bournemouth v Burnley
Armando Broja,10/1,17/5,10/1,22/1,80/1,Bournemouth v Burnley
Jaidon Anthony,12/1,17/4,12/1,33/1,150/1,Bournemouth v Burnley
Jacob Bruun Larsen,12/1,9/2,12/1,33/1,150/1,Bournemouth v Burnley
Marcus Edwards,14/1,5/1,14/1,33/1,200/1,Bournemouth v Burnley
Josh Laurent,25/1,9/1,25/1,66/1,500/1,Bournemouth v Burnley
Oliver Sonne,28/1,12/1,28/1,100/1,500/1,Bournemouth v Burnley
Lesley Ugochukwu,28/1,12/1,28/1,100/1,500/1,Bournemouth v Burnley
Josh Cullen,33/1,12/1,33/1,100/1,500/1,Bournemouth v Burnley
Florentino Luis,33/1,12/1,33/1,100/1,500/1,Bournemouth v Burnley
Hjalmar Ekdal,40/1,18/1,40/1,250/1,500/1,Bournemouth v Burnley
Joe Worrall,40/1,20/1,40/1,300/1,500/1,Bournemouth v Burnley
Maxime Esteve,50/1,25/1,50/1,300/1,500/1,Bournemouth v Burnley
Quilindschy Hartman,50/1,25/1,50/1,300/1,500/1,Bournemouth v Burnley
Danny Welbeck,15/4,23/20,15/4,6/1,22/1,Brighton v Sunderland
Georginio Rutter,5/1,6/4,5/1,17/2,33/1,Brighton v Sunderland
Charalampos Kostoulas,5/1,6/4,5/1,17/2,33/1,Brighton v Sunderland
Kaoru Mitoma,13/2,21/10,13/2,12/1,50/1,Brighton v Sunderland
Yankuba Minteh,15/2,12/5,15/2,14/1,50/1,Brighton v Sunderland
Maxime De Cuyper,9/1,3/1,9/1,18/1,66/1,Brighton v Sunderland
Brajan Gruda,10/1,10/3,10/1,20/1,80/1,Brighton v Sunderland
Jan Paul van Hecke,16/1,6/1,16/1,50/1,300/1,Brighton v Sunderland
Ferdi Kadioglu,16/1,6/1,16/1,50/1,300/1,Brighton v Sunderland
Yasin Ayari,16/1,6/1,16/1,50/1,300/1,Brighton v Sunderland
Jack Hinshelwood,16/1,6/1,16/1,50/1,300/1,Brighton v Sunderland
Mats Wieffer,20/1,15/2,20/1,50/1,500/1,Brighton v Sunderland
Olivier Boscagli,22/1,9/1,22/1,66/1,500/1,Brighton v Sunderland
Joel Veltman,22/1,9/1,22/1,66/1,500/1,Brighton v Sunderland
Wilson Isidor,8/1,5/2,8/1,14/1,66/1,Brighton v Sunderland
Brian Brobbey,17/2,11/4,17/2,16/1,66/1,Brighton v Sunderland
Eliezer Mayenda,9/1,3/1,9/1,18/1,66/1,Brighton v Sunderland
Simon Adingra,12/1,23/5,12/1,33/1,150/1,Brighton v Sunderland
Romaine Mundle,12/1,23/5,12/1,33/1,150/1,Brighton v Sunderland
Enzo Le Fee,16/1,6/1,16/1,40/1,300/1,Brighton v Sunderland
Chris Rigg,14/1,11/2,14/1,40/1,250/1,Brighton v Sunderland
Daniel Ballard,20/1,8/1,20/1,66/1,500/1,Brighton v Sunderland
Lutsharel Geertruida,25/1,10/1,25/1,80/1,500/1,Brighton v Sunderland
Omar Alderete,25/1,10/1,25/1,80/1,500/1,Brighton v Sunderland
Nordi Mukiele,28/1,12/1,28/1,100/1,500/1,Brighton v Sunderland
Granit Xhaka,28/1,12/1,28/1,100/1,500/1,Brighton v Sunderland
Trai Hume,33/1,12/1,33/1,100/1,500/1,Brighton v Sunderland
Dan Neil,33/1,14/1,33/1,150/1,500/1,Brighton v Sunderland
Erling Haaland,19/10,1/3,19/10,13/8,5/1,Man City v West Ham
Phil Foden,11/2,5/4,13/2,9/1,33/1,Man City v West Ham
Rayan Cherki,8/1,2/1,8/1,12/1,50/1,Man City v West Ham
Tijjani Reijnders,12/1,16/5,12/1,18/1,80/1,Man City v West Ham
Savinho,9/1,5/2,9/1,14/1,50/1,Man City v West Ham
Nico O'Reilly,14/1,17/4,14/1,28/1,150/1,Man City v West Ham
Josko Gvardiol,20/1,6/1,20/1,40/1,300/1,Man City v West Ham
Nico Gonzalez,20/1,6/1,20/1,40/1,300/1,Man City v West Ham
Bernardo Silva,16/1,5/1,20/1,40/1,300/1,Man City v West Ham
Matheus Nunes,22/1,8/1,22/1,50/1,500/1,Man City v West Ham
John Stones,22/1,8/1,22/1,50/1,500/1,Man City v West Ham
Nathan Ake,22/1,8/1,22/1,50/1,500/1,Man City v West Ham
Rico Lewis,22/1,8/1,22/1,50/1,500/1,Man City v West Ham
Ruben Dias,28/1,11/1,28/1,80/1,500/1,Man City v West Ham
Abdukodir Khusanov,28/1,11/1,28/1,80/1,500/1,Man City v West Ham
Oscar Bobb,8/1,2/1,8/1,12/1,50/1,Man City v West Ham
Callum Wilson,12/1,16/5,12/1,18/1,80/1,Man City v West Ham
Jarrod Bowen,12/1,17/5,12/1,22/1,80/1,Man City v West Ham
Niclas Fullkrug,12/1,17/5,12/1,22/1,80/1,Man City v West Ham
Lucas Paqueta,16/1,19/4,16/1,33/1,150/1,Man City v West Ham
Crysencio Summerville,16/1,19/4,16/1,33/1,150/1,Man City v West Ham
Tomas Soucek,18/1,11/2,18/1,40/1,250/1,Man City v West Ham
Mateus Fernandes,28/1,10/1,28/1,80/1,500/1,Man City v West Ham
Konstantinos Mavropanos,33/1,14/1,33/1,150/1,500/1,Man City v West Ham
Max Kilman,40/1,16/1,40/1,200/1,500/1,Man City v West Ham
Kyle Walker-Peters,40/1,16/1,40/1,200/1,500/1,Man City v West Ham
Soungoutou Magassa,40/1,16/1,40/1,200/1,500/1,Man City v West Ham
Oliver Scarles,40/1,16/1,40/1,200/1,500/1,Man City v West Ham
Freddie Potts,40/1,16/1,40/1,200/1,500/1,Man City v West Ham
Guido Rodriguez,50/1,20/1,50/1,300/1,500/1,Man City v West Ham
Jean-Clair Todibo,50/1,28/1,50/1,300/1,500/1,Man City v West Ham
Igor Julio,50/1,28/1,50/1,300/1,500/1,Man City v West Ham
Jorgen Strand Larsen,11/2,9/5,11/2,10/1,40/1,Wolves v Brentford
Tolu Arokodare,7/1,12/5,7/1,14/1,50/1,Wolves v Brentford
Hwang Hee-chan,9/1,3/1,9/1,18/1,66/1,Wolves v Brentford
Mateus Mane,9/1,3/1,9/1,18/1,66/1,Wolves v Brentford
Jhon Arias,11/1,15/4,11/1,25/1,100/1,Wolves v Brentford
Ladislav Krejci,16/1,6/1,16/1,40/1,300/1,Wolves v Brentford
Fernando Lopez,16/1,6/1,16/1,40/1,300/1,Wolves v Brentford
Joao Gomes,18/1,7/1,18/1,50/1,400/1,Wolves v Brentford
Jackson Tchatchoua,20/1,8/1,20/1,50/1,500/1,Wolves v Brentford
Matt Doherty,28/1,11/1,28/1,80/1,500/1,Wolves v Brentford
