player names,first score,anytime score,last score,two or more,hatrick,contest
Igor Thiago,16/5,10/11,16/5,23/5,16/1,Brentford v Burnley
Kevin Schade,6/1,9/5,6/1,10/1,40/1,Brentford v Burnley
Dango Ouattara,13/2,2/1,13/2,12/1,50/1,Brentford v Burnley
Mathias Jensen,10/1,17/5,10/1,22/1,80/1,Brentford v Burnley
Mikkel Damsgaard,12/1,4/1,12/1,28/1,100/1,Brentford v Burnley
Keane Lewis-Potter,12/1,4/1,12/1,28/1,100/1,Brentford v Burnley
Vitaly Janelt,20/1,15/2,20/1,50/1,500/1,Brentford v Burnley
Nathan Collins,22/1,9/1,22/1,66/1,500/1,Brentford v Burnley
Aaron Hickey,22/1,17/2,22/1,66/1,500/1,Brentford v Burnley
Sepp van den Berg,25/1,10/1,25/1,80/1,500/1,Brentford v Burnley
Kristoffer Ajer,25/1,10/1,25/1,80/1,500/1,Brentford v Burnley
Jordan Henderson,28/1,11/1,28/1,80/1,500/1,Brentford v Burnley
Michael Kayode,33/1,12/1,33/1,100/1,500/1,Brentford v Burnley
Zian Flemming,17/2,14/5,17/2,16/1,66/1,Brentford v Burnley
Armando Broja,10/1,17/5,10/1,22/1,80/1,Brentford v Burnley
Jaidon Anthony,11/1,15/4,11/1,25/1,100/1,Brentford v Burnley
Jacob Bruun Larsen,14/1,5/1,14/1,33/1,200/1,Brentford v Burnley
Loum Tchaouna,16/1,6/1,16/1,50/1,300/1,Brentford v Burnley
Lesley Ugochukwu,20/1,15/2,20/1,50/1,500/1,Brentford v Burnley
Josh Laurent,28/1,11/1,28/1,80/1,500/1,Brentford v Burnley
Josh Cullen,28/1,12/1,28/1,100/1,500/1,Brentford v Burnley
Florentino Luis,33/1,14/1,33/1,150/1,500/1,Brentford v Burnley
Quilindschy Hartman,40/1,22/1,40/1,300/1,500/1,Brentford v Burnley
Maxime Esteve,50/1,28/1,50/1,300/1,500/1,Brentford v Burnley
Axel Tuanzebe,66/1,40/1,66/1,300/1,500/1,Brentford v Burnley
Kyle Walker,66/1,40/1,66/1,300/1,500/1,Brentford v Burnley
Lyle Foster,11/1,18/5,11/1,25/1,100/1,Brentford v Burnley
Lukas Nmecha,11/1,17/5,11/1,22/1,80/1,Man City v Leeds
Joel Piroe,12/1,17/5,12/1,22/1,80/1,Man City v Leeds
Dominic Calvert-Lewin,14/1,24/5,14/1,33/1,200/1,Man City v Leeds
Daniel James,16/1,11/2,16/1,40/1,250/1,Man City v Leeds
