player names,first score,anytime score,last score,two or more,hatrick,contest
Ollie Watkins,15/2,13/5,15/2,14/1,66/1,Aston Villa v Arsenal
Donyell Malen,8/1,14/5,8/1,16/1,66/1,Aston Villa v Arsenal
Morgan Rogers,11/1,17/4,11/1,33/1,150/1,Aston Villa v Arsenal
Evann Guessand,11/1,4/1,11/1,28/1,100/1,Aston Villa v Arsenal
Emiliano Buendia,14/1,11/2,14/1,40/1,250/1,Aston Villa v Arsenal
John McGinn,14/1,11/2,14/1,40/1,250/1,Aston Villa v Arsenal
Jadon Sancho,14/1,6/1,14/1,40/1,300/1,Aston Villa v Arsenal
Youri Tielemans,18/1,7/1,18/1,50/1,500/1,Aston Villa v Arsenal
Amadou Onana,25/1,11/1,25/1,80/1,500/1,Aston Villa v Arsenal
Matty Cash,28/1,12/1,28/1,100/1,500/1,Aston Villa v Arsenal
Ian Maatsen,28/1,12/1,28/1,100/1,500/1,Aston Villa v Arsenal
Pau Torres,33/1,16/1,33/1,200/1,500/1,Aston Villa v Arsenal
Ezri Konsa,40/1,18/1,40/1,300/1,500/1,Aston Villa v Arsenal
Boubacar Kamara,40/1,22/1,40/1,300/1,500/1,Aston Villa v Arsenal
Lucas Digne,40/1,22/1,40/1,300/1,500/1,Aston Villa v Arsenal
Lamare Bogarde,40/1,22/1,40/1,300/1,500/1,Aston Villa v Arsenal
Viktor Gyokeres,23/5,31/20,23/5,17/2,33/1,Aston Villa v Arsenal
Bukayo Saka,6/1,2/1,6/1,12/1,50/1,Aston Villa v Arsenal
Mikel Merino,13/2,23/10,13/2,12/1,50/1,Aston Villa v Arsenal
Eberechi Eze,15/2,11/4,15/2,16/1,66/1,Aston Villa v Arsenal
Gabriel Martinelli,8/1,29/10,8/1,16/1,66/1,Aston Villa v Arsenal
Leandro Trossard,8/1,14/5,8/1,16/1,66/1,Aston Villa v Arsenal
Ethan Nwaneri,9/1,17/5,9/1,20/1,80/1,Aston Villa v Arsenal
Declan Rice,14/1,11/2,14/1,40/1,250/1,Aston Villa v Arsenal
Riccardo Calafiori,20/1,8/1,20/1,50/1,500/1,Aston Villa v Arsenal
Christian Norgaard,20/1,8/1,20/1,50/1,500/1,Aston Villa v Arsenal
Jurrien Timber,22/1,10/1,22/1,80/1,500/1,Aston Villa v Arsenal
Martin Zubimendi,22/1,9/1,22/1,66/1,500/1,Aston Villa v Arsenal
Piero Hincapie,28/1,12/1,28/1,100/1,500/1,Aston Villa v Arsenal
William Saliba,28/1,14/1,28/1,150/1,500/1,Aston Villa v Arsenal
Myles Lewis-Skelly,28/1,14/1,28/1,150/1,500/1,Aston Villa v Arsenal
Cristhian Mosquera,33/1,16/1,33/1,200/1,500/1,Aston Villa v Arsenal
Noni Madueke,17/2,3/1,17/2,18/1,80/1,Aston Villa v Arsenal
Martin Odegaard,17/2,3/1,17/2,18/1,80/1,Aston Villa v Arsenal
Antoine Semenyo,13/2,2/1,13/2,11/1,50/1,Bournemouth v Chelsea
Evanilson,13/2,19/10,13/2,11/1,40/1,Bournemouth v Chelsea
Eli Junior Kroupi,13/2,19/10,13/2,11/1,50/1,Bournemouth v Chelsea
Enes Unal,7/1,21/10,7/1,12/1,50/1,Bournemouth v Chelsea
Justin Kluivert,17/2,13/5,17/2,14/1,66/1,Bournemouth v Chelsea
Amine Adli,9/1,3/1,9/1,18/1,66/1,Bournemouth v Chelsea
David Brooks,12/1,15/4,12/1,28/1,100/1,Bournemouth v Chelsea
