player names,first score,anytime score,last score,two or more,hatrick,contest
Zian Flemming,9/1,14/5,9/1,16/1,66/1,Burnley v Chelsea
Jaidon Anthony,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Lyle Foster,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Armando Broja,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Jacob Bruun Larsen,12/1,4/1,12/1,28/1,100/1,Burnley v Chelsea
Marcus Edwards,12/1,23/5,12/1,33/1,150/1,Burnley v Chelsea
Loum Tchaouna,14/1,5/1,14/1,40/1,250/1,Burnley v Chelsea
Lesley Ugochukwu,22/1,17/2,22/1,66/1,500/1,Burnley v Chelsea
Hannibal Mejbri,22/1,17/2,22/1,66/1,500/1,Burnley v Chelsea
Josh Laurent,28/1,11/1,28/1,80/1,500/1,Burnley v Chelsea
Florentino Luis,28/1,12/1,28/1,100/1,500/1,Burnley v Chelsea
Josh Cullen,33/1,14/1,33/1,150/1,500/1,Burnley v Chelsea
Hjalmar Ekdal,40/1,18/1,40/1,250/1,500/1,Burnley v Chelsea
Lucas Pires,40/1,18/1,40/1,250/1,500/1,Burnley v Chelsea
Quilindschy Hartman,40/1,22/1,40/1,300/1,500/1,Burnley v Chelsea
Axel Tuanzebe,50/1,28/1,50/1,300/1,500/1,Burnley v Chelsea
Maxime Esteve,50/1,28/1,50/1,300/1,500/1,Burnley v Chelsea
Kyle Walker,50/1,33/1,50/1,300/1,500/1,Burnley v Chelsea
Liam Delap,23/5,11/8,23/5,15/2,28/1,Burnley v Chelsea
Joao Pedro,24/5,7/5,24/5,8/1,33/1,Burnley v Chelsea
Marc Guiu,5/1,6/4,5/1,17/2,33/1,Burnley v Chelsea
Tyrique George,13/2,2/1,13/2,12/1,50/1,Burnley v Chelsea
Estevao,13/2,2/1,13/2,12/1,50/1,Burnley v Chelsea
Enzo Fernandez,15/2,23/10,15/2,14/1,50/1,Burnley v Chelsea
Alejandro Garnacho,7/1,11/5,7/1,12/1,50/1,Burnley v Chelsea
Facundo Buonanotte,15/2,23/10,15/2,14/1,50/1,Burnley v Chelsea
Jamie Gittens,8/1,5/2,8/1,14/1,66/1,Burnley v Chelsea
Pedro Neto,17/2,11/4,17/2,16/1,66/1,Burnley v Chelsea
Andrey Santos,11/1,18/5,11/1,25/1,100/1,Burnley v Chelsea
Marc Cucurella,16/1,6/1,16/1,50/1,300/1,Burnley v Chelsea
Reece James,20/1,15/2,20/1,50/1,500/1,Burnley v Chelsea
Trevoh Chalobah,22/1,8/1,22/1,66/1,500/1,Burnley v Chelsea
Tosin Adarabioyo,22/1,8/1,22/1,66/1,500/1,Burnley v Chelsea
Moises Caicedo,22/1,8/1,22/1,66/1,500/1,Burnley v Chelsea
Malo Gusto,25/1,10/1,25/1,80/1,500/1,Burnley v Chelsea
Jorrel Hato,25/1,10/1,25/1,80/1,500/1,Burnley v Chelsea
Josh Acheampong,25/1,10/1,25/1,80/1,500/1,Burnley v Chelsea
Wesley Fofana,28/1,12/1,28/1,100/1,500/1,Burnley v Chelsea
Zian Flemming,9/1,14/5,9/1,16/1,66/1,Burnley v Chelsea
Jaidon Anthony,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Lyle Foster,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Armando Broja,10/1,17/5,10/1,22/1,80/1,Burnley v Chelsea
Jacob Bruun Larsen,12/1,4/1,12/1,28/1,100/1,Burnley v Chelsea
