player names,first score,anytime score,last score,two or more,hatrick,contest
Randal Kolo Muani,11/2,13/8,11/2,9/1,40/1,Tottenham v Man Utd
Richarlison,11/2,13/8,11/2,9/1,40/1,Tottenham v Man Utd
Mathys Tel,6/1,17/10,6/1,10/1,40/1,Tottenham v Man Utd
Brennan Johnson,9/1,27/10,9/1,16/1,66/1,Tottenham v Man Utd
Mohammed Kudus,9/1,29/10,9/1,16/1,66/1,Tottenham v Man Utd
Xavi Simons,10/1,16/5,10/1,20/1,80/1,Tottenham v Man Utd
Wilson Odobert,11/1,7/2,11/1,22/1,80/1,Tottenham v Man Utd
Pape Sarr,14/1,24/5,14/1,33/1,200/1,Tottenham v Man Utd
Lucas Bergvall,16/1,11/2,16/1,40/1,250/1,Tottenham v Man Utd
Micky van de Ven,20/1,7/1,20/1,50/1,400/1,Tottenham v Man Utd
Joao Palhinha,20/1,7/1,20/1,50/1,400/1,Tottenham v Man Utd
Pedro Porro,25/1,9/1,25/1,66/1,500/1,Tottenham v Man Utd
Rodrigo Bentancur,22/1,9/1,22/1,66/1,500/1,Tottenham v Man Utd
Cristian Romero,28/1,10/1,28/1,80/1,500/1,Tottenham v Man Utd
Kevin Danso,28/1,11/1,28/1,80/1,500/1,Tottenham v Man Utd
Djed Spence,33/1,14/1,33/1,150/1,500/1,Tottenham v Man Utd
Destiny Udogie,40/1,16/1,40/1,200/1,500/1,Tottenham v Man Utd
Benjamin Sesko,13/2,19/10,13/2,11/1,40/1,Tottenham v Man Utd
Bryan Mbeumo,15/2,11/5,15/2,12/1,50/1,Tottenham v Man Utd
Bruno Fernandes,9/1,14/5,9/1,16/1,66/1,Tottenham v Man Utd
Matheus Cunha,8/1,12/5,8/1,14/1,50/1,Tottenham v Man Utd
Mason Mount,11/1,7/2,11/1,22/1,100/1,Tottenham v Man Utd
Amad Diallo,12/1,4/1,12/1,28/1,100/1,Tottenham v Man Utd
Harry Maguire,20/1,7/1,20/1,50/1,500/1,Tottenham v Man Utd
Casemiro,18/1,13/2,18/1,50/1,400/1,Tottenham v Man Utd
Kobbie Mainoo,18/1,13/2,18/1,50/1,400/1,Tottenham v Man Utd
Patrick Dorgu,22/1,17/2,22/1,66/1,500/1,Tottenham v Man Utd
Matthijs De Ligt,25/1,10/1,25/1,66/1,500/1,Tottenham v Man Utd
Diogo Dalot,28/1,11/1,28/1,80/1,500/1,Tottenham v Man Utd
Leny Yoro,28/1,12/1,28/1,100/1,500/1,Tottenham v Man Utd
Manuel Ugarte,28/1,12/1,28/1,100/1,500/1,Tottenham v Man Utd
Noussair Mazraoui,33/1,14/1,33/1,150/1,500/1,Tottenham v Man Utd
Luke Shaw,50/1,28/1,50/1,300/1,500/1,Tottenham v Man Utd
Thierno Barry,5/1,19/10,5/1,11/1,40/1,Everton v Fulham
Iliman Ndiaye,6/1,9/4,6/1,12/1,50/1,Everton v Fulham
Beto,24/5,7/4,24/5,10/1,40/1,Everton v Fulham
Carlos Alcaraz,10/1,15/4,10/1,25/1,100/1,Everton v Fulham
Jack Grealish,10/1,4/1,12/1,33/1,150/1,Everton v Fulham
Tyler Dibling,12/1,23/5,12/1,33/1,150/1,Everton v Fulham
Kiernan Dewsbury-Hall,14/1,11/2,14/1,40/1,250/1,Everton v Fulham
Dwight McNeil,14/1,11/2,14/1,40/1,250/1,Everton v Fulham
Michael Keane,22/1,9/1,22/1,66/1,500/1,Everton v Fulham
James Garner,22/1,9/1,22/1,66/1,500/1,Everton v Fulham
Tim Iroegbunam,22/1,9/1,22/1,66/1,500/1,Everton v Fulham
Jake O'Brien,22/1,10/1,22/1,80/1,500/1,Everton v Fulham
James Tarkowski,22/1,10/1,22/1,80/1,500/1,Everton v Fulham
Idrissa Gueye,25/1,11/1,25/1,80/1,500/1,Everton v Fulham
Adam Aznou,28/1,14/1,28/1,150/1,500/1,Everton v Fulham
Vitaliy Mykolenko,33/1,18/1,33/1,250/1,500/1,Everton v Fulham
Seamus Coleman,33/1,18/1,33/1,250/1,500/1,Everton v Fulham
Raul Jimenez,6/1,21/10,6/1,12/1,50/1,Everton v Fulham
Rodrigo Muniz,6/1,9/4,6/1,12/1,50/1,Everton v Fulham
Harry Wilson,11/1,17/4,11/1,33/1,150/1,Everton v Fulham
Emile Smith Rowe,11/1,17/4,11/1,33/1,150/1,Everton v Fulham
Kevin,12/1,5/1,12/1,33/1,200/1,Everton v Fulham
Samuel Chukwueze,12/1,5/1,12/1,33/1,200/1,Everton v Fulham
Adama Traore,14/1,11/2,14/1,40/1,250/1,Everton v Fulham
Alex Iwobi,12/1,24/5,14/1,40/1,250/1,Everton v Fulham
Joshua King,14/1,11/2,14/1,40/1,250/1,Everton v Fulham
Tom Cairney,18/1,8/1,18/1,50/1,500/1,Everton v Fulham
Ryan Sessegnon,22/1,10/1,22/1,66/1,500/1,Everton v Fulham
Sasa Lukic,25/1,11/1,25/1,80/1,500/1,Everton v Fulham
Sander Berge,28/1,12/1,28/1,100/1,500/1,Everton v Fulham
Timothy Castagne,28/1,12/1,28/1,100/1,500/1,Everton v Fulham
Joachim Andersen,33/1,16/1,33/1,200/1,500/1,Everton v Fulham
Jorge Cuenca,33/1,16/1,33/1,200/1,500/1,Everton v Fulham
Kenny Tete,40/1,18/1,40/1,250/1,500/1,Everton v Fulham
Calvin Bassey,40/1,22/1,40/1,300/1,500/1,Everton v Fulham
Callum Wilson,23/5,31/20,23/5,17/2,33/1,West Ham v Burnley
Tomas Soucek,11/2,19/10,11/2,11/1,40/1,West Ham v Burnley
Lucas Paqueta,8/1,14/5,8/1,16/1,66/1,West Ham v Burnley
Jarrod Bowen,13/2,23/10,13/2,12/1,50/1,West Ham v Burnley
Luis Guilherme,17/2,3/1,17/2,18/1,66/1,West Ham v Burnley
Crysencio Summerville,9/1,7/2,9/1,22/1,80/1,West Ham v Burnley
Mateus Fernandes,14/1,11/2,14/1,40/1,250/1,West Ham v Burnley
El Hadji Malick Diouf,16/1,13/2,16/1,50/1,300/1,West Ham v Burnley
Guido Rodriguez,18/1,15/2,18/1,50/1,500/1,West Ham v Burnley
Maximilian Kilman,22/1,10/1,22/1,80/1,500/1,West Ham v Burnley
Freddie Potts,25/1,11/1,25/1,80/1,500/1,West Ham v Burnley
Jean-Clair Todibo,28/1,14/1,28/1,150/1,500/1,West Ham v Burnley
Aaron Wan-Bissaka,33/1,16/1,33/1,200/1,500/1,West Ham v Burnley
Kyle Walker-Peters,33/1,16/1,33/1,200/1,500/1,West Ham v Burnley
Igor Julio,33/1,16/1,33/1,200/1,500/1,West Ham v Burnley
Zian Flemming,11/2,19/10,11/2,11/1,40/1,West Ham v Burnley
Armando Broja,7/1,12/5,7/1,14/1,50/1,West Ham v Burnley
Jaidon Anthony,17/2,29/10,17/2,16/1,66/1,West Ham v Burnley
Marcus Edwards,10/1,15/4,10/1,25/1,100/1,West Ham v Burnley
Jacob Bruun Larsen,11/1,4/1,11/1,28/1,100/1,West Ham v Burnley
Loum Tchaouna,11/1,4/1,11/1,28/1,100/1,West Ham v Burnley
Lesley Ugochukwu,14/1,6/1,14/1,40/1,300/1,West Ham v Burnley
Hannibal Mejbri,18/1,15/2,18/1,50/1,500/1,West Ham v Burnley
Josh Laurent,20/1,17/2,20/1,66/1,500/1,West Ham v Burnley
Florentino Luis,25/1,10/1,25/1,80/1,500/1,West Ham v Burnley
Quilindschy Hartman,28/1,14/1,28/1,150/1,500/1,West Ham v Burnley
Josh Cullen,33/1,14/1,33/1,150/1,500/1,West Ham v Burnley
Maxime Esteve,40/1,22/1,40/1,300/1,500/1,West Ham v Burnley
Kyle Walker,50/1,28/1,50/1,300/1,500/1,West Ham v Burnley
Axel Tuanzebe,50/1,33/1,50/1,300/1,500/1,West Ham v Burnley
Wilson Isidor,10/1,15/4,10/1,28/1,100/1,Sunderland v Arsenal
