player names,first score,anytime score,last score,two or more,hatrick,contest
Chris Wood,6/1,19/10,6/1,11/1,40/1,Nottingham Forest v Chelsea
Igor Jesus,13/2,2/1,13/2,11/1,50/1,Nottingham Forest v Chelsea
Morgan Gibbs-White,11/1,15/4,11/1,25/1,100/1,Nottingham Forest v Chelsea
Dan Ndoye,12/1,4/1,12/1,28/1,100/1,Nottingham Forest v Chelsea
James McAtee,12/1,4/1,12/1,28/1,100/1,Nottingham Forest v Chelsea
Callum Hudson-Odoi,12/1,9/2,12/1,33/1,150/1,Nottingham Forest v Chelsea
Dilane Bakwa,12/1,9/2,12/1,33/1,150/1,Nottingham Forest v Chelsea
Elliot Anderson,22/1,8/1,22/1,50/1,500/1,Nottingham Forest v Chelsea
Ryan Yates,22/1,17/2,22/1,66/1,500/1,Nottingham Forest v Chelsea
Douglas Luiz,22/1,9/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
Nicolas Dominguez,25/1,10/1,25/1,66/1,500/1,Nottingham Forest v Chelsea
Nikola Milenkovic,28/1,11/1,28/1,80/1,500/1,Nottingham Forest v Chelsea
Neco Williams,28/1,10/1,28/1,80/1,500/1,Nottingham Forest v Chelsea
Ibrahim Sangare,28/1,10/1,28/1,80/1,500/1,Nottingham Forest v Chelsea
Murillo,33/1,14/1,33/1,100/1,500/1,Nottingham Forest v Chelsea
Jair Cunha,33/1,14/1,33/1,100/1,500/1,Nottingham Forest v Chelsea
Oleksandr Zinchenko,33/1,14/1,33/1,150/1,500/1,Nottingham Forest v Chelsea
Nicolo Savona,33/1,14/1,33/1,150/1,500/1,Nottingham Forest v Chelsea
Morato,40/1,22/1,40/1,300/1,500/1,Nottingham Forest v Chelsea
Joao Pedro,23/5,13/10,23/5,7/1,28/1,Nottingham Forest v Chelsea
Cole Palmer,11/2,13/8,11/2,9/1,40/1,Nottingham Forest v Chelsea
Estevao,15/2,23/10,15/2,14/1,50/1,Nottingham Forest v Chelsea
Enzo Fernandez,7/1,21/10,7/1,12/1,50/1,Nottingham Forest v Chelsea
Tyrique George,8/1,5/2,8/1,14/1,50/1,Nottingham Forest v Chelsea
Pedro Neto,9/1,3/1,9/1,18/1,66/1,Nottingham Forest v Chelsea
Alejandro Garnacho,17/2,14/5,17/2,16/1,66/1,Nottingham Forest v Chelsea
Facundo Buonanotte,17/2,14/5,17/2,16/1,66/1,Nottingham Forest v Chelsea
Jamie Gittens,9/1,3/1,9/1,18/1,66/1,Nottingham Forest v Chelsea
Marc Cucurella,18/1,13/2,18/1,50/1,400/1,Nottingham Forest v Chelsea
Andrey Santos,18/1,13/2,18/1,50/1,300/1,Nottingham Forest v Chelsea
Trevoh Chalobah,22/1,8/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
Reece James,22/1,9/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
Axel Disasi,22/1,9/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
Moises Caicedo,22/1,9/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
Tosin Adarabioyo,22/1,9/1,22/1,66/1,500/1,Nottingham Forest v Chelsea
