player names,first score,anytime score,last score,two or more,hatrick,contest
Igor Thiago,11/2,13/8,11/2,9/1,40/1,Brentford v Man Utd
Kevin Schade,15/2,9/4,15/2,12/1,50/1,Brentford v Man Utd
Dango Ouattara,15/2,9/4,15/2,12/1,50/1,Brentford v Man Utd
Fabio Carvalho,10/1,16/5,10/1,20/1,80/1,Brentford v Man Utd
Reiss Nelson,11/1,18/5,11/1,25/1,100/1,Brentford v Man Utd
Antoni Milambo,16/1,11/2,16/1,40/1,250/1,Brentford v Man Utd
Mikkel Damsgaard,18/1,7/1,18/1,50/1,400/1,Brentford v Man Utd
Keane Lewis-Potter,18/1,7/1,18/1,50/1,400/1,Brentford v Man Utd
Frank Onyeka,18/1,7/1,18/1,50/1,400/1,Brentford v Man Utd
Yehor Yarmolyuk,22/1,17/2,22/1,66/1,500/1,Brentford v Man Utd
Mathias Jensen,22/1,17/2,22/1,66/1,500/1,Brentford v Man Utd
Vitaly Janelt,22/1,17/2,22/1,66/1,500/1,Brentford v Man Utd
Sepp van den Berg,28/1,11/1,28/1,80/1,500/1,Brentford v Man Utd
Nathan Collins,28/1,11/1,28/1,80/1,500/1,Brentford v Man Utd
Ethan Pinnock,28/1,11/1,28/1,80/1,500/1,Brentford v Man Utd
Kristoffer Ajer,28/1,11/1,28/1,80/1,500/1,Brentford v Man Utd
Aaron Hickey,28/1,11/1,28/1,80/1,500/1,Brentford v Man Utd
Michael Kayode,33/1,14/1,33/1,150/1,500/1,Brentford v Man Utd
Jordan Henderson,33/1,12/1,33/1,100/1,500/1,Brentford v Man Utd
Rico Henry,33/1,12/1,33/1,100/1,500/1,Brentford v Man Utd
Bruno Fernandes,7/1,21/10,7/1,12/1,50/1,Brentford v Man Utd
Bryan Mbeumo,7/1,21/10,7/1,12/1,50/1,Brentford v Man Utd
Benjamin Sesko,6/1,9/5,6/1,10/1,40/1,Brentford v Man Utd
Matheus Cunha,7/1,21/10,7/1,12/1,50/1,Brentford v Man Utd
Joshua Zirkzee,13/2,2/1,13/2,12/1,50/1,Brentford v Man Utd
Amad Diallo,17/2,13/5,17/2,14/1,66/1,Brentford v Man Utd
Mason Mount,9/1,3/1,9/1,18/1,66/1,Brentford v Man Utd
Harry Maguire,18/1,13/2,18/1,50/1,400/1,Brentford v Man Utd
Patrick Dorgu,20/1,7/1,20/1,50/1,500/1,Brentford v Man Utd
Matthijs de Ligt,20/1,8/1,20/1,50/1,500/1,Brentford v Man Utd
Kobbie Mainoo,18/1,13/2,18/1,50/1,400/1,Brentford v Man Utd
Leny Yoro,25/1,10/1,25/1,80/1,500/1,Brentford v Man Utd
Diogo Dalot,25/1,9/1,25/1,66/1,500/1,Brentford v Man Utd
Ayden Heaven,25/1,10/1,25/1,80/1,500/1,Brentford v Man Utd
Noussair Mazraoui,33/1,12/1,33/1,100/1,500/1,Brentford v Man Utd
Manuel Ugarte,33/1,12/1,33/1,100/1,500/1,Brentford v Man Utd
Luke Shaw,50/1,25/1,50/1,300/1,500/1,Brentford v Man Utd
Cole Palmer,5/1,29/20,5/1,8/1,33/1,Chelsea v Brighton
Joao Pedro,11/2,31/20,11/2,17/2,33/1,Chelsea v Brighton
Marc Guiu,6/1,17/10,6/1,10/1,40/1,Chelsea v Brighton
Tyrique George,7/1,2/1,7/1,12/1,50/1,Chelsea v Brighton
Estevao,8/1,5/2,8/1,14/1,50/1,Chelsea v Brighton
Enzo Fernandez,15/2,23/10,15/2,14/1,50/1,Chelsea v Brighton
Pedro Neto,17/2,13/5,17/2,16/1,66/1,Chelsea v Brighton
Jamie Gittens,17/2,13/5,17/2,16/1,66/1,Chelsea v Brighton
Alejandro Garnacho,8/1,5/2,8/1,14/1,50/1,Chelsea v Brighton
Andrey Santos,14/1,9/2,14/1,33/1,150/1,Chelsea v Brighton
Marc Cucurella,20/1,7/1,20/1,50/1,400/1,Chelsea v Brighton
Trevoh Chalobah,20/1,15/2,20/1,50/1,500/1,Chelsea v Brighton
Reece James,22/1,9/1,22/1,66/1,500/1,Chelsea v Brighton
Tosin Adarabioyo,28/1,11/1,28/1,80/1,500/1,Chelsea v Brighton
Jorrel Hato,28/1,11/1,28/1,80/1,500/1,Chelsea v Brighton
Malo Gusto,28/1,11/1,28/1,80/1,500/1,Chelsea v Brighton
Wesley Fofana,28/1,12/1,28/1,100/1,500/1,Chelsea v Brighton
Moises Caicedo,33/1,14/1,33/1,150/1,500/1,Chelsea v Brighton
Danny Welbeck,13/2,19/10,13/2,11/1,40/1,Chelsea v Brighton
Stefanos Tzimas,7/1,21/10,7/1,12/1,50/1,Chelsea v Brighton
Georginio Rutter,17/2,12/5,17/2,14/1,50/1,Chelsea v Brighton
Kaoru Mitoma,10/1,3/1,10/1,18/1,66/1,Chelsea v Brighton
Yankuba Minteh,12/1,18/5,12/1,25/1,100/1,Chelsea v Brighton
Brajan Gruda,12/1,15/4,12/1,28/1,100/1,Chelsea v Brighton
Diego Gomez,14/1,9/2,14/1,33/1,150/1,Chelsea v Brighton
James Milner,14/1,5/1,14/1,40/1,200/1,Chelsea v Brighton
Yasin Ayari,20/1,7/1,20/1,50/1,400/1,Chelsea v Brighton
Lewis Dunk,25/1,10/1,25/1,66/1,500/1,Chelsea v Brighton
Ferdi Kadioglu,25/1,10/1,25/1,66/1,500/1,Chelsea v Brighton
Mats Wieffer,22/1,9/1,22/1,66/1,500/1,Chelsea v Brighton
Carlos Baleba,28/1,11/1,28/1,80/1,500/1,Chelsea v Brighton
Maxime De Cuyper,25/1,10/1,25/1,66/1,500/1,Chelsea v Brighton
Diego Coppola,33/1,14/1,33/1,150/1,500/1,Chelsea v Brighton
Joel Veltman,40/1,18/1,40/1,250/1,500/1,Chelsea v Brighton
Jan Paul van Hecke,40/1,18/1,40/1,250/1,500/1,Chelsea v Brighton
Jean-Philippe Mateta,11/2,17/10,11/2,9/1,40/1,Crystal Palace v Liverpool
Eddie Nketiah,15/2,12/5,15/2,14/1,50/1,Crystal Palace v Liverpool
Ismaila Sarr,9/1,29/10,9/1,16/1,66/1,Crystal Palace v Liverpool
Christantus Uche,10/1,10/3,10/1,20/1,80/1,Crystal Palace v Liverpool
Yeremy Pino,12/1,4/1,12/1,28/1,100/1,Crystal Palace v Liverpool
Daichi Kamada,12/1,17/4,12/1,33/1,150/1,Crystal Palace v Liverpool
Romaine Esse,12/1,17/4,12/1,33/1,150/1,Crystal Palace v Liverpool
Justin Devenny,12/1,17/4,12/1,28/1,150/1,Crystal Palace v Liverpool
Daniel Munoz,18/1,13/2,18/1,50/1,300/1,Crystal Palace v Liverpool
Jefferson Lerma,22/1,9/1,22/1,66/1,500/1,Crystal Palace v Liverpool
Maxence Lacroix,28/1,11/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Chris Richards,33/1,14/1,33/1,150/1,500/1,Crystal Palace v Liverpool
Adam Wharton,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Marc Guehi,33/1,14/1,33/1,150/1,500/1,Crystal Palace v Liverpool
Will Hughes,33/1,14/1,33/1,150/1,500/1,Crystal Palace v Liverpool
Borna Sosa,33/1,14/1,33/1,150/1,500/1,Crystal Palace v Liverpool
Tyrick Mitchell,33/1,14/1,33/1,150/1,500/1,Crystal Palace v Liverpool
Nathaniel Clyne,50/1,25/1,50/1,300/1,500/1,Crystal Palace v Liverpool
Mohamed Salah,5/1,31/20,5/1,17/2,33/1,Crystal Palace v Liverpool
Alexander Isak,19/4,7/5,19/4,15/2,33/1,Crystal Palace v Liverpool
Cody Gakpo,15/2,23/10,15/2,14/1,50/1,Crystal Palace v Liverpool
Rio Ngumoha,9/1,29/10,9/1,16/1,66/1,Crystal Palace v Liverpool
Federico Chiesa,9/1,29/10,9/1,16/1,66/1,Crystal Palace v Liverpool
Florian Wirtz,9/1,3/1,9/1,18/1,66/1,Crystal Palace v Liverpool
Dominik Szoboszlai,14/1,24/5,14/1,33/1,200/1,Crystal Palace v Liverpool
Jeremie Frimpong,18/1,7/1,18/1,50/1,400/1,Crystal Palace v Liverpool
Alexis MacAllister,18/1,7/1,18/1,50/1,400/1,Crystal Palace v Liverpool
Virgil van Dijk,22/1,9/1,22/1,66/1,500/1,Crystal Palace v Liverpool
Milos Kerkez,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Ryan Gravenberch,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Conor Bradley,25/1,10/1,25/1,80/1,500/1,Crystal Palace v Liverpool
Ibrahima Konate,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Andrew Robertson,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Wataru Endo,28/1,12/1,28/1,100/1,500/1,Crystal Palace v Liverpool
Joe Gomez,40/1,18/1,40/1,250/1,500/1,Crystal Palace v Liverpool
Dominic Calvert-Lewin,5/1,17/10,5/1,9/1,40/1,Leeds v Bournemouth
Joel Piroe,11/2,19/10,11/2,11/1,50/1,Leeds v Bournemouth
Lukas Nmecha,11/2,19/10,11/2,11/1,50/1,Leeds v Bournemouth
Noah Okafor,17/2,3/1,17/2,18/1,66/1,Leeds v Bournemouth
Gnonto Wilfried,9/1,17/5,9/1,22/1,80/1,Leeds v Bournemouth
Brenden Aaronson,12/1,19/4,12/1,33/1,150/1,Leeds v Bournemouth
Jack Harrison,12/1,19/4,12/1,33/1,150/1,Leeds v Bournemouth
Pascal Struijk,14/1,6/1,14/1,40/1,300/1,Leeds v Bournemouth
Jayden Bogle,20/1,8/1,20/1,50/1,500/1,Leeds v Bournemouth
Sean Longstaff,18/1,7/1,18/1,50/1,400/1,Leeds v Bournemouth
Ao Tanaka,18/1,7/1,18/1,50/1,400/1,Leeds v Bournemouth
Anton Stach,20/1,8/1,20/1,50/1,500/1,Leeds v Bournemouth
James Justin,25/1,10/1,25/1,80/1,500/1,Leeds v Bournemouth
Jaka Bijol,28/1,12/1,28/1,100/1,500/1,Leeds v Bournemouth
Sam Byram,28/1,12/1,28/1,100/1,500/1,Leeds v Bournemouth
