player names,first score,anytime score,last score,two or more,hatrick,contest
Valentin Castellanos,13/2,11/5,13/2,12/1,50/1,West Ham v Nottingham Forest
Jarrod Bowen,15/2,5/2,15/2,14/1,50/1,West Ham v Nottingham Forest
Callum Wilson,13/2,11/5,13/2,12/1,50/1,West Ham v Nottingham Forest
Pablo Felipe,13/2,11/5,13/2,12/1,50/1,West Ham v Nottingham Forest
Lucas Paqueta,10/1,7/2,10/1,22/1,80/1,West Ham v Nottingham Forest
Tomas Soucek,11/1,15/4,11/1,25/1,100/1,West Ham v Nottingham Forest
Crysencio Summerville,12/1,17/4,12/1,33/1,150/1,West Ham v Nottingham Forest
Mateus Fernandes,16/1,13/2,16/1,50/1,300/1,West Ham v Nottingham Forest
Soungoutou Magassa,25/1,10/1,25/1,80/1,500/1,West Ham v Nottingham Forest
Freddie Potts,28/1,12/1,28/1,100/1,500/1,West Ham v Nottingham Forest
Guido Rodriguez,28/1,12/1,28/1,100/1,500/1,West Ham v Nottingham Forest
Kyle Walker-Peters,33/1,14/1,33/1,150/1,500/1,West Ham v Nottingham Forest
Max Kilman,33/1,14/1,33/1,150/1,500/1,West Ham v Nottingham Forest
Konstantinos Mavropanos,33/1,14/1,33/1,150/1,500/1,West Ham v Nottingham Forest
Jean-Clair Todibo,40/1,18/1,40/1,250/1,500/1,West Ham v Nottingham Forest
Oliver Scarles,33/1,14/1,33/1,150/1,500/1,West Ham v Nottingham Forest
Igor Jesus,5/1,13/8,5/1,9/1,33/1,West Ham v Nottingham Forest
Taiwo Awoniyi,6/1,2/1,6/1,12/1,50/1,West Ham v Nottingham Forest
Morgan Gibbs-White,15/2,5/2,15/2,14/1,50/1,West Ham v Nottingham Forest
James McAtee,9/1,10/3,9/1,20/1,80/1,West Ham v Nottingham Forest
Callum Hudson-Odoi,9/1,10/3,9/1,20/1,80/1,West Ham v Nottingham Forest
Dan Ndoye,9/1,10/3,9/1,20/1,80/1,West Ham v Nottingham Forest
Dilane Bakwa,10/1,7/2,10/1,22/1,80/1,West Ham v Nottingham Forest
Omari Hutchinson,11/1,4/1,11/1,28/1,100/1,West Ham v Nottingham Forest
Douglas Luiz,18/1,7/1,18/1,50/1,400/1,West Ham v Nottingham Forest
Elliot Anderson,18/1,7/1,18/1,50/1,400/1,West Ham v Nottingham Forest
Nikola Milenkovic,22/1,9/1,22/1,66/1,500/1,West Ham v Nottingham Forest
Nicolas Dominguez,20/1,15/2,20/1,50/1,500/1,West Ham v Nottingham Forest
Neco Williams,22/1,9/1,22/1,66/1,500/1,West Ham v Nottingham Forest
Oleksandr Zinchenko,22/1,9/1,22/1,66/1,500/1,West Ham v Nottingham Forest
Murillo,28/1,12/1,28/1,100/1,500/1,West Ham v Nottingham Forest
Ola Aina,33/1,14/1,33/1,150/1,500/1,West Ham v Nottingham Forest
Antoine Semenyo,6/1,9/5,6/1,10/1,40/1,Bournemouth v Tottenham
Evanilson,6/1,15/8,6/1,11/1,40/1,Bournemouth v Tottenham
Enes Unal,6/1,15/8,6/1,11/1,40/1,Bournemouth v Tottenham
Eli Junior Kroupi,6/1,15/8,6/1,11/1,40/1,Bournemouth v Tottenham
Justin Kluivert,17/2,11/4,17/2,16/1,66/1,Bournemouth v Tottenham
David Brooks,9/1,3/1,9/1,18/1,66/1,Bournemouth v Tottenham
Amine Adli,9/1,3/1,9/1,18/1,66/1,Bournemouth v Tottenham
Marcus Tavernier,11/1,15/4,11/1,25/1,100/1,Bournemouth v Tottenham
Alex Scott,22/1,8/1,22/1,66/1,500/1,Bournemouth v Tottenham
Marcos Senesi,28/1,11/1,28/1,80/1,500/1,Bournemouth v Tottenham
Bafode Diakite,28/1,12/1,28/1,100/1,500/1,Bournemouth v Tottenham
Lewis Cook,28/1,12/1,28/1,100/1,500/1,Bournemouth v Tottenham
Alex Jimenez,28/1,12/1,28/1,100/1,500/1,Bournemouth v Tottenham
James Hill,33/1,16/1,33/1,200/1,500/1,Bournemouth v Tottenham
Adrien Truffert,33/1,16/1,33/1,200/1,500/1,Bournemouth v Tottenham
Richarlison,13/2,2/1,13/2,12/1,50/1,Bournemouth v Tottenham
Randal Kolo Muani,9/1,11/4,9/1,16/1,66/1,Bournemouth v Tottenham
Xavi Simons,12/1,4/1,12/1,28/1,100/1,Bournemouth v Tottenham
Mathys Tel,10/1,7/2,10/1,22/1,80/1,Bournemouth v Tottenham
Wilson Odobert,12/1,4/1,12/1,28/1,100/1,Bournemouth v Tottenham
Micky van de Ven,22/1,17/2,22/1,66/1,500/1,Bournemouth v Tottenham
Joao Palhinha,22/1,17/2,22/1,66/1,500/1,Bournemouth v Tottenham
Lucas Bergvall,20/1,15/2,20/1,50/1,500/1,Bournemouth v Tottenham
Cristian Romero,25/1,10/1,25/1,66/1,500/1,Bournemouth v Tottenham
Archie Gray,25/1,10/1,25/1,66/1,500/1,Bournemouth v Tottenham
