player names,first score,anytime score,last score,two or more,hatrick,contest
Bruno Guimaraes,16/1,6/1,16/1,40/1,300/1,Man Utd v Newcastle
Nick Woltemade,6/1,17/10,6/1,9/1,40/1,Man Utd v Newcastle
Yoane Wissa,11/2,13/8,11/2,9/1,33/1,Man Utd v Newcastle
Anthony Gordon,6/1,7/4,6/1,10/1,40/1,Man Utd v Newcastle
Harvey Barnes,7/1,21/10,7/1,12/1,50/1,Man Utd v Newcastle
Anthony Elanga,9/1,29/10,9/1,16/1,66/1,Man Utd v Newcastle
Jacob Murphy,11/1,18/5,11/1,22/1,100/1,Man Utd v Newcastle
Jacob Ramsey,12/1,4/1,12/1,28/1,100/1,Man Utd v Newcastle
Joe Willock,14/1,5/1,14/1,40/1,250/1,Man Utd v Newcastle
Joelinton,16/1,6/1,16/1,40/1,300/1,Man Utd v Newcastle
Sandro Tonali,18/1,13/2,18/1,50/1,300/1,Man Utd v Newcastle
Lewis Miley,25/1,9/1,25/1,66/1,500/1,Man Utd v Newcastle
Malick Thiaw,28/1,10/1,28/1,80/1,500/1,Man Utd v Newcastle
Fabian Schar,28/1,10/1,28/1,80/1,500/1,Man Utd v Newcastle
Jamaal Lascelles,28/1,10/1,28/1,80/1,500/1,Man Utd v Newcastle
Lewis Hall,40/1,16/1,40/1,200/1,500/1,Man Utd v Newcastle
No Goalscorer (either team),12/1,29/20,5/1,8/1,33/1,Man Utd v Newcastle
Benjamin Sesko,5/1,17/10,6/1,10/1,40/1,Man Utd v Newcastle
Matheus Cunha,6/1,23/10,15/2,14/1,50/1,Man Utd v Newcastle
Joshua Zirkzee,15/2,14/5,9/1,16/1,66/1,Man Utd v Newcastle
Mason Mount,9/1,19/4,14/1,33/1,150/1,Man Utd v Newcastle
Jack Fletcher,14/1,6/1,16/1,40/1,300/1,Man Utd v Newcastle
Casemiro,16/1,8/1,22/1,50/1,500/1,Man Utd v Newcastle
Lisandro Martinez,22/1,10/1,25/1,80/1,500/1,Man Utd v Newcastle
Patrick Dorgu,25/1,10/1,25/1,80/1,500/1,Man Utd v Newcastle
Diogo Dalot,25/1,12/1,28/1,100/1,500/1,Man Utd v Newcastle
Leny Yoro,28/1,12/1,28/1,100/1,500/1,Man Utd v Newcastle
Ayden Heaven,28/1,12/1,28/1,100/1,500/1,Man Utd v Newcastle
Manuel Ugarte,28/1,20/1,40/1,300/1,500/1,Man Utd v Newcastle
Tyrell Malacia,40/1,40/1,66/1,300/1,500/1,Man Utd v Newcastle
Igor Jesus,17/2,13/5,17/2,14/1,66/1,Nottingham Forest v Man City
Taiwo Awoniyi,17/2,13/5,17/2,14/1,66/1,Nottingham Forest v Man City
