home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
West Ham,Nottingham Forest,Pablo Felipe,17/10,40/1,4/1
West Ham,Nottingham Forest,Callum Wilson,9/5,45/1,24/5
West Ham,Nottingham Forest,Jarrod Bowen,21/10,60/1,5/1
West Ham,Nottingham Forest,Taty Castellanos,5/2,80/1,6/1
West Ham,Nottingham Forest,Crysencio Summerville,29/10,90/1,13/2
West Ham,Nottingham Forest,Lucas Paqueta,17/5,125/1,15/2
West Ham,Nottingham Forest,Tomas Soucek,7/2,150/1,8/1
West Ham,Nottingham Forest,Mateus Fernandes,11/2,250/1,11/1
West Ham,Nottingham Forest,George Earthy,6/1,250/1,11/1
West Ham,Nottingham Forest,Luis Guilherme,6/1,300/1,12/1
West Ham,Nottingham Forest,Andy Irving,13/2,300/1,12/1
West Ham,Nottingham Forest,Mohamadou Kante,17/2,400/1,16/1
West Ham,Nottingham Forest,Guido Rodriguez,9/1,400/1,18/1
West Ham,Nottingham Forest,Soungoutou Magassa,9/1,250/1,20/1
West Ham,Nottingham Forest,Kyle Walker-Peters,11/1,400/1,22/1
West Ham,Nottingham Forest,Freddie Potts,11/1,300/1,22/1
West Ham,Nottingham Forest,Konstantinos Mavropanos,12/1,300/1,25/1
West Ham,Nottingham Forest,Oliver Scarles,14/1,400/1,28/1
West Ham,Nottingham Forest,Max Kilman,14/1,400/1,35/1
West Ham,Nottingham Forest,Airidas Golambeckis,14/1,400/1,35/1
West Ham,Nottingham Forest,Igor Julio,20/1,400/1,45/1
West Ham,Nottingham Forest,Jean-Clair Todibo,22/1,400/1,45/1
West Ham,Nottingham Forest,Ezra Mayers,20/1,400/1,45/1
West Ham,Nottingham Forest,Igor Jesus,23/10,66/1,5/1
West Ham,Nottingham Forest,Callum Hudson-Odoi,11/5,65/1,5/1
West Ham,Nottingham Forest,Taiwo Awoniyi,9/4,66/1,11/2
West Ham,Nottingham Forest,Arnaud Kalimuendo,5/2,80/1,6/1
West Ham,Nottingham Forest,Morgan Gibbs-White,14/5,90/1,13/2
