home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Aston Villa,Nottingham Forest,Ollie Watkins,6/5,22/1,18/5
Aston Villa,Nottingham Forest,Donyell Malen,11/8,25/1,15/4
Aston Villa,Nottingham Forest,Morgan Rogers,17/10,40/1,24/5
Aston Villa,Nottingham Forest,Emiliano Buendia,19/10,45/1,5/1
Aston Villa,Nottingham Forest,Jadon Sancho,3/1,100/1,15/2
Aston Villa,Nottingham Forest,Amadou Onana,18/5,100/1,15/2
Aston Villa,Nottingham Forest,Harvey Elliott,19/5,150/1,17/2
Aston Villa,Nottingham Forest,John McGinn,9/2,150/1,9/1
Aston Villa,Nottingham Forest,Youri Tielemans,5/1,200/1,11/1
Aston Villa,Nottingham Forest,Matthew Cash,11/2,200/1,11/1
Aston Villa,Nottingham Forest,Ian Maatsen,7/1,250/1,12/1
Aston Villa,Nottingham Forest,George Hemmings,7/1,300/1,14/1
Aston Villa,Nottingham Forest,Tyrone Mings,10/1,400/1,20/1
Aston Villa,Nottingham Forest,Lucas Digne,9/1,400/1,20/1
Aston Villa,Nottingham Forest,Boubacar Kamara,10/1,300/1,20/1
Aston Villa,Nottingham Forest,Pau Torres,11/1,300/1,22/1
Aston Villa,Nottingham Forest,Lamare Bogarde,11/1,400/1,22/1
Aston Villa,Nottingham Forest,Andres Garcia,11/1,400/1,22/1
Aston Villa,Nottingham Forest,Ezri Konsa,12/1,400/1,28/1
Aston Villa,Nottingham Forest,Victor Lindelof,14/1,300/1,33/1
Aston Villa,Nottingham Forest,Leon Routh,14/1,400/1,35/1
Aston Villa,Nottingham Forest,Igor Jesus,16/5,100/1,15/2
Aston Villa,Nottingham Forest,Taiwo Awoniyi,17/5,150/1,8/1
Aston Villa,Nottingham Forest,Arnaud Kalimuendo,7/2,150/1,8/1
Aston Villa,Nottingham Forest,Callum Hudson-Odoi,18/5,125/1,8/1
Aston Villa,Nottingham Forest,Morgan Gibbs-White,15/4,150/1,17/2
Aston Villa,Nottingham Forest,Omari Hutchinson,24/5,150/1,10/1
Aston Villa,Nottingham Forest,James McAtee,9/2,200/1,10/1
Aston Villa,Nottingham Forest,Dan Ndoye,11/2,250/1,11/1
Aston Villa,Nottingham Forest,Dilane Bakwa,11/2,250/1,11/1
Aston Villa,Nottingham Forest,Elliot Anderson,15/2,400/1,14/1
Aston Villa,Nottingham Forest,Jimmy Sinclair,15/2,400/1,14/1
Aston Villa,Nottingham Forest,Nicolas Dominguez,8/1,400/1,16/1
Aston Villa,Nottingham Forest,Nicolo Savona,9/1,300/1,18/1
Aston Villa,Nottingham Forest,Douglas Luiz,17/2,400/1,18/1
Aston Villa,Nottingham Forest,Archie Whitehall,9/1,400/1,18/1
Aston Villa,Nottingham Forest,Neco Williams,11/1,400/1,22/1
Aston Villa,Nottingham Forest,Nikola Milenkovic,12/1,400/1,28/1
Aston Villa,Nottingham Forest,Oleksandr Zinchenko,11/1,250/1,28/1
Aston Villa,Nottingham Forest,Jair Cunha,18/1,400/1,45/1
Aston Villa,Nottingham Forest,Murillo,16/1,400/1,35/1
Aston Villa,Nottingham Forest,Jack Thompson,20/1,400/1,45/1
Aston Villa,Nottingham Forest,Zach Abbott,20/1,400/1,45/1
Aston Villa,Nottingham Forest,Morato,16/1,400/1,45/1
Brighton,Burnley,Danny Welbeck,10/11,14/1,16/5
Brighton,Burnley,Charalampos Kostoulas,13/10,28/1,19/5
Brighton,Burnley,Georginio Rutter,17/10,35/1,9/2
Brighton,Burnley,Kaoru Mitoma,9/4,65/1,5/1
Brighton,Burnley,Brajan Gruda,13/5,80/1,13/2
Brighton,Burnley,Tom Watson,5/2,70/1,13/2
Brighton,Burnley,Yankuba Minteh,14/5,90/1,7/1
Brighton,Burnley,Diego Gomez,14/5,90/1,7/1
Brighton,Burnley,Nehemiah Oriola,29/10,100/1,15/2
Brighton,Burnley,Jack Hinshelwood,18/5,125/1,8/1
Brighton,Burnley,Yasin Ayari,9/2,150/1,9/1
Brighton,Burnley,Maxim De Cuyper,9/2,200/1,10/1
Brighton,Burnley,James Milner,5/1,200/1,11/1
Brighton,Burnley,Joe Knight,13/2,300/1,12/1
Brighton,Burnley,Ferdi Kadioglu,6/1,250/1,12/1
Brighton,Burnley,Jan Paul van Hecke,7/1,300/1,14/1
Brighton,Burnley,Joel Veltman,11/1,400/1,22/1
Brighton,Burnley,Mats Wieffer,11/1,400/1,22/1
Brighton,Burnley,Lewis Dunk,11/1,400/1,22/1
Brighton,Burnley,Olivier Boscagli,11/1,400/1,22/1
Brighton,Burnley,Diego Coppola,11/1,400/1,22/1
Brighton,Burnley,Freddie Simmonds,11/1,400/1,25/1
Brighton,Burnley,Zian Flemming,11/5,60/1,5/1
Brighton,Burnley,Armando Broja,27/10,80/1,13/2
Brighton,Burnley,Ashley Barnes,10/3,125/1,8/1
Brighton,Burnley,Jacob Bruun Larsen,4/1,125/1,9/1
Brighton,Burnley,Mike Tresor,4/1,200/1,10/1
Brighton,Burnley,Marcus Edwards,9/2,200/1,10/1
Brighton,Burnley,Jaidon Anthony,4/1,200/1,10/1
Brighton,Burnley,Lesley Ugochukwu,11/2,200/1,11/1
Brighton,Burnley,Jaydon Banel,13/2,300/1,12/1
Brighton,Burnley,Loum Tchaouna,7/1,300/1,14/1
Brighton,Burnley,Josh Cullen,9/1,400/1,20/1
Brighton,Burnley,Oliver Sonne,10/1,400/1,22/1
Brighton,Burnley,Florentino Luis,11/1,300/1,25/1
Brighton,Burnley,Josh Laurent,12/1,400/1,28/1
Brighton,Burnley,Kyle Walker,14/1,400/1,35/1
Brighton,Burnley,Oliver Pimlott,14/1,400/1,35/1
Brighton,Burnley,Hjalmar Ekdal,16/1,300/1,40/1
Brighton,Burnley,Quilindschy Hartman,18/1,400/1,45/1
Brighton,Burnley,Maxime Esteve,18/1,400/1,45/1
Brighton,Burnley,Bashir Humphreys,18/1,400/1,45/1
Brighton,Burnley,Joe Worrall,28/1,400/1,70/1
Brighton,Burnley,Lucas Pires,28/1,400/1,70/1
Wolves,West Ham,Jorgen Strand Larsen,8/5,35/1,19/5
Wolves,West Ham,Hwang Hee-chan,11/5,60/1,24/5
Wolves,West Ham,Tolu Arokodare,7/4,40/1,24/5
Wolves,West Ham,Mateus Mane,9/4,66/1,11/2
Wolves,West Ham,Fernando Lopez,3/1,125/1,7/1
Wolves,West Ham,Jhon Arias,10/3,125/1,15/2
Wolves,West Ham,Ladislav Krejci,4/1,150/1,17/2
Wolves,West Ham,Enso Gonzalez,9/2,200/1,9/1
Wolves,West Ham,Joao Gomes,13/2,300/1,12/1
Wolves,West Ham,Yerson Mosquera,8/1,250/1,14/1
Wolves,West Ham,Ethan Sutherland,7/1,400/1,14/1
Wolves,West Ham,Matt Doherty,17/2,300/1,16/1
Wolves,West Ham,Alfie Pond,11/1,400/1,22/1
Wolves,West Ham,Luke Rawlings,11/1,400/1,22/1
Wolves,West Ham,David Moller Wolfe,11/1,250/1,22/1
Wolves,West Ham,Santiago Bueno,11/1,400/1,22/1
Wolves,West Ham,Jackson Tchatchoua,11/1,250/1,22/1
Wolves,West Ham,Andre Trindade,11/1,400/1,22/1
Wolves,West Ham,Temple Ojinnaka,11/1,400/1,22/1
Wolves,West Ham,Saheed Olagunju,12/1,400/1,25/1
Wolves,West Ham,Ki-Jana Hoever,12/1,400/1,25/1
Wolves,West Ham,Hugo Bueno,12/1,400/1,28/1
Wolves,West Ham,Callum Wilson,9/5,45/1,24/5
Wolves,West Ham,Jarrod Bowen,21/10,55/1,5/1
Wolves,West Ham,Crysencio Summerville,13/5,80/1,6/1
Wolves,West Ham,Callum Marshall,27/10,90/1,13/2
Wolves,West Ham,Tomas Soucek,3/1,125/1,7/1
Wolves,West Ham,Lucas Paqueta,18/5,150/1,8/1
Wolves,West Ham,Mateus Fernandes,24/5,200/1,10/1
Wolves,West Ham,Luis Guilherme,6/1,250/1,11/1
Wolves,West Ham,George Earthy,11/2,250/1,11/1
Wolves,West Ham,Andy Irving,13/2,300/1,12/1
Wolves,West Ham,Mohamadou Kante,7/1,400/1,14/1
Wolves,West Ham,Soungoutou Magassa,17/2,250/1,16/1
Wolves,West Ham,Freddie Potts,9/1,300/1,18/1
Wolves,West Ham,Guido Rodriguez,9/1,400/1,18/1
Wolves,West Ham,Kyle Walker-Peters,9/1,400/1,20/1
Wolves,West Ham,Konstantinos Mavropanos,12/1,300/1,25/1
Wolves,West Ham,Oliver Scarles,14/1,400/1,28/1
Wolves,West Ham,Max Kilman,14/1,400/1,28/1
Wolves,West Ham,Airidas Golambeckis,14/1,400/1,28/1
Wolves,West Ham,Igor Julio,16/1,400/1,35/1
Wolves,West Ham,Jean-Clair Todibo,20/1,400/1,45/1
Wolves,West Ham,Ezra Mayers,20/1,400/1,45/1
Bournemouth,Arsenal,Eli Junior Kroupi,2/1,55/1,11/2
Bournemouth,Arsenal,Antoine Semenyo,13/5,80/1,13/2
Bournemouth,Arsenal,Evanilson,14/5,90/1,7/1
Bournemouth,Arsenal,Enes Unal,3/1,100/1,15/2
Bournemouth,Arsenal,Marcus Tavernier,4/1,150/1,9/1
Bournemouth,Arsenal,Remy Rees-Dottin,19/5,150/1,9/1
Bournemouth,Arsenal,Justin Kluivert,9/2,150/1,10/1
Bournemouth,Arsenal,Amine Adli,11/2,250/1,12/1
Bournemouth,Arsenal,David Brooks,11/2,250/1,12/1
Bournemouth,Arsenal,Ryan Christie,15/2,400/1,16/1
Bournemouth,Arsenal,Alex Scott,9/1,300/1,20/1
Bournemouth,Arsenal,Alex Jimenez,10/1,300/1,22/1
Bournemouth,Arsenal,Lewis Cook,16/1,400/1,35/1
Bournemouth,Arsenal,James Hill,16/1,400/1,45/1
Bournemouth,Arsenal,Julio Soler,20/1,400/1,45/1
Bournemouth,Arsenal,Marcos Senesi,16/1,400/1,45/1
Bournemouth,Arsenal,Adrien Truffert,18/1,400/1,45/1
Bournemouth,Arsenal,Julian Araujo,22/1,400/1,65/1
Bournemouth,Arsenal,Adam Smith,22/1,300/1,66/1
Bournemouth,Arsenal,Matai Akinmboni,25/1,400/1,70/1
Bournemouth,Arsenal,Bafode Diakite,22/1,400/1,70/1
Bournemouth,Arsenal,Leandro Trossard,6/4,28/1,4/1
Bournemouth,Arsenal,Eberechi Eze,13/8,33/1,9/2
Bournemouth,Arsenal,Viktor Gyokeres,6/4,33/1,9/2
Bournemouth,Arsenal,Bukayo Saka,15/8,45/1,24/5
Bournemouth,Arsenal,Gabriel Martinelli,2/1,50/1,24/5
Bournemouth,Arsenal,Kai Havertz,8/5,35/1,24/5
Bournemouth,Arsenal,Gabriel Jesus,7/4,40/1,5/1
Bournemouth,Arsenal,Andre Harriman-Annous,19/10,50/1,5/1
Bournemouth,Arsenal,Mikel Merino,11/5,65/1,11/2
Bournemouth,Arsenal,Noni Madueke,21/10,55/1,11/2
Bournemouth,Arsenal,Martin Odegaard,3/1,90/1,7/1
Bournemouth,Arsenal,Ethan Nwaneri,10/3,125/1,8/1
Bournemouth,Arsenal,Declan Rice,19/5,150/1,9/1
Bournemouth,Arsenal,Martin Zubimendi,24/5,200/1,10/1
Bournemouth,Arsenal,Jurrien Timber,5/1,250/1,11/1
Bournemouth,Arsenal,Christian Norgaard,6/1,250/1,12/1
Bournemouth,Arsenal,Gabriel Magalhaes,7/1,300/1,14/1
Bournemouth,Arsenal,Riccardo Calafiori,8/1,400/1,16/1
Bournemouth,Arsenal,Myles Lewis-Skelly,9/1,250/1,20/1
Bournemouth,Arsenal,Ben White,9/1,400/1,20/1
Bournemouth,Arsenal,William Saliba,12/1,400/1,28/1
Bournemouth,Arsenal,Cristhian Mosquera,12/1,400/1,28/1
Bournemouth,Arsenal,Piero Hincapie,12/1,300/1,33/1
Bournemouth,Arsenal,Marli Salmon,14/1,400/1,35/1
Leeds,Man Utd,Dominic Calvert-Lewin,13/10,25/1,15/4
Leeds,Man Utd,Lukas Nmecha,19/10,45/1,5/1
Leeds,Man Utd,Joel Piroe,9/4,65/1,11/2
Leeds,Man Utd,Noah Okafor,14/5,90/1,13/2
Leeds,Man Utd,Ao Tanaka,15/4,125/1,8/1
Leeds,Man Utd,Anton Stach,15/4,125/1,8/1
Leeds,Man Utd,Willy Gnonto,19/5,150/1,17/2
Leeds,Man Utd,Jack Harrison,5/1,250/1,11/1
Leeds,Man Utd,Brenden Aaronson,5/1,200/1,11/1
Leeds,Man Utd,Jaka Bijol,17/2,250/1,16/1
Leeds,Man Utd,Pascal Struijk,9/1,400/1,20/1
Leeds,Man Utd,Sebastiaan Bornauw,9/1,400/1,20/1
Leeds,Man Utd,Gabriel Gudmundsson,11/1,300/1,25/1
Leeds,Man Utd,Ilia Gruev,12/1,400/1,28/1
Leeds,Man Utd,Jayden Bogle,12/1,400/1,28/1
Leeds,Man Utd,Sam Byram,14/1,400/1,28/1
Leeds,Man Utd,James Justin,12/1,400/1,28/1
Leeds,Man Utd,Benjamin Sesko,21/10,55/1,24/5
Leeds,Man Utd,Matheus Cunha,19/10,50/1,5/1
Leeds,Man Utd,Joshua Zirkzee,12/5,70/1,6/1
Leeds,Man Utd,Chido Obi-Martin,11/4,90/1,13/2
Leeds,Man Utd,Casemiro,3/1,90/1,13/2
Leeds,Man Utd,Bruno Fernandes,29/10,100/1,7/1
Leeds,Man Utd,Shea Lacey,10/3,125/1,15/2
Leeds,Man Utd,Mason Mount,10/3,125/1,15/2
Leeds,Man Utd,Patrick Dorgu,19/5,150/1,9/1
Leeds,Man Utd,Bendito Mantato,4/1,200/1,9/1
