home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
West Ham,Sunderland,Pablo Felipe,11/5,60/1,9/2
West Ham,Sunderland,Callum Wilson,19/10,50/1,9/2
West Ham,Sunderland,Taty Castellanos,5/2,80/1,11/2
West Ham,Sunderland,Jarrod Bowen,13/5,80/1,6/1
West Ham,Sunderland,Lucas Paqueta,16/5,100/1,13/2
West Ham,Sunderland,Crysencio Summerville,9/2,150/1,9/1
West Ham,Sunderland,Tomas Soucek,24/5,200/1,10/1
West Ham,Sunderland,Mateus Fernandes,15/2,300/1,12/1
West Ham,Sunderland,Mohamadou Kante,7/1,400/1,12/1
West Ham,Sunderland,Soungoutou Magassa,8/1,250/1,14/1
West Ham,Sunderland,Guido Rodriguez,9/1,400/1,18/1
West Ham,Sunderland,Freddie Potts,10/1,300/1,18/1
West Ham,Sunderland,El Hadji Malick Diouf,10/1,400/1,20/1
West Ham,Sunderland,Ezra Mayers,11/1,250/1,22/1
West Ham,Sunderland,Konstantinos Mavropanos,11/1,250/1,22/1
West Ham,Sunderland,Kyle Walker-Peters,12/1,400/1,25/1
West Ham,Sunderland,Igor Julio,16/1,400/1,35/1
West Ham,Sunderland,Max Kilman,16/1,400/1,35/1
West Ham,Sunderland,Oliver Scarles,16/1,400/1,35/1
West Ham,Sunderland,Aaron Wan-Bissaka,18/1,400/1,45/1
West Ham,Sunderland,Jean-Clair Todibo,22/1,400/1,65/1
West Ham,Sunderland,Brian Brobbey,6/4,33/1,15/4
West Ham,Sunderland,Wilson Isidor,21/10,55/1,5/1
West Ham,Sunderland,Eliezer Mayenda,14/5,80/1,6/1
West Ham,Sunderland,Romaine Mundle,15/4,100/1,15/2
West Ham,Sunderland,Chemsdine Talbi,18/5,150/1,8/1
West Ham,Sunderland,Simon Adingra,4/1,125/1,8/1
West Ham,Sunderland,Enzo Le Fee,19/5,150/1,17/2
West Ham,Sunderland,Daniel Ballard,5/1,150/1,9/1
West Ham,Sunderland,Chris Rigg,24/5,200/1,10/1
West Ham,Sunderland,Habib Diarra,11/2,250/1,11/1
West Ham,Sunderland,Trai Hume,15/2,400/1,14/1
West Ham,Sunderland,Omar Alderete,17/2,250/1,14/1
West Ham,Sunderland,Granit Xhaka,8/1,400/1,14/1
West Ham,Sunderland,Lutsharel Geertruida,17/2,400/1,16/1
West Ham,Sunderland,Luke O'Nien,11/1,300/1,22/1
West Ham,Sunderland,Noah Sadiki,11/1,400/1,22/1
West Ham,Sunderland,Daniel Neil,12/1,400/1,25/1
West Ham,Sunderland,Dennis Cirkin,11/1,300/1,25/1
West Ham,Sunderland,Nordi Mukiele,12/1,400/1,28/1
West Ham,Sunderland,Leo Fuhr Hjelde,18/1,400/1,35/1
West Ham,Sunderland,Reinildo Mandava,18/1,400/1,35/1
Burnley,Tottenham,Zian Flemming,15/8,45/1,24/5
Burnley,Tottenham,Ashley Barnes,12/5,66/1,5/1
Burnley,Tottenham,Armando Broja,11/5,60/1,5/1
Burnley,Tottenham,Jaidon Anthony,27/10,80/1,11/2
Burnley,Tottenham,Lyle Foster,29/10,100/1,13/2
Burnley,Tottenham,Jacob Bruun Larsen,15/4,100/1,15/2
Burnley,Tottenham,Marcus Edwards,15/4,150/1,8/1
Burnley,Tottenham,Loum Tchaouna,15/4,125/1,8/1
Burnley,Tottenham,Jaydon Banel,24/5,200/1,9/1
Burnley,Tottenham,Mike Tresor,24/5,200/1,9/1
Burnley,Tottenham,Lesley Ugochukwu,11/2,250/1,10/1
Burnley,Tottenham,Josh Laurent,8/1,250/1,14/1
Burnley,Tottenham,Hannibal Mejbri,8/1,400/1,14/1
Burnley,Tottenham,Oliver Sonne,9/1,250/1,16/1
Burnley,Tottenham,Florentino Luis,10/1,300/1,20/1
Burnley,Tottenham,Lucas Pires,12/1,400/1,25/1
Burnley,Tottenham,Quilindschy Hartman,14/1,400/1,28/1
Burnley,Tottenham,Maxime Esteve,14/1,400/1,28/1
Burnley,Tottenham,Bashir Humphreys,14/1,400/1,28/1
Burnley,Tottenham,Hjalmar Ekdal,14/1,300/1,33/1
Burnley,Tottenham,Axel Tuanzebe,16/1,250/1,35/1
Burnley,Tottenham,Kyle Walker,16/1,400/1,35/1
Burnley,Tottenham,Joe Worrall,20/1,400/1,45/1
Burnley,Tottenham,Dominic Solanke,7/4,40/1,4/1
Burnley,Tottenham,Mathys Tel,15/8,45/1,9/2
Burnley,Tottenham,Randal Kolo Muani,19/10,45/1,9/2
Burnley,Tottenham,Dane Scarlett,12/5,70/1,11/2
Burnley,Tottenham,Xavi Simons,16/5,100/1,7/1
Burnley,Tottenham,Wilson Odobert,18/5,100/1,7/1
Burnley,Tottenham,Luca Williams-Barnett,16/5,125/1,7/1
Burnley,Tottenham,Tynan Thompson,10/3,125/1,15/2
Burnley,Tottenham,Yusuf Akhamrich,15/4,150/1,8/1
Burnley,Tottenham,Lucas Bergvall,15/4,150/1,8/1
Burnley,Tottenham,Pape Matar Sarr,19/5,150/1,17/2
Burnley,Tottenham,Conor Gallagher,4/1,150/1,17/2
Burnley,Tottenham,Joao Palhinha,9/2,150/1,17/2
Burnley,Tottenham,Callum Olusesi,24/5,200/1,9/1
Burnley,Tottenham,Cristian Romero,13/2,300/1,11/1
Burnley,Tottenham,Micky van de Ven,6/1,250/1,11/1
Burnley,Tottenham,Rio Kyerematen,13/2,300/1,11/1
Burnley,Tottenham,Archie Gray,9/1,400/1,18/1
Burnley,Tottenham,Junai Byfield,10/1,400/1,20/1
Burnley,Tottenham,Yves Bissouma,10/1,400/1,20/1
Burnley,Tottenham,Souza,11/1,400/1,20/1
Burnley,Tottenham,Pedro Porro,11/1,400/1,20/1
Burnley,Tottenham,Destiny Udogie,10/1,250/1,22/1
Burnley,Tottenham,Radu Dragusin,12/1,400/1,25/1
Burnley,Tottenham,Djed Spence,11/1,300/1,25/1
Burnley,Tottenham,Kevin Danso,12/1,400/1,25/1
Burnley,Tottenham,James Rowswell,14/1,400/1,35/1
Burnley,Tottenham,Malachi Hardy,14/1,400/1,35/1
Fulham,Brighton,Harry Wilson,9/5,40/1,24/5
Fulham,Brighton,Raul Jimenez,2/1,50/1,5/1
Fulham,Brighton,Samuel Chukwueze,14/5,90/1,13/2
Fulham,Brighton,Jonah Kusi-Asare,14/5,90/1,7/1
Fulham,Brighton,Emile Smith Rowe,29/10,90/1,7/1
Fulham,Brighton,Joshua King,3/1,125/1,15/2
Fulham,Brighton,Kevin,7/2,125/1,8/1
Fulham,Brighton,Ryan Sessegnon,19/5,125/1,17/2
Fulham,Brighton,Adama Traore,4/1,150/1,9/1
Fulham,Brighton,Alex Iwobi,5/1,200/1,10/1
Fulham,Brighton,Tom Cairney,13/2,300/1,12/1
Fulham,Brighton,Sander Berge,17/2,250/1,16/1
Fulham,Brighton,Timothy Castagne,9/1,300/1,18/1
Fulham,Brighton,Joachim Andersen,9/1,250/1,18/1
Fulham,Brighton,Harrison Reed,9/1,400/1,18/1
Fulham,Brighton,Sam Amissah,11/1,400/1,22/1
