home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Brentford,Man Utd,Igor Thiago,9/5,40/1,24/5
Brentford,Man Utd,Kevin Schade,19/10,45/1,5/1
Brentford,Man Utd,Fabio Carvalho,14/5,80/1,13/2
Brentford,Man Utd,Dango Ouattara,13/5,80/1,13/2
Brentford,Man Utd,Gustavo Nunes,3/1,100/1,15/2
Brentford,Man Utd,Mikkel Damsgaard,15/4,125/1,17/2
Brentford,Man Utd,Antoni Milambo,19/5,125/1,9/1
Brentford,Man Utd,Reiss Nelson,19/5,150/1,9/1
Brentford,Man Utd,Myles Peart-Harris,4/1,150/1,9/1
Brentford,Man Utd,Mathias Jensen,6/1,200/1,11/1
Brentford,Man Utd,Yegor Yarmolyuk,11/2,250/1,12/1
Brentford,Man Utd,Frank Onyeka,7/1,250/1,14/1
Brentford,Man Utd,Keane Lewis-Potter,7/1,300/1,14/1
Brentford,Man Utd,Rico Henry,9/1,250/1,18/1
Brentford,Man Utd,Ethan Pinnock,9/1,250/1,18/1
Brentford,Man Utd,Vitaly Janelt,17/2,400/1,18/1
Brentford,Man Utd,Jordan Henderson,9/1,400/1,20/1
Brentford,Man Utd,Aaron Hickey,9/1,250/1,20/1
Brentford,Man Utd,Kristoffer Ajer,10/1,250/1,22/1
Brentford,Man Utd,Michael Kayode,11/1,300/1,22/1
Brentford,Man Utd,Sepp van den Berg,11/1,400/1,25/1
Brentford,Man Utd,Nathan Collins,12/1,400/1,25/1
Brentford,Man Utd,Benjamin Arthur,11/1,250/1,28/1
Brentford,Man Utd,Matheus Cunha,8/5,33/1,9/2
Brentford,Man Utd,Benjamin Sesko,7/4,40/1,24/5
Brentford,Man Utd,Bryan Mbeumo,19/10,50/1,11/2
Brentford,Man Utd,Joshua Zirkzee,9/4,65/1,6/1
Brentford,Man Utd,Bruno Fernandes,27/10,90/1,7/1
Brentford,Man Utd,Mason Mount,18/5,100/1,8/1
Brentford,Man Utd,Amad Diallo,19/5,150/1,9/1
Brentford,Man Utd,Kobbie Mainoo,7/1,400/1,14/1
Brentford,Man Utd,Harry Maguire,15/2,250/1,16/1
Brentford,Man Utd,Manuel Ugarte,8/1,250/1,16/1
Brentford,Man Utd,Patrick Dorgu,8/1,400/1,18/1
Brentford,Man Utd,Diego Leon,17/2,400/1,20/1
Brentford,Man Utd,Matthijs de Ligt,11/1,400/1,25/1
Brentford,Man Utd,Ayden Heaven,12/1,400/1,28/1
Brentford,Man Utd,Leny Yoro,12/1,300/1,33/1
Brentford,Man Utd,Luke Shaw,12/1,300/1,33/1
Brentford,Man Utd,Noussair Mazraoui,12/1,300/1,33/1
Brentford,Man Utd,Tyler Fredricson,16/1,400/1,45/1
Chelsea,Brighton,Cole Palmer,7/5,33/1,4/1
Chelsea,Brighton,Joao Pedro,29/20,35/1,4/1
Chelsea,Brighton,Tyrique George,15/8,45/1,24/5
Chelsea,Brighton,Alejandro Garnacho,19/10,45/1,5/1
Chelsea,Brighton,Marc Guiu,7/4,40/1,5/1
Chelsea,Brighton,Estevao,9/4,65/1,11/2
Chelsea,Brighton,Jamie Bynoe-Gittens,5/2,70/1,6/1
Chelsea,Brighton,Pedro Neto,10/3,100/1,15/2
Chelsea,Brighton,Andrey Santos,18/5,100/1,8/1
Chelsea,Brighton,Enzo Fernandez,17/5,125/1,17/2
Chelsea,Brighton,Marc Cucurella,6/1,250/1,12/1
Chelsea,Brighton,Reece James,6/1,250/1,12/1
Chelsea,Brighton,Josh Acheampong,15/2,250/1,14/1
Chelsea,Brighton,Romeo Lavia,15/2,250/1,14/1
