home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Aston Villa,Arsenal,Ollie Watkins,23/10,66/1,5/1
Aston Villa,Arsenal,Donyell Malen,23/10,66/1,5/1
Aston Villa,Arsenal,Morgan Rogers,18/5,150/1,8/1
Aston Villa,Arsenal,Emiliano Buendia,19/5,150/1,17/2
Aston Villa,Arsenal,Jadon Sancho,5/1,250/1,10/1
Aston Villa,Arsenal,Amadou Onana,7/1,250/1,11/1
Aston Villa,Arsenal,Harvey Elliott,11/2,250/1,11/1
Aston Villa,Arsenal,Ross Barkley,5/1,250/1,11/1
Aston Villa,Arsenal,Evann Guessand,11/2,250/1,11/1
Aston Villa,Arsenal,John McGinn,7/1,300/1,11/1
Aston Villa,Arsenal,Youri Tielemans,7/1,300/1,12/1
Aston Villa,Arsenal,Matthew Cash,17/2,300/1,16/1
Aston Villa,Arsenal,George Hemmings,11/1,400/1,20/1
Aston Villa,Arsenal,Ian Maatsen,12/1,400/1,25/1
Aston Villa,Arsenal,Boubacar Kamara,14/1,300/1,33/1
Aston Villa,Arsenal,Lucas Digne,14/1,300/1,33/1
Aston Villa,Arsenal,Andres Garcia,16/1,400/1,35/1
Aston Villa,Arsenal,Lamare Bogarde,20/1,400/1,45/1
Aston Villa,Arsenal,Victor Lindelof,20/1,400/1,45/1
Aston Villa,Arsenal,Ezri Konsa,20/1,400/1,45/1
Aston Villa,Arsenal,Pau Torres,20/1,400/1,45/1
Aston Villa,Arsenal,Viktor Gyokeres,15/8,45/1,9/2
Aston Villa,Arsenal,Eberechi Eze,19/10,50/1,24/5
Aston Villa,Arsenal,Noni Madueke,27/10,70/1,11/2
Aston Villa,Arsenal,Mikel Merino,23/10,66/1,11/2
Aston Villa,Arsenal,Leandro Trossard,27/10,90/1,6/1
Aston Villa,Arsenal,Bukayo Saka,5/2,80/1,6/1
Aston Villa,Arsenal,Gabriel Martinelli,29/10,100/1,13/2
Aston Villa,Arsenal,Martin Odegaard,15/4,125/1,8/1
Aston Villa,Arsenal,Ethan Nwaneri,4/1,150/1,17/2
Aston Villa,Arsenal,Declan Rice,5/1,200/1,10/1
Aston Villa,Arsenal,Martin Zubimendi,11/2,200/1,10/1
Aston Villa,Arsenal,Jurrien Timber,6/1,250/1,11/1
Aston Villa,Arsenal,Christian Norgaard,15/2,400/1,14/1
Aston Villa,Arsenal,Ben White,10/1,400/1,20/1
Aston Villa,Arsenal,Myles Lewis-Skelly,10/1,250/1,20/1
Aston Villa,Arsenal,Riccardo Calafiori,10/1,400/1,20/1
Aston Villa,Arsenal,Piero Hincapie,14/1,300/1,33/1
Aston Villa,Arsenal,Cristhian Mosquera,14/1,300/1,33/1
Aston Villa,Arsenal,William Saliba,16/1,400/1,35/1
Bournemouth,Chelsea,Eli Junior Kroupi,11/8,28/1,4/1
Bournemouth,Chelsea,Antoine Semenyo,7/5,28/1,4/1
Bournemouth,Chelsea,Evanilson,15/8,45/1,24/5
Bournemouth,Chelsea,Enes Unal,19/10,50/1,11/2
Bournemouth,Chelsea,Justin Kluivert,16/5,90/1,15/2
Bournemouth,Chelsea,Marcus Tavernier,7/2,150/1,17/2
Bournemouth,Chelsea,Amine Adli,4/1,150/1,9/1
Bournemouth,Chelsea,David Brooks,4/1,150/1,9/1
Bournemouth,Chelsea,Alex Scott,8/1,250/1,16/1
Bournemouth,Chelsea,Malcom Dacosta,10/1,400/1,22/1
Bournemouth,Chelsea,Tyler Adams,10/1,300/1,22/1
