Name,League,Division,Team id,points,OR
Prithviraj Satav,9,1,7780452,82,64869
Dermot Woods,9,1,350546,76,430615
Gary Purves,9,1,313456,73,404148
M. Rugema,9,1,7475370,73,661998
Pannir Veloo,9,1,4767247,68,1947011
Paul Durcan,9,1,3301090,67,1691471
Jabir PV,9,1,2498538,63,2726732
Hasanul Nanang,9,1,8070020,60,1955313
Paul Wylie,9,1,13901,57,2163990
Aziz Ben Othman,9,1,1765302,56,1482781
Kalki Marwaha,9,1,1819851,55,1482115
Samir Muhammad,9,1,4714941,52,1664427
Mali Safi,9,1,7600669,51,4042893
aaRoN ZiDaNe,9,1,4466784,49,1709413
Annika Rose Hermelin,9,1,260289,48,5153746
A V,9,1,3303715,46,4696081
Katrine Purins,9,1,1618415,45,4713470
Paul Mitchell,9,1,3118676,40,5162764
Tobias Lebens,9,1,5762253,37,5123139
H M,9,1,40164,34,7682906
Theo Bosanquet,9,2,3647395,85,10467
Robert Cupkovic,9,2,366028,79,235930
Khaled Ashour,9,2,4227997,76,704670
Isaac Michael,9,2,15630,72,24893
Iain Sime,9,2,1092053,67,458512
Robert Morgan,9,2,6624517,66,491300
Dominic Adu,9,2,1964507,63,1452072
Zaid amir Bouakaz,9,2,7291722,58,4170284
Gareth Leonard,9,2,1129042,57,1064978
Paras Khurana,9,2,2659364,57,1344484
Miroslav Kostić,9,2,5938259,57,4812280
Oluwafemi Mally,9,2,8638658,56,4023937
John Sweeney,9,2,2161228,55,3655677
Asep Sudrajat,9,2,8553734,53,2172115
Zaka Khan,9,2,1068947,51,2593398
Igor Dojnov,9,2,4556582,45,3079956
Adil Mohit,9,2,3710063,43,5877542
Subhayan Chakraborty,9,2,8243002,34,7721226
Tanveer Dhatt,9,2,8653392,33,7555353
BIKAS DIP BASNET,9,2,769598,27,8140286
paul arnold,9,3,10935,90,73037
Gar Murran,9,3,214567,78,366856
Monsur Olatubosun,9,3,154667,70,1525716
ajay gautam,9,3,3464871,68,1273216
Fly .,9,3,1484960,67,567271
Jim Nea,9,3,63857,67,651949
Daniel Kibe,9,3,6366017,64,1895635
Ciaran Kelly,9,3,4096257,63,3807386
Dare Agbaje,9,3,5172586,60,2089172
Yash Batra,9,3,736957,58,2609596
moses Twinomujuni,9,3,2627683,54,5066711
Mo El-Barnaoui,9,3,520627,51,2938581
Aleksandar Velkov,9,3,186891,51,4187785
Luke Mortiboys,9,3,721127,51,6531214
William Thomson,9,3,4337803,48,2826714
Joshua Mumo,9,3,855160,43,5654315
Yahya Abdulkadir,9,3,1610857,42,8513988
James Cunningham,9,3,4317795,40,5397927
Samuel Afriyie,9,3,8750244,39,8167692
Frankie Keenan,9,3,7409104,30,7736750
Chris Wittenberg,9,4,6293058,75,171726
Mehdi Gomar,9,4,704639,74,410326
Mihail Petrov,9,4,178402,72,293168
Fernando Moura,9,4,369054,71,99432
Jeffrey Wang,9,4,676307,69,426233
Victor Charles Forster,9,4,2250663,68,1561981
Albert Bastias,9,4,39466,67,94802
Michael Pallott,9,4,1188179,63,1199447
david donaldson,9,4,3733383,59,5029056
Lee McGuffie,9,4,3317002,58,1255914
Danijel Cvetkovic,9,4,108649,54,649648
Emmett Doran,9,4,3092455,52,793175
Max Noble,9,4,283876,50,1041347
Pepe Carrie,9,4,216965,50,3181185
sn nathaniel,9,4,884570,49,926460
Nigel Jones,9,4,516701,48,2383020
DERICK TRIBE IV,9,4,1660126,45,3577114
Manav Narang,9,4,7745,38,2069058
bakiga nation,9,4,3421273,37,3080471
Jun Yao Ching,9,4,7768770,31,6571337
Andy Clarke,9,5,5996,88,37946
agsga XHF,9,5,6227415,79,267972
Stephen Wilson,9,5,611525,78,271424
Trav Whiteford,9,5,1972185,73,796375
Simon Chatten,9,5,13175,66,290820
Nick Hume,9,5,7136430,63,1143144
Zak Boys,9,5,5899033,62,69464
Nana Kwame Stone,9,5,4056718,60,1103833
Ibrahim Modebola,9,5,1964652,60,1334274
Irvin Kawonde,9,5,1062087,59,2305652
Mikey Myk,9,5,5039375,57,1386161
Stephen Coombes,9,5,1003024,55,384942
penguasa bola,9,5,8261030,52,2304161
Abdelmalek Faris,9,5,594095,48,3944677
Eddy irwan Rafie,9,5,7784599,47,2814825
Faris Aiman Sarifulnizam,9,5,4480957,42,2776577
Emmanuel Sikes,9,5,5055359,42,5146947
Mohammed Salawudeen,9,5,1682367,36,8223956
Andrea De Pieri,9,5,1750607,35,4981322
sabzz wazza,9,5,6275829,30,7188660
Aeddan ap Garth,9,6,2496248,81,193490
Saleem Qasem,9,6,5408777,73,1179679
Gary Powney,9,6,3910610,70,2189389
sujil bande,9,6,43767,68,382105
Shaikh Saab,9,6,7416954,68,1325210
Jimmy NailedOn,9,6,589127,67,570413
Underneath the Colours,9,6,1933119,64,1467628
Ace Tosin,9,6,2999659,63,3264602
Daniel Kibe,9,6,6377634,61,587252
Louis Leddy,9,6,94725,61,968748
Ivo Ivanov,9,6,2652637,61,1878341
Nathan Parker,9,6,120989,61,4610524
James Ellis,9,6,2325739,58,1870807
Robert Pires,9,6,3137865,57,3051256
Charkrit Oui,9,6,3046543,52,2241043
Jackson Panther,9,6,4477495,51,3597163
Leandro Ferreira,9,6,7826744,39,3681340
Kameswer Moahan,9,6,6863302,28,7311505
Stephen Pike,9,6,8205910,25,8036472
Pratim Thapa,9,6,4193292,19,8476390
