Name,League,Division,Team id,points,OR
Richard Slaven,4,1,314641,82,2726
Andrew White,4,1,252846,75,16662
Sam Bonfield,4,1,2140,67,126405
George Petrou,4,1,339258,66,183373
Rima Gudka,4,1,1745,65,57281
Ben Lovell,4,1,279378,64,71045
Greivin Barboza Retana,4,1,459481,63,27380
Dom cooke,4,1,3000330,59,224717
Mark Larwood,4,1,815506,57,1238647
Matthew Rees,4,1,14537,56,461235
Daniel Cleghorn,4,1,1332027,52,611061
Vasu Shan,4,1,70320,51,91094
Shrikant Verma,4,1,28699,51,635917
Dominic Superville,4,1,728229,50,704381
Fraser Love,4,1,129978,48,559148
Jeremy Linter,4,1,8109,48,673839
Chris Wilder,4,1,94316,46,735003
Jon Oliver,4,1,2088374,45,1282968
Serkan Kaygun,4,1,697836,43,1241760
Joe Stafford,4,1,15149,42,651656
Stuart Blakeley,4,2,1094683,87,18998
Milan Pavlovic,4,2,5499,74,21323
Daniel Murray,4,2,5211466,69,232174
jordan ross,4,2,332853,68,46991
Iwan Atherton,4,2,287653,67,331497
Alex Jones,4,2,3668857,66,48687
Matthew Karan,4,2,4180852,66,385370
Chris Blackburn,4,2,31129,63,659814
Doncho Georgiev,4,2,1979277,60,577820
Mark Boland,4,2,31810,58,81835
Scott Taylor,4,2,375679,58,145601
Tin Kostelac,4,2,60316,55,85843
Mohd Hazwan,4,2,143046,55,207591
Johan Wester,4,2,50453,54,510370
Peter Kidd,4,2,613749,51,88411
Jay Placey,4,2,236285,51,105142
Tommi Koskinen,4,2,6411,51,859827
Deleted Player,4,2,1005675,30,0
Tristan Maw,4,2,185704,30,4784919
André Bjerketveit,4,2,19651,20,5077047
Gavin Sousa,4,3,941366,75,59320
Andrew Garland,4,3,500139,72,59413
Filip Suchta,4,3,8883,69,248617
Liam Bondin,4,3,77426,67,168106
Daniel Loebjer,4,3,2403793,64,56366
sebastian kromberg,4,3,61411,64,126931
Marcel Erich Scheiwiller,4,3,6461,63,12792
Chris Ambridge,4,3,21083,62,99650
Casey Moore,4,3,33213,60,290086
Ash Spratt,4,3,16569,53,147256
Ian Knox,4,3,282914,53,290086
Ivan Leshtarov,4,3,21518,51,1276181
Steve Sumpton,4,3,4271,50,333648
Ken Liston,4,3,356832,49,453645
Jamie McComb,4,3,1569,49,817832
Joe Stang,4,3,10761,48,248869
Lars Valdresbråten,4,3,2085,48,918198
Daniel Stickells,4,3,385704,45,1425923
Ivan Frederick,4,3,39869,42,1578299
Tom McDonald,4,3,6055909,42,1624651
Simon Rothwell,4,4,294018,77,34421
Tom Nickalls,4,4,16214,70,255229
James Bambridge,4,4,559051,69,175002
Andrew Ray,4,4,107293,67,77523
Gavin Barnes,4,4,10860,67,292324
Josip Grgic,4,4,1095773,66,310587
Alexander Finbow,4,4,103278,65,181436
John H,4,4,170246,64,180521
Tony Wilkins,4,4,9281,63,24583
Mark Mews,4,4,583441,60,89195
Vasanth M,4,4,1020107,55,391853
Youssef Rophael,4,4,5607,55,959140
Konstantinos Anastasiou,4,4,40838,53,506686
Diego Figueiredo,4,4,1405389,52,338014
Eugene Heng,4,4,33000,48,576578
Dan Byrom,4,4,16053,42,594057
Lance Pridham,4,4,171538,42,1509442
Alan Robertson,4,4,3142875,41,108777
david arblaster,4,4,2749041,35,3101446
Barry Lawrence,4,4,38888,34,1281508
Benjamin Arslanagic,4,5,246947,74,38726
Martin Rapp,4,5,380890,74,103369
Richard Allen,4,5,349604,72,335937
John Henson,4,5,262287,70,1020
Andrew Boddy,4,5,8652,70,132919
Ben Ashworth,4,5,695809,65,85024
Steve Church,4,5,210511,64,85193
James Cresswell,4,5,9817,64,389821
Per Øyvind Bonkerud,4,5,560290,62,379310
Colm Divilly,4,5,2330223,60,78873
Julian Strahberger,4,5,13184,57,65404
Daniel Clarke,4,5,892979,57,261735
Chris Gallahue,4,5,3879009,51,812549
Garry McKay,4,5,34498,51,1079445
olavi oja,4,5,1511901,49,693348
Jamie Macdonald,4,5,11065,45,65589
Luke Yorke,4,5,10688,40,313052
Moray West,4,5,5441207,39,633853
Ljubomir Stankovic,4,5,240699,39,1010174
Cleavon Tan,4,5,699619,30,433065
William Elliott,4,6,107268,79,197707
Rishi Sehgal,4,6,17243,75,36174
Alan Robertson,4,6,55544,66,25352
Richard Harte,4,6,10922,64,290675
Jafa Jafalad,4,6,571055,63,194805
George Owen,4,6,13898,62,40601
Francisco Lamarque,4,6,2246110,61,130428
Sampras Lee,4,6,64093,61,228741
Troy Rouse,4,6,387785,61,321170
Richard Gibbs,4,6,3574047,60,175296
Sean Collum,4,6,8115,57,114321
Niall Parker,4,6,1955,55,158118
Luka Toigonbaev,4,6,8101564,55,324163
Ronan McGinley,4,6,546170,54,207591
Chris Spencer,4,6,1515,52,269455
Benjamin Fink,4,6,3996796,50,825729
Jack Clark,4,6,1496742,46,415901
Rob Roche,4,6,655717,45,238739
Tin Nguyen,4,6,205990,36,666309
Andy Potter,4,6,2156165,26,1969901
Hans Friedl,4,7,9872,75,201250
Graham Langley,4,7,182703,67,44447
Conor Slattery,4,7,113817,66,68663
Robert Turner,4,7,22337,66,472125
Daniel Wilcher,4,7,533426,64,325528
Anders Söder Wintergren,4,7,551314,63,19435
Matthias Ammon,4,7,27732,62,29624
Teo R.,4,7,16768,61,322979
Austin Hodgson,4,7,25227,60,169557
Thomas Ween,4,7,19962,60,365939
Michael Du Toit,4,7,388812,59,297957
Eirik Aasen Aukland,4,7,3851319,58,187997
Matt Cherng,4,7,25036,57,420657
Shaun McGrath,4,7,2684983,52,592942
Michal Romantowski,4,7,25285,48,222301
John Brooks,4,7,1155437,47,518494
Matt McLachlan,4,7,33738,43,1092307
Matt Smith,4,7,2825348,43,1555388
Arnie Siva,4,7,176783,42,1903690
Reece Newell,4,7,307247,31,2063562
Niall Clusker,4,8,81160,76,173634
Dibbendu Mukherjee,4,8,12210,70,8147
Alex Lau,4,8,5621,70,117305
Paul Strange,4,8,341008,69,143509
Qing Hao Sim,4,8,564145,67,143785
Pratham Batra,4,8,420810,61,903863
Ben Capron,4,8,399673,60,119850
Ali Mohsen,4,8,73890,58,296692
Aki Ali,4,8,503875,57,571616
Przemysław Rutkowski,4,8,417693,57,1133096
Adam Bell,4,8,118532,56,96964
John Robson,4,8,28313,53,28740
Luke Jenkin,4,8,5037,51,229379
Ajai Daniel,4,8,3124854,50,359843
Sami Arnaout,4,8,520364,48,280055
Toby Lansdell,4,8,19395,48,434881
Ben Grunbaum,4,8,11924,48,546829
Bill Koulis,4,8,12539,47,506238
Jia Xiang Woo,4,8,23687,42,480541
Rick Rudnicki,4,8,439294,38,403457
