Name,League,Division,Team id,points,OR
Francisco Fernandez,7,1,11625,75,10652
Alex Buckingham,7,1,78531,69,12992
Adam Seekings,7,1,80298,68,79829
Miguel Galán,7,1,6564,67,64299
Ian Parrin,7,1,11143,66,62877
Danny Brown,7,1,1442344,64,144894
Abadi Issa,7,1,6401,63,135967
Joe Kneidel,7,1,964241,62,67796
dominic starr,7,1,996472,60,366465
Rasmus Andersson,7,1,731004,56,201954
Jari Loikkanen,7,1,951804,53,1283521
Mithun Karsandas,7,1,2581261,51,119006
Lucy Kember,7,1,5864,51,401985
Bivash Kumar,7,1,17744,51,477190
Will Walker,7,1,35245,48,1349169
Kenneth Xu,7,1,1256455,47,568112
Daniel Gottlieb,7,1,2381024,47,767041
James Brogan,7,1,7696839,45,722867
Chris Bell,7,1,695059,43,759820
Andy Buckle,7,1,33327,41,897553
Matt Heldt,7,2,236,78,196450
Eric Nylander,7,2,54027,66,158337
Paul Walker,7,2,3804682,65,369508
Marc Davis,7,2,11387,65,594057
Rainy ~,7,2,76523,64,650992
Luis Montenegro,7,2,4061016,63,354763
Lee Murphy,7,2,26773,63,1539494
Rickard Bergerson,7,2,1045714,59,2097428
Phil Clark,7,2,1312031,58,231756
George Beer,7,2,1528822,56,208330
The Special One,7,2,1814769,54,623084
Ole Henrik Vigdal,7,2,388746,53,355662
Bird jr,7,2,4901226,52,956780
Matt Wroe,7,2,3806675,52,1804185
Tom Webster,7,2,55448,51,359447
Nancy Russell,7,2,49574,51,935368
Marc Carter,7,2,487238,47,1240873
Nikolas Iakovides,7,2,1188094,45,907514
Callum Clark,7,2,731428,45,3179485
Timon Orlob,7,2,1301681,41,1369591
Nicholas Shawyer,7,3,8421803,77,38973
Robbie Banks,7,3,514578,73,124926
Johnson Adeleye,7,3,3298172,70,305687
Joshua Riley,7,3,4099515,64,302476
Douglas McArthur,7,3,528980,63,218031
Simon McCallion,7,3,137710,63,243925
Tom Ellam,7,3,3644305,61,185464
Chris Hawes,7,3,19916,61,274779
Paul Tern,7,3,840868,60,252255
Alistair Britton,7,3,12859,60,371426
Cathal Devilly,7,3,140978,60,602105
Mike Adamou,7,3,401196,57,158337
Matias Lavik,7,3,2052153,57,1648466
Russ Kitson,7,3,2021253,48,677743
Mithun Varkey,7,3,26444,48,2117471
Alex Pocklington,7,3,14341,46,2893944
James Zhao,7,3,310336,43,602105
Dennis Patrick,7,3,77789,43,1394039
Philip Peker,7,3,3439152,42,2118049
Roel Hendriks,7,3,14636,36,2171495
Sunny H,7,4,200422,85,544
Peter O'Reilly,7,4,707469,77,268619
Richard Wynne,7,4,2240560,75,15726
Frank Traynor,7,4,1586869,69,103369
Adam Sibley,7,4,6820628,69,339734
Mark Hammond,7,4,1745329,66,15563
brannon heath,7,4,1792545,61,311037
Димитър Димитров,7,4,182924,61,596941
Pierre van der Westhuizen,7,4,1401988,57,214498
Lee Farndell,7,4,25049,57,255605
Martin Primov,7,4,18990,56,298673
Donato Di Cicco,7,4,461864,55,475429
Stephen Browner,7,4,128733,52,81322
Bryant Ndongmo,7,4,3343417,51,112074
Jace Cochran,7,4,5413198,51,987014
James Rymer,7,4,777878,48,735003
Cupid Stunt,7,4,2577771,39,1406058
Kyle Zheng,7,4,2606586,39,2100932
Adrian Kozera,7,4,254485,36,2390428
Roy Merin,7,4,7642718,29,3934043
Huy Nguyen,7,5,4230,77,7241
Riza Rekta,7,5,7838658,72,36323
Mick Webb,7,5,2878538,69,90608
Saurabh John,7,5,13531,68,161307
gareth edser,7,5,279515,64,14483
Mr. Jenkins,7,5,13346,63,1443950
Phil Johnson,7,5,12180,61,226827
Andrew Marriott,7,5,3289570,60,897456
Tristan Hill,7,5,1470926,59,79347
George Davison,7,5,4497485,59,355905
David Thomas,7,5,714,58,247698
Presten Vaz,7,5,898703,54,64476
Nick Mullendore,7,5,2637613,53,1134559
Cassie Bradbury,7,5,137978,52,286669
L D,7,5,2273503,45,1057647
Joe Dolling,7,5,4199673,45,1292806
Stephen Tobi Lawal,7,5,29793,44,1677382
James Villet,7,5,27022,43,2587087
Colin Nicholson,7,5,257647,39,1107303
Erwien Asmara,7,5,165152,38,2290142
Pekka Piippa,7,6,166126,73,129543
Tomas Galkus,7,6,5185,71,257802
Jacques Steyn,7,6,251171,70,181722
chris bridgland,7,6,1893749,69,608271
Yash Lalai,7,6,1504723,67,670913
Mohd Hafzan,7,6,42937,63,88737
Ahmad AlSharhan,7,6,8010037,61,338916
Marie Cullinane,7,6,1112694,58,514381
Agung Rizqi,7,6,6617904,57,527810
Glenn Holmes,7,6,2295953,57,947458
Koh Peter,7,6,1274930,53,202416
david wilson,7,6,262503,52,74429
Ben V,7,6,268725,52,310587
Neil Kimpton,7,6,19303,52,670251
Håkon Randgaard Mikalsen,7,6,5747650,49,583066
Val Kenny,7,6,1292201,49,1636119
Danny Farndon,7,6,244916,47,5758088
Kristian Kruse,7,6,3930180,46,348151
Jonathan Curran,7,6,2998477,42,1738332
Vice Ivandić,7,6,5953846,42,1924223
Philip Hammarström,7,7,2063001,72,34238
Calvin Waldron,7,7,175319,66,140592
Kevin Carter,7,7,24208,66,142372
Virman Man,7,7,1960778,63,380791
Justin Morris,7,7,3519368,62,226166
Lachlan D,7,7,685835,62,284409
Adam Vale,7,7,154132,61,354763
Tim Barlow,7,7,599313,60,455278
Rob Williams,7,7,945893,60,1187439
Joe Dower,7,7,12795,54,483591
Børge Hov,7,7,87357,54,1089214
Nicolas Rodriguez,7,7,2738868,54,1422953
Glenn Ormandy,7,7,3319936,53,1027681
Simon Frankland,7,7,2248572,53,1960394
Pamungkas Banjar,7,7,6277075,52,826365
Colm Moore,7,7,1420581,51,1352907
Peter Jennings,7,7,15126,51,2034087
SEGUN FAKAYODE,7,7,4914774,49,1371242
James Turner,7,7,359060,49,1578859
Luke Gilks,7,7,23193,42,917411
Giorgi Makharadze,7,8,1403466,68,52880
John Mann,7,8,3014562,67,97174
Mr Joke,7,8,4056111,67,262441
Sean Cameron,7,8,771878,66,326945
Ian Broome,7,8,520674,64,110897
Raïsh Ganpat,7,8,7732,63,14784
Steven Slowther,7,8,322367,61,95819
Asif Akber,7,8,2522915,61,226557
Fraser Tait,7,8,231360,60,188235
Tom Brockington,7,8,1758374,59,749894
Alex Salomon,7,8,120391,59,1366062
Niz Patel,7,8,438362,58,104534
Chris Petrefski,7,8,2871650,55,1586418
Issam A.,7,8,138726,54,254824
Patrick Moon,7,8,139403,52,302846
Matt Fookes,7,8,6820,49,875200
grzegorz szot,7,8,642531,49,905431
Michael Inns,7,8,498938,48,273085
Dustin Bechere,7,8,476792,48,1076863
Toma Radalj,7,8,2353735,21,7840989
Jack Austin,7,9,2305491,76,105721
Derek Hull,7,9,925700,75,91683
Cian O'Connor,7,9,22899,64,80110
Ayan Sengupta,7,9,799740,64,641171
David Tayler,7,9,4754775,63,249977
Paul Shaddock,7,9,3307795,60,728890
John Mernor,7,9,3109,58,623664
Stevie Pooja Gerrard,7,9,6632788,58,1996311
Jon Arnason,7,9,106411,57,229079
Shafwat Adnan Alam,7,9,2214201,57,2566823
Ali Yousefzadeh,7,9,1004281,55,416400
Damien O'Neill,7,9,11626,55,586904
Steven Mayfield,7,9,341286,54,1507374
Steve Brown,7,9,28215,53,224717
Lee Walker,7,9,290070,52,392876
Jay Hirani,7,9,1567091,52,806765
Siddhartha Bhavnani,7,9,3683,51,2492147
John Dineen,7,9,309542,45,1246572
Dylan Bowe,7,9,45402,43,5949040
Jack Thuta Tin,7,9,4550374,42,1492049
Ahmed Mukhtar,7,10,349254,76,16004
Andrzej Ameljanczyk,7,10,24422,70,85283
Fergus SG,7,10,297084,68,207866
Allen Schaefer,7,10,939105,65,60375
Rajvardhan Kavi,7,10,28491,65,398114
Aidan Grant,7,10,8780,61,163065
Sully Dino,7,10,4335178,61,483591
Václav Doubic,7,10,3175,60,405300
Ryan Shivashankar,7,10,2719,60,477923
tony crowther,7,10,453625,60,1155527
ian donaldson,7,10,4232216,57,37397
SongPhuc Nguyễn Đoàn,7,10,3369,56,76405
