Name,League,Division,Team id,points,OR
Neil Allison,5,1,755887,78,6746
Avishek Ganguly,5,1,3802,75,21480
Richard Irving,5,1,182631,74,79053
Chris Morén,5,1,5957,73,9195
Rob Crabwalk,5,1,446805,70,128475
Wes Soden,5,1,25274,64,449183
Adam Almeida,5,1,29033,62,24181
Seamus Lyons,5,1,9202,62,47896
Daniel K,5,1,30315,62,320779
Seth Ball,5,1,659838,60,80452
James Van Roose,5,1,158995,60,114925
Abdullah Tamim,5,1,3935,58,95991
Jack Kennedy,5,1,488297,57,245889
Ade Spencer,5,1,51480,57,627386
DjŠhąhrûkh Šrk,5,1,145118,51,75874
Simon York,5,1,1960841,41,775562
Curtis Ledger,5,1,257495,40,1895827
edward locke,5,1,1183881,37,249085
Omar Khaled,5,1,7913502,30,3537088
Daniel Eriksson,5,1,285000,21,8102121
David O'Flaherty,5,2,18709,70,20211
Nick Palmer,5,2,1626163,70,108997
Michael Atherton,5,2,5666677,64,523163
Iain Coleman,5,2,566540,63,106649
Martin Savov,5,2,22668,62,126606
Alex Tremble,5,2,5855603,62,232894
Shales Moor,5,2,9642,61,45712
Srk Samejo,5,2,5980083,61,59601
Daryl Ouédraogo,5,2,363214,61,95819
Melvin Mbabazi,5,2,494,60,1084060
Robert Dovenberg,5,2,71150,55,571616
Jesper Rosenkrans,5,2,23620,53,168688
Josip Pavlic,5,2,33413,53,373156
Ian Darlington,5,2,1587052,52,499522
Bako Danyo,5,2,9919919,51,2388915
Ellie Rahman,5,2,691455,49,495631
Irfan Shaikh,5,2,43549,47,415371
Michal Wachowiak,5,2,95107,45,245278
Jemma Pell Jr,5,2,271846,45,1477425
Viaan Agarwal,5,2,286238,43,236622
Steven Schelk,5,3,1346485,78,19555
Tom Houston,5,3,457857,69,47394
Louis Mitchell,5,3,53793,68,279689
Djordje Zivkovic,5,3,49653,66,110195
Andrew Gibson,5,3,7678602,62,33786
Ivo Georgiev,5,3,313896,62,205818
J Platts,5,3,1593931,61,253713
Rahul Chadaga,5,3,232410,60,233475
David Parker,5,3,3273,59,344201
Neil Donaldson,5,3,571478,58,76132
Sean Killick,5,3,22969,57,181137
Paul Reilly,5,3,666014,53,277746
Arup Mandal,5,3,2133337,52,286898
Jon Ekedahl,5,3,422865,49,975466
Jomar Røkke,5,3,5201176,49,3620651
Adrian Bleichmann,5,3,173936,48,2650577
Christoffer Gundersen,5,3,203009,46,725160
Paddy Ross,5,3,129168,45,650992
Saif Bin Rashid,5,3,46514,44,102555
David Matthews,5,3,9575,41,626794
Pantera Cthulhu,5,4,868532,72,10313
Stephen Brady,5,4,95235,72,438247
Tim Worboys,5,4,312942,69,63465
Uroš Lorbek,5,4,66004,69,116242
Tanya Sharma,5,4,372627,68,28066
Martin Osmond-Smith,5,4,86449,68,498458
Rod Harris,5,4,516482,63,58837
Paul Voller,5,4,2434832,58,111667
Reece Goudge,5,4,605663,57,226557
Vladan Mandic,5,4,836144,55,432566
Bartłomiej Ostrzechowski,5,4,928,54,44615
Phil Ampleford,5,4,362272,52,94525
Trevor Osburn,5,4,5150452,50,158790
Roland Kendall,5,4,1268572,49,1482115
Seán Óg Conneely,5,4,179505,49,1861411
Swagat Satpathy,5,4,11555,48,458512
Robert Massie,5,4,2159599,48,513042
Mina Karem,5,4,39188,45,1449954
Matty Delaney,5,4,43313,42,1323312
Josef Rusiecki,5,4,1237524,42,2185154
David Woods,5,5,126317,72,30242
Tony Asabi,5,5,1556529,67,144065
miguel lemos,5,5,1960987,67,151489
Marin Vuletic,5,5,10060,66,4296
Mike Harrison,5,5,1986591,64,266829
Alex Haywood,5,5,7954723,62,95122
Paolo Turrini,5,5,73939,62,326214
Luke Morgan,5,5,2559096,61,4390
Petros Kalogirou,5,5,1282123,61,240019
James Silk,5,5,1577334,58,518494
Ally Lee,5,5,22225,57,120851
Peter Taylor,5,5,8155,57,299819
Gary Kerr,5,5,240948,57,656559
Mark Pooley,5,5,1517792,57,1600245
David Sneddon,5,5,698293,55,345873
Alex Baresel,5,5,23023,53,172917
William Drewett,5,5,6826513,45,1966571
Stephen Woods,5,5,6828951,45,4380969
Mark Shelley,5,5,168795,34,3275415
ade harris,5,5,228965,32,3935551
Jamie Fitzgerald,5,6,674318,75,36658
Bukola Atanda,5,6,1189522,68,20310
Andrzej Zytko,5,6,10270,66,8114
Craig Tippins,5,6,38503,66,34421
James Rowland,5,6,15398,66,232541
Imran Soomro,5,6,830959,62,142137
Martin Cuttler,5,6,14518,61,397716
Anton Storer,5,6,118296,60,21810
Sander Driehuis,5,6,6365,57,184621
David Hill,5,6,246403,57,520243
Grange Hill,5,6,239871,55,1097687
Rene Stoeckigt,5,6,5330,54,397952
Punithan Shanmugam,5,6,3986301,53,424432
John Hamilton-Ward,5,6,73311,53,684459
Karl Morten Kringen,5,6,401247,52,160752
Jamie Gamble,5,6,7148600,49,111025
Colin B,5,6,38877,48,29715
Brian Walsh,5,6,6134744,48,708864
Ian Seymour,5,6,1389808,42,513042
Steven Coupe,5,6,1060,39,1207608
Danny Schiffelers,5,7,52,76,31293
Nick Fincher,5,7,56705,70,10313
Rehan Amin,5,7,286905,67,312879
Abeselom Habtemariam,5,7,11169,66,373649
Will Straw,5,7,2390348,65,302093
Cian McKenna,5,7,923109,64,337300
Nick Kehoe,5,7,523418,61,37750
Mrinal Mohit,5,7,3730,60,135134
Paul Goodwin,5,7,149768,58,32761
Joseph Fitzgerald,5,7,525524,57,177717
Will Timbers,5,7,12887,56,897231
Graham Martindale,5,7,2122092,55,276315
Matt Lawrence,5,7,66987,55,462322
Jérôme COEFFE,5,7,9098,53,72697
Matthew Goh,5,7,7555,52,628786
Eugene Tan,5,7,778842,49,611061
Lukas Dirzys,5,7,1202,46,973306
John STEENSON,5,7,536962,45,819328
James Beacock,5,7,472082,45,3062694
Todd Hellmann,5,7,1008212,31,2751099
Daniel Schallmayer,5,8,561764,78,14441
Budhi Nugraha,5,8,149603,75,17168
Rob Gough,5,8,18750,72,17091
Lee Donaldson,5,8,1950,67,12362
Jon Berry,5,8,415582,67,184621
Paddy Smith,5,8,2766,67,334974
S.E.A. siders,5,8,1334877,65,311773
Lisa Gray,5,8,2258764,63,492354
Wayne Dean,5,8,6569,61,47618
Chris Wain,5,8,262212,61,140592
Evan Pryce,5,8,545872,61,178049
William Crichton-Stuart,5,8,2600116,61,782033
Rishaad Khan,5,8,1828534,54,558697
Stephen Rowlinson,5,8,181148,49,324163
David Gourlay,5,8,134188,48,604528
James Gater,5,8,15901,42,687981
Amr Yassin,5,8,11357,40,429489
Ian Northover,5,8,14432,37,2878867
Taffy M,5,8,8575642,32,4516577
Tom Hutchison,5,8,7139999,31,3832580
Stephen Burge,5,9,3378631,75,31902
Thomas Morris,5,9,116551,70,4184
Jason Choi,5,9,515262,69,74819
Mark Storrar,5,9,84402,67,168996
J Fletcher,5,9,203089,66,149297
Valentin Dimitrov,5,9,5600,63,26555
John Robertson,5,9,60993,63,283542
Mike Blood,5,9,611588,58,688384
Ben Freeman,5,9,461055,58,1284100
Henri Annala,5,9,1094595,56,135967
Benny O Brien,5,9,2579242,54,128957
PHILIP CRAGG,5,9,1298577,54,708864
Polska Gola,5,9,125208,53,175296
Dave Allen,5,9,21380,51,308137
Nat Chapman,5,9,811390,51,545703
Shriniket Kale,5,9,212886,51,581942
Matthew Howe,5,9,433932,51,1252808
Don Corleone,5,9,768571,50,127091
Sam Price,5,9,5133,43,208116
Stephen Kearney,5,9,5343148,30,4112213
Sal .,5,10,57525,73,262441
Bilal Shaikh,5,10,46198,69,204095
Speedy .,5,10,2184,67,143785
