Name,League,Division,Team id,points,OR
Chang Siu,8,1,553344,82,69993
cameron craigie,8,1,295070,78,146392
tom nixon,8,1,4586519,74,369508
Emma Young,8,1,4791940,73,730899
Alex Buck,8,1,44145,71,524281
Thomas O Shaughnessy,8,1,1219507,65,458816
The Battler,8,1,80457,63,513042
Gregor Golab,8,1,965267,62,655263
Gareth Leese,8,1,1539343,61,2977936
Ian Evans,8,1,3033778,60,318026
Andy Gift,8,1,314609,57,1883250
Abosede Olanipekun,8,1,5462347,57,2854103
Kevin Pickett,8,1,729964,53,574305
Rickard Slättman,8,1,3730398,51,4836270
David Elcock,8,1,4642272,48,2997005
Paul Ryan,8,1,2815994,42,4336787
Jake Rutherford,8,1,1200849,39,3516384
Anuraj Bhosale,8,1,108440,38,4342489
Idan Ben-Zvi,8,1,4563176,34,4224093
Abbas Ardam,8,1,9813537,20,9354714
Suta Rahady,8,2,995216,75,1327734
Samuel Stradling,8,2,445278,74,297957
Football Chatbox,8,2,19833,72,588191
Jeff Carr,8,2,862190,71,2252134
Samuel Eres,8,2,383746,70,92285
Niko Nikolo,8,2,628660,70,548878
Thomas Anfindsen,8,2,2116209,70,1356551
Tanyawit Kongkij,8,2,25321,69,9748
Matt Ball,8,2,41872,66,216005
Tom Rowan,8,2,455619,63,404783
Kev_ Mwaura,8,2,6892177,57,336822
The Usual Suspect,8,2,162563,57,650992
Josh Smith,8,2,467636,50,999156
George Chatzelenis,8,2,133627,43,991532
Maddy Smith,8,2,373307,42,3247095
Ryan B,8,2,227394,40,6149441
Chris Callow,8,2,63961,39,2593398
Zaef Sikder,8,2,4086730,36,5815419
Romans Gulbis,8,2,2467771,35,4040093
Nemanja Jovanov,8,2,434981,28,4598711
nizzamudin ahmed,8,3,469808,82,351447
Edward Young,8,3,388954,80,152934
Hayden Hall,8,3,431751,75,260531
Ahmed Tariq,8,3,177208,70,54624
Michael Soares,8,3,635026,63,476939
Daniel Suski,8,3,539053,63,1094684
Rebecca Trembath,8,3,3913796,61,310587
Russell Balogh,8,3,707052,60,384025
Alastair Boyd Smith,8,3,1344871,59,481555
AnnRy Red,8,3,152475,57,300832
Amit Rajbhandari,8,3,34315,54,291266
wk tang,8,3,23706,51,504606
Craig Sawyer,8,3,877182,51,1737735
Wout Vanaenroyde,8,3,143193,50,275950
cecil wright,8,3,713440,48,1186985
Ahmad Fahim,8,3,401332,48,2303847
Neil Burden,8,3,1744115,48,2907845
Luke O'Neill,8,3,3127645,45,2027605
Mukovhe Randima,8,3,6965672,39,4826167
Turz O,8,3,4512799,28,6510148
Ben Tomes,8,4,8145,90,23460
Owen Brownston,8,4,4286986,68,42468
Obigun Obigun,8,4,5371062,64,425254
Elias Kaipainen,8,4,199230,64,684459
Makafui Djokoto,8,4,1024290,64,787466
Michael Check,8,4,2024815,63,300832
Tony Jackson,8,4,7636026,63,306588
Sumant Natkar,8,4,898493,61,546829
Carl Hillary,8,4,2139905,56,1043896
Halle MB,8,4,29694,55,831153
Lee Masson,8,4,376612,55,1600245
Rex Jude,8,4,720389,55,1739398
Chris Cooper,8,4,4519373,54,1237745
Yusuf Laher,8,4,152358,54,4497188
Myles Lattacher,8,4,2506167,50,2702555
Craig Massey,8,4,2230152,49,1526519
Kamal K.C.,8,4,6836645,48,2585122
Luke Hayward,8,4,882945,47,1660711
Jd Verney,8,4,3207377,37,3305746
Peter Jarvis,8,4,4833144,33,7313897
Roy Lee,8,5,5706,76,233922
Conor Joseph Byrne,8,5,2060820,75,240650
Siva Mohan,8,5,309034,72,280401
will driscoll,8,5,329550,71,89970
Paul Howes,8,5,354166,64,928604
Not Mhoo,8,5,7591507,61,429489
Kishor Maharjan,8,5,3639623,60,270118
Jonathan Laredo,8,5,37237,60,588504
Helen Littlewood,8,5,1827690,59,317087
ricardo kanhai,8,5,7386108,59,387614
Paul White,8,5,319006,56,742382
mark haley,8,5,1659022,55,274227
Stephanos Koutentis,8,5,47792,52,1205592
Mohamad Khattab,8,5,2030420,51,623084
Adarsh Mahadevan,8,5,11430,51,858890
Tim Matthews,8,5,12411,51,1486628
Dobrin Natov,8,5,3201630,49,5312651
MD. SAIFUL ISLAM,8,5,789383,45,3519570
Aleem Gulamhusein,8,5,3527327,37,4624375
Jawad Baig,8,5,3032736,24,3872474
David Papworth,8,6,2238047,74,56100
Chinedu Onwurah,8,6,1944888,68,1367701
Joe Nottingham,8,6,847754,64,36409
Andrew Taylor,8,6,953827,64,425566
david happs,8,6,545644,63,62591
Robbie Whelan,8,6,3638568,61,590788
Kwodwo Asante,8,6,5330814,60,1524469
Damien Masterson,8,6,525735,59,615708
Schlupptown Dunk,8,6,23180,58,399934
Tijani Ayinla,8,6,7991788,58,2649165
Nick Mc Keever,8,6,7024037,57,405300
Hugo Stam,8,6,287686,55,131442
Neil Kemp,8,6,131513,55,142974
Simon Rush,8,6,560996,55,406662
Ian Patten,8,6,778416,54,1033444
Lee Paul,8,6,3168848,52,1426997
Derek champion,8,6,977848,52,3491991
Jonathan Reddy,8,6,7636114,51,2490157
Ciaran Cannon,8,6,5630667,47,4237169
waseem abu leil,8,6,566817,23,6999135
Adam Gosling,8,7,153080,73,98417
Hritwik raj Agarwal,8,7,1043602,67,1093934
Luke Riley,8,7,2711271,66,50073
Yang Yang,8,7,1792733,64,890137
Giles Foister,8,7,2107502,63,439742
Nguyễn Xuân Nam,8,7,252402,62,381279
Oliver Reid,8,7,841986,61,219988
liam murphy,8,7,122154,59,625466
Søren Christian Mikkelsen,8,7,383136,58,131957
Mark Billy Svensson,8,7,1379443,58,833520
Emil Vo,8,7,1082148,57,343753
Peter Mills,8,7,1028,57,1014632
derek honey,8,7,943470,57,1160843
Ross Cordingley,8,7,5500709,54,112319
WJ Yang,8,7,283234,54,2534032
Pyry Siivonen,8,7,983241,54,2877150
Philippe Grand,8,7,2018636,48,2176697
Wasiq Ahmed Tarar,8,7,457610,46,2906146
Dave Bennett,8,7,2000760,42,1773839
Dhaman Gill,8,7,2086096,27,8198904
Ian Roberts,8,8,407631,87,91094
satchi bodhita,8,8,702416,72,1241344
Sivanthi Adityan,8,8,1903484,66,198770
Jide O,8,8,5577378,66,783448
Rob Jewitt,8,8,888177,63,401281
Seelan Moodley,8,8,1203649,62,356661
Chukwudi Esemene,8,8,2989523,61,485470
James Allen,8,8,945444,60,249537
James H,8,8,49777,60,326945
He Cui,8,8,1833252,55,1443754
Sam Cook,8,8,14901,54,635460
Thomas Watkins,8,8,5530451,53,655894
Stephen Tiplady,8,8,6262784,51,520243
Kevin Scheepers,8,8,6178687,51,772426
Sidharthan Sakthivelu,8,8,264892,51,1220523
Luca Vaiani,8,8,888194,50,372717
Emre Kösemen,8,8,1574581,49,701745
Dominic Dowling,8,8,1965465,48,2738466
Hugo Mendonca,8,8,1329023,42,3741433
Kieran Regan,8,8,255587,33,7501981
Kash Alam,8,9,3022627,76,57417
Eve Dunmsore,8,9,2594637,72,340979
J Smith,8,9,330967,68,233475
Ewan Mitchell,8,9,4032243,66,415901
Lee Hall,8,9,1016857,66,437150
Justin Fainter,8,9,53167,66,586089
Erwan Hassan,8,9,188577,64,192491
Samuli Välimäki,8,9,257043,64,1449450
Martin Dodgson,8,9,853785,64,1496926
Vasilis Palousis,8,9,4546038,62,1613220
Jared Phelan,8,9,223868,60,3304851
Michael Wong,8,9,817074,55,2843920
Bernhard Hagen,8,9,1293031,54,1416735
Matus Caplovic,8,9,520601,50,2059614
Alexander Østervold,8,9,510524,49,1383312
Ahmad Fuad,8,9,1293688,47,4968733
Jonathan Swanzy,8,9,2472665,45,2447848
Sean Murphy,8,9,47700,45,4118447
Tom Flannery,8,9,3555629,45,5900017
Boldbayar Khurmyet,8,9,9707942,12,10015310
Matteo De Sanctis,8,10,63650,73,5334
Rich Hill,8,10,35829,72,224717
