Name,League,Division,Team id,points,OR
Alex Tyc,1,1,69718,69,105944
Alex Merchant,1,1,593532,66,8392
Ahmed Shahin,1,1,7497,66,70089
Adam Ferguson,1,1,577273,65,135444
James Wong-You,1,1,38054,64,30624
sameer sohail,1,1,1222335,64,35335
Liam McAllister,1,1,1546929,64,47618
Tim Hill,1,1,4131447,64,163593
Simon MacNair,1,1,198971,63,17761
Dave Dolman,1,1,1441046,59,237628
Michael Giovanni,1,1,205,57,35878
Darren Curtis,1,1,2634457,57,193490
Cak Juris,1,1,749244,57,334543
Stig Hermansen,1,1,23881,56,95122
Ignazio La Rosa,1,1,38351,53,106882
Qian Hao Ong,1,1,152245,46,272157
Carl Price,1,1,901,46,478161
David Stanton,1,1,13603,42,619438
Martin Stubbs,1,1,696127,38,1479080
Sakari Uutela,1,1,4213,33,561658
Michał Dąbrowski,2,1,221072,70,80643
Anoop K,2,1,429719,67,2940
Michael Scott,2,1,909,66,20285
Ville Tuominen,2,1,21246,63,27105
Chris Bristow,2,1,2487,61,240921
Chris Madeley,2,1,14384,59,25919
Stewart Robinson,2,1,1989,58,8943
David Gladstone,2,1,72865,57,29788
Khalid Ameen,2,1,432,57,125681
Greg Wilcox,2,1,5512,57,126405
David Bowman,2,1,16012,56,21104
Gareth Mills,2,1,127323,56,131663
Harry Vernon,2,1,56200,54,7141
Louie Kebakovski,2,1,630924,54,87316
Mark Reynolds,2,1,13262,53,174700
Bob Woby,2,1,4823757,53,198653
Billy Ketsu,2,1,954168,52,6981
Milan Mihajlovic,2,1,678795,52,89584
Ryan Gallagher,2,1,33508,47,53301
Mark Craig,2,1,5869454,38,506686
Craig Johnson,2,2,160250,82,19497
Neil Methold,2,2,69415,75,25648
Aviinesh Kumar,2,2,29318,69,17376
John McHugh,2,2,10904,69,102312
Richard Clarke,2,2,11368,64,193490
The Magician,2,2,25562,63,5045
Paul Machin,2,2,2657606,60,391312
Aarush Mittal,2,2,1451641,58,114321
Grant Barclay,2,2,321222,54,328925
Jorge Polo Carraminana,2,2,341993,54,359447
Owen Walker (Zan K),2,2,666563,54,876353
Phil Roper,2,2,81581,51,37067
Oli O'Mahony,2,2,20593,51,111667
Al Black,2,2,4110977,51,1130331
Paul Norris,2,2,5527,50,98745
RoyArve Garvik,2,2,2251778,50,190270
Nathan C,2,2,4647,50,452948
David Meechan,2,2,254600,50,2296127
Amit Tailor,2,2,2035,39,342829
Derek Moore,2,2,201689,36,1839022
EasyE ®️,3,1,93018,70,121785
Terje Balteskard,3,1,17476,69,4460
Peter Tind,3,1,185990,69,30834
