home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Liverpool,Everton,2.4,0.4, W-W-W-W, D-W-W-L, 4 - 0 - 0, 2 - 1 - 1
West Ham,Crystal Palace,1.4,1.4, L-W-L-L, D-W-D-D, 1 - 0 - 3, 1 - 3 - 0
Wolves,Leeds,1.5,1.5, L-L-L-L, L-D-L-W, 0 - 0 - 4, 1 - 1 - 2
Burnley,Nottingham,0.7,2.3, L-L-W-L, L-L-D-W, 1 - 0 - 3, 1 - 1 - 2
Brighton & Hove Albion,Tottenham,1.7,1.5, L-W-L-D, W-L-W-W, 1 - 1 - 2, 3 - 0 - 1
Manchester United,Chelsea,0.9,2.2, L-W-D-L, D-W-W-D, 1 - 1 - 2, 2 - 2 - 0
Fulham,Brentford,1.4,1.5, W-L-D-D, D-L-W-L, 1 - 2 - 1, 1 - 1 - 2
Sunderland,Aston Villa,1.6,1.5, D-W-L-W, D-L-L-D, 2 - 1 - 1, 0 - 2 - 2
Bournemouth,Newcastle,1.3,1.7, W-W-W-L, W-D-L-D, 3 - 0 - 1, 1 - 2 - 1
Arsenal,Manchester City,1.4,1.5, W-L-W-W, W-L-L-W, 3 - 0 - 1, 2 - 0 - 2
