home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Nottingham,Chelsea,1.4,1.8, L-L-D-L-L-D, W-L-L-D-W-W, 1 - 2 - 4, 3 - 2 - 2
Crystal Palace,Bournemouth,1.0,2.0, L-W-W-D-W-D, W-D-D-W-W-W, 3 - 3 - 1, 4 - 2 - 1
Manchester City,Everton,2.4,0.6, W-W-D-W-L-L, W-D-L-D-W-W, 4 - 1 - 2, 3 - 2 - 2
Burnley,Leeds,1.2,1.7, L-L-D-L-L-W, L-D-W-L-D-L, 1 - 1 - 5, 2 - 2 - 3
Brighton & Hove Albion,Newcastle,1.4,1.6, D-W-D-L-W-L, W-L-D-W-D-L, 2 - 3 - 2, 2 - 3 - 2
Sunderland,Wolves,2.1,0.8, L-W-D-D-W-L, D-D-L-L-L-L, 3 - 2 - 2, 0 - 2 - 5
Fulham,Arsenal,0.5,2.2, L-L-W-W-L-D, W-W-D-W-L-W, 2 - 2 - 3, 5 - 1 - 1
Tottenham,Aston Villa,1.5,1.6, W-D-D-W-L-W, W-W-D-D-L-L, 4 - 2 - 1, 2 - 3 - 2
Liverpool,Manchester United,2.4,0.6, L-L-W-W-W-W, W-L-W-L-W-D, 5 - 0 - 2, 3 - 1 - 3
Liverpool,Manchester United,2.4,0.6, L-L-W-W-W-W, W-L-W-L-W-D, 5 - 0 - 2, 3 - 1 - 3
West Ham,Brentford,1.4,1.5, L-D-L-L-W-L, L-W-L-D-L-W, 1 - 1 - 5, 2 - 1 - 4
