home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Arsenal,Nottingham,1.7,1.1, L-W-W, L-D-W, 2 - 0 - 1, 1 - 1 - 1
Everton,Aston Villa,0.8,2.0, W-W-L, L-L-D, 2 - 0 - 1, 0 - 1 - 2
Bournemouth,Brighton & Hove Albion,1.6,1.6, W-W-L, W-L-D, 2 - 0 - 1, 1 - 1 - 1
Fulham,Leeds,1.7,1.3, L-D-D, D-L-W, 0 - 2 - 1, 1 - 1 - 1
Crystal Palace,Sunderland,0.8,2.1, W-D-D, W-L-W, 1 - 2 - 0, 2 - 0 - 1
Newcastle,Wolves,1.7,1.4, D-L-D, L-L-L, 0 - 2 - 1, 0 - 0 - 3
Newcastle,Wolves,1.7,1.4, D-L-D, L-L-L, 0 - 2 - 1, 0 - 0 - 3
West Ham,Tottenham,1.5,1.5, W-L-L, L-W-W, 1 - 0 - 2, 2 - 0 - 1
Brentford,Chelsea,0.9,2.1, L-W-L, W-W-D, 1 - 0 - 2, 2 - 1 - 0
Burnley,Liverpool,0.3,2.8, L-W-L, W-W-W, 1 - 0 - 2, 3 - 0 - 0
