home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Chelsea,Fulham,2.2,0.8, W-D, D-D, 1 - 1 - 0, 0 - 2 - 0
Tottenham,Bournemouth,1.1,2.2, W-W, W-L, 2 - 0 - 0, 1 - 0 - 1
Sunderland,Brentford,2.0,1.0, L-W, W-L, 1 - 0 - 1, 1 - 0 - 1
Manchester United,Burnley,1.8,1.2, D-L, W-L, 0 - 1 - 1, 1 - 0 - 1
Wolves,Everton,1.5,1.4, L-L, W-L, 0 - 0 - 2, 1 - 0 - 1
Leeds,Newcastle,0.7,2.4, L-W, L-D, 1 - 0 - 1, 0 - 1 - 1
Brighton & Hove Albion,Manchester City,1.2,1.9, L-D, L-W, 0 - 1 - 1, 1 - 0 - 1
Nottingham,West Ham,1.4,1.4, D-W, L-L, 1 - 1 - 0, 0 - 0 - 2
Liverpool,Arsenal,1.6,1.2, W-W, W-W, 2 - 0 - 0, 2 - 0 - 0
Aston Villa,Crystal Palace,2.1,0.9, L-D, D-D, 0 - 1 - 1, 0 - 2 - 0
