home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Aston Villa,Newcastle,1.6,1.6,,, 0 - 0 - 0, 0 - 0 - 0
Tottenham,Burnley,1.9,1.3,,, 0 - 0 - 0, 0 - 0 - 0
Brighton & Hove Albion,Fulham,1.7,1.3,,, 0 - 0 - 0, 0 - 0 - 0
Sunderland,West Ham,1.8,1.1,,, 0 - 0 - 0, 0 - 0 - 0
Wolves,Manchester City,0.9,2.2,,, 0 - 0 - 0, 0 - 0 - 0
Nottingham,Brentford,1.4,1.5,,, 0 - 0 - 0, 0 - 0 - 0
Chelsea,Crystal Palace,1.8,1.2,,, 0 - 0 - 0, 0 - 0 - 0
Manchester United,Arsenal,0.8,2.0,,, 0 - 0 - 0, 0 - 0 - 0
Leeds,Everton,1.5,1.4,,, 0 - 0 - 0, 0 - 0 - 0
