home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
West Ham,Chelsea,0.8,2.2, L, D, 0 - 0 - 1, 0 - 1 - 0
Manchester City,Tottenham,2.3,0.9, W, W, 1 - 0 - 0, 1 - 0 - 0
Brentford,Aston Villa,1.1,2.0, L, D, 0 - 0 - 1, 0 - 1 - 0
Burnley,Sunderland,0.7,2.4, L, W, 0 - 0 - 1, 1 - 0 - 0
Bournemouth,Wolves,2.0,1.0, L, L, 0 - 0 - 1, 0 - 0 - 1
Arsenal,Leeds,2.3,0.6, W, W, 1 - 0 - 0, 1 - 0 - 0
Everton,Brighton & Hove Albion,0.8,2.0, L, D, 0 - 0 - 1, 0 - 1 - 0
Crystal Palace,Nottingham,1.4,1.5, D, W, 0 - 1 - 0, 1 - 0 - 0
Fulham,Manchester United,1.4,1.4, D, L, 0 - 1 - 0, 0 - 0 - 1
Newcastle,Liverpool,1.2,1.8, D, W, 0 - 1 - 0, 1 - 0 - 0
