home_team,away_team,home_score,away_score,home_form,away_form,home_perfomance,away_perfomance
Brentford,Manchester United,1.5,1.6, L-D-L-W-L, W-L-W-D-L, 1 - 1 - 3, 2 - 1 - 2
Leeds,Bournemouth,1.0,2.0, W-L-D-L-W, D-W-W-W-L, 2 - 1 - 2, 3 - 1 - 1
Chelsea,Brighton & Hove Albion,1.7,1.4, L-D-W-W-D, D-L-W-L-D, 2 - 2 - 1, 1 - 2 - 2
Manchester City,Burnley,2.7,0.4, D-W-L-L-W, D-L-L-W-L, 2 - 1 - 2, 1 - 1 - 3
Crystal Palace,Liverpool,0.5,2.5, W-D-W-D-D, W-W-W-W-W, 2 - 3 - 0, 5 - 0 - 0
Nottingham,Sunderland,1.4,1.6, D-L-L-D-W, D-D-W-L-W, 1 - 2 - 2, 2 - 2 - 1
Tottenham,Wolves,1.5,1.5, D-W-L-W-W, L-L-L-L-L, 3 - 1 - 1, 0 - 0 - 5
Aston Villa,Fulham,2.0,0.9, D-D-L-L-D, W-W-L-D-D, 0 - 3 - 2, 2 - 2 - 1
Newcastle,Arsenal,1.2,1.6, D-W-D-L-D, D-W-L-W-W, 1 - 3 - 1, 3 - 1 - 1
Everton,West Ham,1.4,1.4, L-D-W-W-L, L-L-W-L-L, 2 - 1 - 2, 1 - 0 - 4
