,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
18,2123263,2496082,19,,"[(427, 302), (217, 108), (365, 143)]",23,936,"(352, 427, 220, 5, 217, 19, 308, 365, 13, 355, 119, 524, 302, 108, 143)",355,308,0
19,2123263,2496082,20,,"[(427, 108), (217, 143), (365, 355)]",64,1000,"(352, 302, 220, 5, 427, 217, 19, 308, 365, 13, 119, 524, 108, 143, 355)",355,308,0
20,2123263,2496082,21,,"[(427, 108)]",47,1047,"(524, 302, 220, 5, 217, 427, 365, 19, 13, 355, 119, 352, 108, 143, 308)",355,365,0
21,2123263,2496082,22,,"[(427, 108)]",47,1094,"(524, 302, 220, 5, 217, 427, 365, 19, 13, 355, 119, 352, 108, 143, 308)",355,365,0
22,2123263,2496082,23,,"[(427, 108)]",30,1124,"(524, 302, 220, 5, 217, 427, 365, 19, 13, 355, 119, 352, 108, 143, 308)",355,365,0
23,2123263,2496082,24,,"[(427, 302), (143, 108)]",69,1193,"(524, 427, 220, 5, 217, 365, 19, 143, 13, 355, 119, 352, 302, 108, 308)",355,365,0
24,2123263,2496082,25,,"[(427, 217), (143, 108)]",76,1269,"(524, 302, 220, 5, 427, 365, 19, 143, 13, 355, 119, 352, 217, 108, 308)",355,365,0
25,2123263,2496082,26,,"[(427, 302)]",39,1308,"(524, 427, 220, 5, 217, 365, 19, 108, 13, 355, 119, 352, 302, 143, 308)",355,365,0
26,2123263,2496082,27,,"[(427, 217)]",75,1383,"(524, 302, 220, 5, 427, 365, 19, 108, 13, 355, 119, 352, 217, 143, 308)",355,365,0
27,2123263,2496082,28,,"[(308, 217)]",19,1402,"(524, 427, 220, 5, 308, 365, 19, 700, 13, 355, 119, 352, 108, 302, 217)",355,365,0
28,2123263,2496082,29,,"[(108, 427)]",6,1408,"(524, 220, 5, 217, 108, 365, 19, 700, 13, 355, 119, 352, 427, 302, 308)",355,365,0
29,2123263,2496082,30,,"[(108, 217), (308, 700)]",30,1438,"(524, 427, 220, 5, 108, 365, 19, 308, 13, 355, 119, 352, 217, 302, 700)",355,365,0
30,2123263,2496082,31,,"[(220, 19), (108, 700), (242, 355)]",42,1480,"(524, 427, 302, 5, 220, 242, 365, 308, 108, 13, 119, 352, 19, 700, 355)",355,365,5
31,2123263,2496082,32,,"[(220, 302)]",59,1539,"(524, 427, 220, 5, 365, 19, 308, 700, 13, 355, 119, 352, 302, 108, 242)",355,365,5
32,2123263,2496082,33,,"[(352, 524), (220, 365)]",53,1592,"(352, 427, 302, 5, 220, 19, 308, 700, 13, 355, 119, 524, 365, 108, 242)",355,365,5
33,2123263,2496082,34,,"[(365, 13), (108, 355)]",71,1663,"(352, 427, 302, 220, 5, 242, 19, 308, 365, 108, 119, 289, 13, 355, 700)",355,242,7
34,2123263,2496082,35,,"[(365, 302), (108, 242)]",33,1696,"(352, 427, 220, 5, 365, 108, 19, 308, 13, 355, 119, 289, 302, 242, 700)",355,242,7
35,2123263,2496082,36,,"[(365, 427), (108, 302)]",94,1790,"(352, 220, 5, 242, 365, 108, 19, 308, 13, 355, 119, 289, 427, 302, 700)",355,242,7
36,2123263,2496082,37,3xc,"[(220, 302), (108, 13)]",130,1920,"(352, 616, 220, 5, 412, 19, 308, 700, 108, 355, 119, 289, 302, 13, 242)",355,700,3
37,2123263,2496082,38,bboost,"[(439, 302), (468, 412)]",42,1954,"(113, 616, 439, 5, 19, 308, 108, 700, 468, 355, 119, 289, 302, 412, 242)",355,700,11
38,2123267,4307475,1,,[],76,76,"(148, 407, 5, 131, 143, 308, 19, 372, 258, 415, 355, 263, 402, 103, 51)",355,19,0
39,2123267,4307475,2,,[],48,124,"(148, 103, 5, 131, 143, 308, 19, 372, 258, 415, 355, 263, 402, 407, 51)",355,19,0
40,2123267,4307475,3,,"[(263, 148), (415, 258)]",51,171,"(263, 131, 103, 203, 143, 108, 308, 19, 372, 355, 415, 148, 258, 407, 220)",19,355,5
41,2123267,4307475,4,,[],59,230,"(263, 103, 203, 131, 143, 308, 19, 372, 108, 415, 355, 148, 258, 407, 220)",19,355,5
