player names,first card,anytime card,red_card,contest
Piero Hincapie,11/1,14/5,33/1,Arsenal v Nottingham Forest
Martin Zubimendi,11/1,14/5,33/1,Arsenal v Nottingham Forest
Myles Lewis-Skelly,11/1,14/5,33/1,Arsenal v Nottingham Forest
Riccardo Calafiori,12/1,10/3,33/1,Arsenal v Nottingham Forest
Mikel Merino,12/1,18/5,40/1,Arsenal v Nottingham Forest
Declan Rice,12/1,18/5,40/1,Arsenal v Nottingham Forest
Jurrien Timber,12/1,18/5,40/1,Arsenal v Nottingham Forest
Viktor Gyokeres,16/1,24/5,40/1,Arsenal v Nottingham Forest
Christian Norgaard,9/1,23/10,28/1,Arsenal v Nottingham Forest
Bukayo Saka,16/1,24/5,40/1,Arsenal v Nottingham Forest
Gabriel Magalhaes,14/1,17/4,40/1,Arsenal v Nottingham Forest
Cristhian Mosquera,16/1,24/5,40/1,Arsenal v Nottingham Forest
Leandro Trossard,18/1,5/1,50/1,Arsenal v Nottingham Forest
Noni Madueke,20/1,6/1,50/1,Arsenal v Nottingham Forest
Gabriel Martinelli,20/1,6/1,50/1,Arsenal v Nottingham Forest
William Saliba,16/1,24/5,40/1,Arsenal v Nottingham Forest
Martin Odegaard,20/1,6/1,50/1,Arsenal v Nottingham Forest
Eberechi Eze,22/1,7/1,50/1,Arsenal v Nottingham Forest
Ethan Nwaneri,28/1,8/1,66/1,Arsenal v Nottingham Forest
David Raya,22/1,7/1,50/1,Arsenal v Nottingham Forest
Ben White,14/1,15/4,40/1,Arsenal v Nottingham Forest
Kepa Arrizabalaga,28/1,8/1,66/1,Arsenal v Nottingham Forest
Morgan Gibbs-White,8/1,19/10,28/1,Arsenal v Nottingham Forest
Douglas Luiz,17/2,2/1,28/1,Arsenal v Nottingham Forest
Ryan Yates,9/1,11/5,28/1,Arsenal v Nottingham Forest
Ibrahim Sangare,9/1,11/5,28/1,Arsenal v Nottingham Forest
Elliot Anderson,10/1,13/5,33/1,Arsenal v Nottingham Forest
