player names,first card,anytime card,red_card,contest
Morgan Rogers,10/1,12/5,33/1,Aston Villa v Arsenal
Boubacar Kamara,10/1,12/5,33/1,Aston Villa v Arsenal
Lamare Bogarde,11/1,5/2,33/1,Aston Villa v Arsenal
Amadou Onana,11/1,13/5,33/1,Aston Villa v Arsenal
Matty Cash,11/1,13/5,33/1,Aston Villa v Arsenal
Ian Maatsen,11/1,13/5,33/1,Aston Villa v Arsenal
John McGinn,12/1,29/10,33/1,Aston Villa v Arsenal
Youri Tielemans,12/1,3/1,33/1,Aston Villa v Arsenal
Lucas Digne,12/1,3/1,33/1,Aston Villa v Arsenal
Pau Torres,14/1,15/4,40/1,Aston Villa v Arsenal
Ezri Konsa,14/1,15/4,40/1,Aston Villa v Arsenal
Emiliano Buendia,16/1,17/4,40/1,Aston Villa v Arsenal
Ollie Watkins,16/1,23/5,40/1,Aston Villa v Arsenal
Donyell Malen,18/1,5/1,50/1,Aston Villa v Arsenal
Evann Guessand,18/1,5/1,50/1,Aston Villa v Arsenal
Emiliano Martinez,18/1,5/1,50/1,Aston Villa v Arsenal
Jadon Sancho,18/1,5/1,50/1,Aston Villa v Arsenal
Marco Bizot,22/1,6/1,50/1,Aston Villa v Arsenal
Mikel Merino,12/1,14/5,33/1,Aston Villa v Arsenal
Christian Norgaard,9/1,21/10,28/1,Aston Villa v Arsenal
Martin Zubimendi,9/1,21/10,28/1,Aston Villa v Arsenal
Piero Hincapie,9/1,21/10,28/1,Aston Villa v Arsenal
Myles Lewis-Skelly,9/1,21/10,28/1,Aston Villa v Arsenal
Riccardo Calafiori,9/1,11/5,28/1,Aston Villa v Arsenal
Declan Rice,11/1,12/5,33/1,Aston Villa v Arsenal
Jurrien Timber,12/1,29/10,33/1,Aston Villa v Arsenal
Bukayo Saka,14/1,18/5,40/1,Aston Villa v Arsenal
Cristhian Mosquera,14/1,18/5,40/1,Aston Villa v Arsenal
Viktor Gyokeres,16/1,4/1,40/1,Aston Villa v Arsenal
William Saliba,16/1,4/1,40/1,Aston Villa v Arsenal
Leandro Trossard,16/1,17/4,40/1,Aston Villa v Arsenal
Gabriel Martinelli,18/1,11/2,50/1,Aston Villa v Arsenal
Martin Odegaard,18/1,5/1,50/1,Aston Villa v Arsenal
Ethan Nwaneri,18/1,11/2,50/1,Aston Villa v Arsenal
Eberechi Eze,22/1,13/2,50/1,Aston Villa v Arsenal
David Raya,20/1,6/1,50/1,Aston Villa v Arsenal
Noni Madueke,18/1,11/2,50/1,Aston Villa v Arsenal
Marcos Senesi,9/1,15/8,25/1,Bournemouth v Chelsea
Alex Jimenez,10/1,21/10,28/1,Bournemouth v Chelsea
Adam Smith,11/1,9/4,28/1,Bournemouth v Chelsea
Alex Scott,12/1,13/5,33/1,Bournemouth v Chelsea
Justin Kluivert,12/1,29/10,33/1,Bournemouth v Chelsea
Amine Adli,12/1,29/10,33/1,Bournemouth v Chelsea
Bafode Diakite,12/1,29/10,33/1,Bournemouth v Chelsea
Veljko Milosavljevic,12/1,29/10,33/1,Bournemouth v Chelsea
Antoine Semenyo,14/1,16/5,33/1,Bournemouth v Chelsea
David Brooks,14/1,17/5,40/1,Bournemouth v Chelsea
Adrien Truffert,16/1,17/4,40/1,Bournemouth v Chelsea
Evanilson,18/1,23/5,40/1,Bournemouth v Chelsea
Enes Unal,18/1,23/5,40/1,Bournemouth v Chelsea
Marcus Tavernier,18/1,23/5,40/1,Bournemouth v Chelsea
Eli Junior Kroupi,18/1,5/1,50/1,Bournemouth v Chelsea
Djordje Petrovic,25/1,13/2,50/1,Bournemouth v Chelsea
Julio Soler,14/1,18/5,40/1,Bournemouth v Chelsea
Liam Delap,9/1,9/5,25/1,Bournemouth v Chelsea
Wesley Fofana,10/1,19/10,28/1,Bournemouth v Chelsea
Enzo Fernandez,10/1,21/10,28/1,Bournemouth v Chelsea
Marc Cucurella,11/1,23/10,28/1,Bournemouth v Chelsea
Estevao,12/1,14/5,33/1,Bournemouth v Chelsea
Joao Pedro,12/1,14/5,33/1,Bournemouth v Chelsea
Andrey Santos,12/1,5/2,33/1,Bournemouth v Chelsea
Trevoh Chalobah,12/1,14/5,33/1,Bournemouth v Chelsea
Tosin Adarabioyo,12/1,14/5,33/1,Bournemouth v Chelsea
Malo Gusto,14/1,16/5,33/1,Bournemouth v Chelsea
Jamie Gittens,14/1,17/5,40/1,Bournemouth v Chelsea
Jorrel Hato,14/1,3/1,33/1,Bournemouth v Chelsea
Alejandro Garnacho,14/1,18/5,40/1,Bournemouth v Chelsea
Pedro Neto,14/1,10/3,40/1,Bournemouth v Chelsea
Reece James,14/1,18/5,40/1,Bournemouth v Chelsea
Benoit Badiashile,14/1,18/5,40/1,Bournemouth v Chelsea
Cole Palmer,16/1,4/1,40/1,Bournemouth v Chelsea
Josh Acheampong,16/1,4/1,40/1,Bournemouth v Chelsea
Robert Sanchez,16/1,4/1,40/1,Bournemouth v Chelsea
Marc Guiu,18/1,24/5,40/1,Bournemouth v Chelsea
James Garner,9/1,23/10,28/1,Everton v Nottingham Forest
Carlos Alcaraz,12/1,3/1,33/1,Everton v Nottingham Forest
James Tarkowski,12/1,3/1,33/1,Everton v Nottingham Forest
Jack Grealish,12/1,16/5,33/1,Everton v Nottingham Forest
Kiernan Dewsbury-Hall,12/1,16/5,33/1,Everton v Nottingham Forest
Nathan Patterson,14/1,18/5,40/1,Everton v Nottingham Forest
Adam Aznou,14/1,18/5,40/1,Everton v Nottingham Forest
Thierno Barry,16/1,9/2,40/1,Everton v Nottingham Forest
Tyler Dibling,16/1,9/2,40/1,Everton v Nottingham Forest
Jake O'Brien,16/1,9/2,40/1,Everton v Nottingham Forest
Vitaliy Mykolenko,16/1,9/2,40/1,Everton v Nottingham Forest
