player names,first card,anytime card,red_card,contest
Guido Rodriguez,17/2,21/10,28/1,West Ham v Nottingham Forest
Lucas Paqueta,9/1,9/4,28/1,West Ham v Nottingham Forest
Pablo Felipe,11/1,14/5,33/1,West Ham v Nottingham Forest
Tomas Soucek,11/1,14/5,33/1,West Ham v Nottingham Forest
Soungoutou Magassa,11/1,14/5,33/1,West Ham v Nottingham Forest
Mateus Fernandes,12/1,3/1,33/1,West Ham v Nottingham Forest
Valentin Castellanos,12/1,17/5,40/1,West Ham v Nottingham Forest
Crysencio Summerville,12/1,17/5,40/1,West Ham v Nottingham Forest
Konstantinos Mavropanos,12/1,17/5,40/1,West Ham v Nottingham Forest
Jean-Clair Todibo,12/1,17/5,40/1,West Ham v Nottingham Forest
Freddie Potts,14/1,15/4,40/1,West Ham v Nottingham Forest
Max Kilman,14/1,15/4,40/1,West Ham v Nottingham Forest
Oliver Scarles,14/1,4/1,40/1,West Ham v Nottingham Forest
Callum Wilson,18/1,5/1,50/1,West Ham v Nottingham Forest
Kyle Walker-Peters,18/1,5/1,50/1,West Ham v Nottingham Forest
Jarrod Bowen,22/1,7/1,50/1,West Ham v Nottingham Forest
Alphonse Areola,22/1,7/1,50/1,West Ham v Nottingham Forest
Nicolas Dominguez,17/2,21/10,28/1,West Ham v Nottingham Forest
Morgan Gibbs-White,11/1,14/5,33/1,West Ham v Nottingham Forest
Douglas Luiz,11/1,14/5,33/1,West Ham v Nottingham Forest
Elliot Anderson,11/1,14/5,33/1,West Ham v Nottingham Forest
Murillo,11/1,14/5,33/1,West Ham v Nottingham Forest
Igor Jesus,14/1,4/1,40/1,West Ham v Nottingham Forest
James McAtee,14/1,4/1,40/1,West Ham v Nottingham Forest
Nikola Milenkovic,14/1,4/1,40/1,West Ham v Nottingham Forest
Neco Williams,14/1,4/1,40/1,West Ham v Nottingham Forest
Oleksandr Zinchenko,16/1,23/5,40/1,West Ham v Nottingham Forest
Ola Aina,14/1,4/1,40/1,West Ham v Nottingham Forest
Dilane Bakwa,18/1,5/1,50/1,West Ham v Nottingham Forest
Omari Hutchinson,18/1,5/1,50/1,West Ham v Nottingham Forest
Taiwo Awoniyi,20/1,6/1,50/1,West Ham v Nottingham Forest
Dan Ndoye,18/1,5/1,50/1,West Ham v Nottingham Forest
Callum Hudson-Odoi,22/1,7/1,50/1,West Ham v Nottingham Forest
Matz Sels,22/1,7/1,50/1,West Ham v Nottingham Forest
Marcos Senesi,9/1,23/10,28/1,Bournemouth v Tottenham
Alex Jimenez,11/1,11/4,33/1,Bournemouth v Tottenham
Antoine Semenyo,12/1,7/2,40/1,Bournemouth v Tottenham
Amine Adli,12/1,7/2,40/1,Bournemouth v Tottenham
Alex Scott,12/1,3/1,33/1,Bournemouth v Tottenham
Lewis Cook,12/1,7/2,40/1,Bournemouth v Tottenham
Justin Kluivert,14/1,15/4,40/1,Bournemouth v Tottenham
Bafode Diakite,14/1,15/4,40/1,Bournemouth v Tottenham
David Brooks,14/1,17/4,40/1,Bournemouth v Tottenham
James Hill,14/1,17/4,40/1,Bournemouth v Tottenham
Enes Unal,16/1,24/5,40/1,Bournemouth v Tottenham
Marcus Tavernier,16/1,24/5,40/1,Bournemouth v Tottenham
Adrien Truffert,16/1,24/5,40/1,Bournemouth v Tottenham
Eli Junior Kroupi,20/1,6/1,50/1,Bournemouth v Tottenham
Evanilson,20/1,6/1,50/1,Bournemouth v Tottenham
Djordje Petrovic,25/1,15/2,50/1,Bournemouth v Tottenham
Rodrigo Bentancur,8/1,9/5,25/1,Bournemouth v Tottenham
Joao Palhinha,8/1,19/10,28/1,Bournemouth v Tottenham
Cristian Romero,8/1,19/10,28/1,Bournemouth v Tottenham
Micky van de Ven,11/1,14/5,33/1,Bournemouth v Tottenham
Kevin Danso,11/1,14/5,33/1,Bournemouth v Tottenham
Richarlison,12/1,17/5,40/1,Bournemouth v Tottenham
Xavi Simons,12/1,17/5,40/1,Bournemouth v Tottenham
Lucas Bergvall,12/1,3/1,33/1,Bournemouth v Tottenham
Ben Davies,14/1,15/4,40/1,Bournemouth v Tottenham
Djed Spence,14/1,15/4,40/1,Bournemouth v Tottenham
Archie Gray,16/1,17/4,40/1,Bournemouth v Tottenham
Pedro Porro,14/1,15/4,40/1,Bournemouth v Tottenham
Randal Kolo Muani,18/1,11/2,50/1,Bournemouth v Tottenham
Mathys Tel,18/1,5/1,50/1,Bournemouth v Tottenham
Wilson Odobert,22/1,13/2,50/1,Bournemouth v Tottenham
Guglielmo Vicario,22/1,13/2,50/1,Bournemouth v Tottenham
Yehor Yarmolyuk,11/1,3/1,33/1,Brentford v Sunderland
Jordan Henderson,12/1,17/5,40/1,Brentford v Sunderland
Aaron Hickey,12/1,15/4,40/1,Brentford v Sunderland
Michael Kayode,14/1,15/4,40/1,Brentford v Sunderland
Igor Thiago,14/1,4/1,40/1,Brentford v Sunderland
Kevin Schade,14/1,4/1,40/1,Brentford v Sunderland
Keane Lewis-Potter,14/1,4/1,40/1,Brentford v Sunderland
Kristoffer Ajer,14/1,4/1,40/1,Brentford v Sunderland
Mathias Jensen,14/1,9/2,40/1,Brentford v Sunderland
Nathan Collins,14/1,9/2,40/1,Brentford v Sunderland
Vitaly Janelt,14/1,9/2,40/1,Brentford v Sunderland
Sepp van den Berg,16/1,5/1,40/1,Brentford v Sunderland
Rico Henry,20/1,6/1,50/1,Brentford v Sunderland
Mikkel Damsgaard,22/1,7/1,50/1,Brentford v Sunderland
Caoimhin Kelleher,33/1,10/1,66/1,Brentford v Sunderland
Omar Alderete,9/1,23/10,28/1,Brentford v Sunderland
Granit Xhaka,10/1,5/2,33/1,Brentford v Sunderland
Nordi Mukiele,10/1,5/2,33/1,Brentford v Sunderland
Dennis Cirkin,10/1,13/5,33/1,Brentford v Sunderland
Trai Hume,10/1,11/4,33/1,Brentford v Sunderland
Enzo Le Fee,12/1,10/3,40/1,Brentford v Sunderland
Wilson Isidor,12/1,7/2,40/1,Brentford v Sunderland
Brian Brobbey,14/1,15/4,40/1,Brentford v Sunderland
Lutsharel Geertruida,16/1,24/5,40/1,Brentford v Sunderland
Eliezer Mayenda,20/1,13/2,50/1,Brentford v Sunderland
Simon Adingra,18/1,11/2,50/1,Brentford v Sunderland
Robin Roefs,20/1,13/2,50/1,Brentford v Sunderland
Will Hughes,17/2,2/1,28/1,Crystal Palace v Aston Villa
Yeremi Pino,11/1,11/4,33/1,Crystal Palace v Aston Villa
Marc Guehi,12/1,16/5,33/1,Crystal Palace v Aston Villa
Maxence Lacroix,12/1,16/5,33/1,Crystal Palace v Aston Villa
Adam Wharton,14/1,4/1,40/1,Crystal Palace v Aston Villa
Jaydee Canvot,12/1,17/5,40/1,Crystal Palace v Aston Villa
Nathaniel Clyne,14/1,4/1,40/1,Crystal Palace v Aston Villa
Tyrick Mitchell,14/1,4/1,40/1,Crystal Palace v Aston Villa
Justin Devenny,16/1,9/2,40/1,Crystal Palace v Aston Villa
Jean-Philippe Mateta,18/1,5/1,50/1,Crystal Palace v Aston Villa
Dean Henderson,22/1,7/1,50/1,Crystal Palace v Aston Villa
John McGinn,11/1,14/5,33/1,Crystal Palace v Aston Villa
Boubacar Kamara,10/1,12/5,33/1,Crystal Palace v Aston Villa
Morgan Rogers,12/1,3/1,33/1,Crystal Palace v Aston Villa
Matty Cash,12/1,3/1,33/1,Crystal Palace v Aston Villa
Ian Maatsen,12/1,18/5,40/1,Crystal Palace v Aston Villa
Ezri Konsa,16/1,17/4,40/1,Crystal Palace v Aston Villa
Emi Buendia,16/1,23/5,40/1,Crystal Palace v Aston Villa
Youri Tielemans,14/1,15/4,40/1,Crystal Palace v Aston Villa
Victor Lindelof,16/1,5/1,50/1,Crystal Palace v Aston Villa
Emiliano Martinez,16/1,5/1,50/1,Crystal Palace v Aston Villa
Ollie Watkins,20/1,6/1,50/1,Crystal Palace v Aston Villa
Beto,18/5,6/5,18/5,Everton v Wolves
Thierno Barry,15/4,5/4,15/4,Everton v Wolves
Tyler Dibling,9/1,10/3,9/1,Everton v Wolves
Jack Grealish,9/1,10/3,9/1,Everton v Wolves
Dwight McNeil,10/1,15/4,10/1,Everton v Wolves
Merlin Rohl,9/1,7/2,9/1,Everton v Wolves
Harrison Armstrong,10/1,15/4,10/1,Everton v Wolves
Michael Keane,18/1,7/1,18/1,Everton v Wolves
Jake O'Brien,20/1,17/2,20/1,Everton v Wolves
Tim Iroegbunam,20/1,17/2,20/1,Everton v Wolves
James Garner,20/1,17/2,20/1,Everton v Wolves
Adam Aznou,22/1,9/1,22/1,Everton v Wolves
James Tarkowski,22/1,10/1,22/1,Everton v Wolves
Reece Welch,28/1,12/1,28/1,Everton v Wolves
Elijah Campbell,28/1,12/1,28/1,Everton v Wolves
Nathan Patterson,28/1,14/1,28/1,Everton v Wolves
Vitaliy Mykolenko,33/1,16/1,33/1,Everton v Wolves
Jorgen Strand Larsen,7/1,12/5,7/1,Everton v Wolves
Hwang Hee-chan,9/1,16/5,9/1,Everton v Wolves
Tolu Arokodare,10/1,15/4,10/1,Everton v Wolves
Fernando Lopez,14/1,5/1,14/1,Everton v Wolves
Mateus Mane,14/1,11/2,14/1,Everton v Wolves
Tawanda Chirewa,14/1,11/2,14/1,Everton v Wolves
Jhon Arias,16/1,13/2,16/1,Everton v Wolves
Joao Gomes,25/1,10/1,25/1,Everton v Wolves
Ladislav Krejci,28/1,12/1,28/1,Everton v Wolves
Yerson Mosquera,28/1,14/1,28/1,Everton v Wolves
Ki-Jana Hoever,28/1,12/1,28/1,Everton v Wolves
Jackson Tchatchoua,33/1,14/1,33/1,Everton v Wolves
Matt Doherty,33/1,14/1,33/1,Everton v Wolves
David Moller Wolfe,33/1,14/1,33/1,Everton v Wolves
Santiago Bueno,40/1,20/1,40/1,Everton v Wolves
