player names,first card,anytime card,red_card,contest
Bruno Guimaraes,8/1,19/10,28/1,Man Utd v Newcastle
Joelinton,9/1,12/5,33/1,Man Utd v Newcastle
Anthony Gordon,9/1,21/10,28/1,Man Utd v Newcastle
Fabian Schar,11/1,14/5,33/1,Man Utd v Newcastle
Jamaal Lascelles,11/1,14/5,33/1,Man Utd v Newcastle
Sandro Tonali,12/1,3/1,33/1,Man Utd v Newcastle
Yoane Wissa,14/1,18/5,40/1,Man Utd v Newcastle
Jacob Ramsey,14/1,18/5,40/1,Man Utd v Newcastle
Lewis Hall,14/1,18/5,40/1,Man Utd v Newcastle
Lewis Miley,14/1,15/4,40/1,Man Utd v Newcastle
Malick Thiaw,14/1,4/1,40/1,Man Utd v Newcastle
Nick Woltemade,16/1,23/5,40/1,Man Utd v Newcastle
Joe Willock,16/1,23/5,40/1,Man Utd v Newcastle
Harvey Barnes,22/1,7/1,50/1,Man Utd v Newcastle
Aaron Ramsdale,28/1,15/2,50/1,Man Utd v Newcastle
Anthony Elanga,28/1,17/2,66/1,Man Utd v Newcastle
Jacob Murphy,20/1,6/1,50/1,Man Utd v Newcastle
No Player Carded (either team),20/1,19/10,28/1,Man Utd v Newcastle
Casemiro,8/1,11/5,28/1,Man Utd v Newcastle
Tyrell Malacia,9/1,13/5,33/1,Man Utd v Newcastle
Luke Shaw,10/1,3/1,33/1,Man Utd v Newcastle
Lisandro Martinez,12/1,3/1,33/1,Man Utd v Newcastle
Ayden Heaven,12/1,14/5,33/1,Man Utd v Newcastle
Manuel Ugarte,11/1,17/5,40/1,Man Utd v Newcastle
Diogo Dalot,12/1,10/3,40/1,Man Utd v Newcastle
Patrick Dorgu,12/1,15/4,40/1,Man Utd v Newcastle
Leny Yoro,14/1,17/4,40/1,Man Utd v Newcastle
Matheus Cunha,14/1,17/4,40/1,Man Utd v Newcastle
Mason Mount,14/1,23/5,40/1,Man Utd v Newcastle
Jack Fletcher,16/1,5/1,50/1,Man Utd v Newcastle
Benjamin Sesko,18/1,6/1,50/1,Man Utd v Newcastle
Joshua Zirkzee,20/1,9/1,66/1,Man Utd v Newcastle
Elliot Anderson,10/1,13/5,33/1,Nottingham Forest v Man City
Nicolas Dominguez,10/1,13/5,33/1,Nottingham Forest v Man City
Douglas Luiz,10/1,13/5,33/1,Nottingham Forest v Man City
Nikola Milenkovic,11/1,29/10,33/1,Nottingham Forest v Man City
Neco Williams,11/1,3/1,33/1,Nottingham Forest v Man City
Morato,11/1,3/1,33/1,Nottingham Forest v Man City
Morgan Gibbs-White,12/1,17/5,40/1,Nottingham Forest v Man City
Nicolo Savona,12/1,17/5,40/1,Nottingham Forest v Man City
Murillo,12/1,17/5,40/1,Nottingham Forest v Man City
Igor Jesus,16/1,19/4,40/1,Nottingham Forest v Man City
Omari Hutchinson,16/1,5/1,50/1,Nottingham Forest v Man City
James McAtee,18/1,11/2,50/1,Nottingham Forest v Man City
Arnaud Kalimuendo,18/1,6/1,50/1,Nottingham Forest v Man City
John,18/1,6/1,50/1,Nottingham Forest v Man City
Matz Sels,22/1,7/1,50/1,Nottingham Forest v Man City
Taiwo Awoniyi,25/1,8/1,66/1,Nottingham Forest v Man City
Callum Hudson-Odoi,28/1,9/1,66/1,Nottingham Forest v Man City
Bernardo Silva,9/1,5/2,33/1,Nottingham Forest v Man City
Nico Gonzalez,9/1,5/2,33/1,Nottingham Forest v Man City
Nico O'Reilly,12/1,15/4,40/1,Nottingham Forest v Man City
Matheus Nunes,12/1,15/4,40/1,Nottingham Forest v Man City
Savinho,14/1,4/1,40/1,Nottingham Forest v Man City
