player names,first card,anytime card,red_card,contest
Wesley Fofana,11/1,14/5,33/1,Chelsea v Everton
Enzo Fernandez,12/1,3/1,33/1,Chelsea v Everton
Marc Cucurella,12/1,16/5,33/1,Chelsea v Everton
Jorrel Hato,14/1,18/5,40/1,Chelsea v Everton
Tosin Adarabioyo,14/1,15/4,40/1,Chelsea v Everton
Estevao,14/1,15/4,40/1,Chelsea v Everton
Pedro Neto,14/1,15/4,40/1,Chelsea v Everton
Benoit Badiashile,14/1,15/4,40/1,Chelsea v Everton
Malo Gusto,14/1,15/4,40/1,Chelsea v Everton
Andrey Santos,16/1,17/4,40/1,Chelsea v Everton
Reece James,16/1,17/4,40/1,Chelsea v Everton
Trevoh Chalobah,16/1,17/4,40/1,Chelsea v Everton
Josh Acheampong,16/1,17/4,40/1,Chelsea v Everton
Cole Palmer,16/1,24/5,40/1,Chelsea v Everton
Marc Guiu,16/1,24/5,40/1,Chelsea v Everton
Joao Pedro,16/1,24/5,40/1,Chelsea v Everton
Alejandro Garnacho,16/1,24/5,40/1,Chelsea v Everton
Robert Sanchez,18/1,11/2,50/1,Chelsea v Everton
Jamie Gittens,20/1,6/1,50/1,Chelsea v Everton
Tim Iroegbunam,17/2,9/5,25/1,Chelsea v Everton
James Garner,9/1,21/10,28/1,Chelsea v Everton
Jack Grealish,10/1,23/10,28/1,Chelsea v Everton
Idrissa Gueye,10/1,23/10,28/1,Chelsea v Everton
Adam Aznou,11/1,5/2,33/1,Chelsea v Everton
Kiernan Dewsbury-Hall,11/1,11/4,33/1,Chelsea v Everton
Carlos Alcaraz,11/1,11/4,33/1,Chelsea v Everton
James Tarkowski,11/1,11/4,33/1,Chelsea v Everton
Nathan Patterson,11/1,11/4,33/1,Chelsea v Everton
Michael Keane,12/1,3/1,33/1,Chelsea v Everton
Jake O'Brien,12/1,3/1,33/1,Chelsea v Everton
Tyler Dibling,14/1,17/5,40/1,Chelsea v Everton
Vitaliy Mykolenko,14/1,17/5,40/1,Chelsea v Everton
Thierno Barry,14/1,15/4,40/1,Chelsea v Everton
Iliman Ndiaye,16/1,9/2,40/1,Chelsea v Everton
Jordan Pickford,16/1,9/2,40/1,Chelsea v Everton
Beto,18/1,5/1,50/1,Chelsea v Everton
Dwight McNeil,18/1,5/1,50/1,Chelsea v Everton
Ryan Gravenberch,11/1,29/10,33/1,Liverpool v Brighton
Alexis MacAllister,11/1,3/1,33/1,Liverpool v Brighton
Ibrahima Konate,12/1,17/5,40/1,Liverpool v Brighton
Joe Gomez,12/1,7/2,40/1,Liverpool v Brighton
Milos Kerkez,12/1,18/5,40/1,Liverpool v Brighton
Andrew Robertson,12/1,15/4,40/1,Liverpool v Brighton
Dominik Szoboszlai,14/1,4/1,40/1,Liverpool v Brighton
Virgil van Dijk,14/1,4/1,40/1,Liverpool v Brighton
Curtis Jones,14/1,23/5,40/1,Liverpool v Brighton
Florian Wirtz,16/1,5/1,50/1,Liverpool v Brighton
Alexander Isak,18/1,6/1,50/1,Liverpool v Brighton
Hugo Ekitike,18/1,6/1,50/1,Liverpool v Brighton
Federico Chiesa,22/1,15/2,50/1,Liverpool v Brighton
Mohamed Salah,25/1,8/1,66/1,Liverpool v Brighton
Alisson,33/1,10/1,66/1,Liverpool v Brighton
Carlos Baleba,15/2,15/8,25/1,Liverpool v Brighton
Mats Wieffer,10/1,13/5,33/1,Liverpool v Brighton
Jan Paul van Hecke,10/1,27/10,33/1,Liverpool v Brighton
James Milner,11/1,29/10,33/1,Liverpool v Brighton
Lewis Dunk,11/1,29/10,33/1,Liverpool v Brighton
Yankuba Minteh,11/1,29/10,33/1,Liverpool v Brighton
Diego Gomez,12/1,16/5,33/1,Liverpool v Brighton
Yasin Ayari,12/1,15/4,40/1,Liverpool v Brighton
Georginio Rutter,14/1,4/1,40/1,Liverpool v Brighton
Maxime De Cuyper,14/1,4/1,40/1,Liverpool v Brighton
Ferdi Kadioglu,16/1,24/5,40/1,Liverpool v Brighton
Danny Welbeck,18/1,11/2,50/1,Liverpool v Brighton
Bart Verbruggen,20/1,6/1,50/1,Liverpool v Brighton
Kaoru Mitoma,22/1,7/1,50/1,Liverpool v Brighton
Florentino Luis,10/1,13/5,33/1,Burnley v Fulham
Josh Cullen,10/1,11/4,33/1,Burnley v Fulham
Lesley Ugochukwu,10/1,14/5,33/1,Burnley v Fulham
Josh Laurent,14/1,4/1,40/1,Burnley v Fulham
Hjalmar Ekdal,14/1,4/1,40/1,Burnley v Fulham
Zian Flemming,14/1,17/4,40/1,Burnley v Fulham
Lyle Foster,14/1,9/2,40/1,Burnley v Fulham
Quilindschy Hartman,16/1,19/4,40/1,Burnley v Fulham
Jaidon Anthony,16/1,5/1,50/1,Burnley v Fulham
Loum Tchaouna,16/1,5/1,50/1,Burnley v Fulham
Marcus Edwards,18/1,11/2,50/1,Burnley v Fulham
Mike Tresor,18/1,11/2,50/1,Burnley v Fulham
Oliver Sonne,14/1,9/2,40/1,Burnley v Fulham
Maxime Esteve,18/1,11/2,50/1,Burnley v Fulham
Joe Worrall,14/1,4/1,40/1,Burnley v Fulham
Armando Broja,25/1,15/2,50/1,Burnley v Fulham
Jacob Bruun Larsen,25/1,15/2,50/1,Burnley v Fulham
Martin Dubravka,28/1,17/2,66/1,Burnley v Fulham
Sasa Lukic,8/1,21/10,28/1,Burnley v Fulham
Kenny Tete,12/1,17/5,40/1,Burnley v Fulham
Sander Berge,12/1,17/5,40/1,Burnley v Fulham
Joachim Andersen,12/1,17/5,40/1,Burnley v Fulham
Calvin Bassey,12/1,17/5,40/1,Burnley v Fulham
Raul Jimenez,12/1,15/4,40/1,Burnley v Fulham
Harry Wilson,12/1,15/4,40/1,Burnley v Fulham
Joshua King,14/1,17/4,40/1,Burnley v Fulham
Kevin,14/1,17/4,40/1,Burnley v Fulham
Issa Diop,12/1,18/5,40/1,Burnley v Fulham
Jorge Cuenca,14/1,17/4,40/1,Burnley v Fulham
Alex Iwobi,16/1,5/1,50/1,Burnley v Fulham
Timothy Castagne,16/1,5/1,50/1,Burnley v Fulham
Bernd Leno,16/1,5/1,50/1,Burnley v Fulham
Ryan Sessegnon,18/1,11/2,50/1,Burnley v Fulham
Tom Cairney,16/1,24/5,40/1,Burnley v Fulham
Samuel Chukwueze,18/1,6/1,50/1,Burnley v Fulham
Adama Traore,16/1,24/5,40/1,Burnley v Fulham
