player names,first card,anytime card,red_card,contest
Ollie Watkins,17/4,5/4,17/4,Aston Villa v Nottingham Forest
Donyell Malen,17/4,5/4,17/4,Aston Villa v Nottingham Forest
Morgan Rogers,13/2,2/1,13/2,Aston Villa v Nottingham Forest
Emiliano Buendia,17/2,14/5,17/2,Aston Villa v Nottingham Forest
John McGinn,9/1,3/1,9/1,Aston Villa v Nottingham Forest
Jadon Sancho,9/1,3/1,9/1,Aston Villa v Nottingham Forest
Youri Tielemans,14/1,5/1,14/1,Aston Villa v Nottingham Forest
Amadou Onana,18/1,13/2,18/1,Aston Villa v Nottingham Forest
Matty Cash,18/1,15/2,18/1,Aston Villa v Nottingham Forest
Ian Maatsen,22/1,9/1,22/1,Aston Villa v Nottingham Forest
Ezri Konsa,28/1,12/1,28/1,Aston Villa v Nottingham Forest
Boubacar Kamara,28/1,11/1,28/1,Aston Villa v Nottingham Forest
Victor Lindelof,33/1,14/1,33/1,Aston Villa v Nottingham Forest
Lucas Digne,33/1,16/1,33/1,Aston Villa v Nottingham Forest
Lamare Bogarde,33/1,14/1,33/1,Aston Villa v Nottingham Forest
Taiwo Awoniyi,17/2,27/10,17/2,Aston Villa v Nottingham Forest
Igor Jesus,15/2,5/2,15/2,Aston Villa v Nottingham Forest
Morgan Gibbs-White,12/1,17/4,12/1,Aston Villa v Nottingham Forest
Callum Hudson-Odoi,14/1,24/5,14/1,Aston Villa v Nottingham Forest
Omari Hutchinson,16/1,6/1,16/1,Aston Villa v Nottingham Forest
Elliot Anderson,16/1,6/1,16/1,Aston Villa v Nottingham Forest
Douglas Luiz,25/1,11/1,25/1,Aston Villa v Nottingham Forest
Nikola Milenkovic,28/1,11/1,28/1,Aston Villa v Nottingham Forest
Nicolas Dominguez,28/1,11/1,28/1,Aston Villa v Nottingham Forest
Nicolo Savona,28/1,12/1,28/1,Aston Villa v Nottingham Forest
Murillo,33/1,16/1,33/1,Aston Villa v Nottingham Forest
Neco Williams,33/1,16/1,33/1,Aston Villa v Nottingham Forest
Morato,40/1,18/1,40/1,Aston Villa v Nottingham Forest
Oleksandr Zinchenko,40/1,18/1,40/1,Aston Villa v Nottingham Forest
Lewis Dunk,11/1,3/1,33/1,Brighton v Burnley
Joel Veltman,11/1,3/1,33/1,Brighton v Burnley
Jan Paul van Hecke,12/1,10/3,33/1,Brighton v Burnley
James Milner,14/1,15/4,40/1,Brighton v Burnley
Yankuba Minteh,12/1,10/3,33/1,Brighton v Burnley
Diego Gomez,14/1,17/4,40/1,Brighton v Burnley
Diego Coppola,14/1,15/4,40/1,Brighton v Burnley
Danny Welbeck,16/1,5/1,50/1,Brighton v Burnley
Maxime De Cuyper,16/1,5/1,50/1,Brighton v Burnley
Olivier Boscagli,16/1,24/5,40/1,Brighton v Burnley
Ferdi Kadioglu,18/1,11/2,50/1,Brighton v Burnley
Bart Verbruggen,18/1,11/2,50/1,Brighton v Burnley
Georginio Rutter,18/1,6/1,50/1,Brighton v Burnley
Yasin Ayari,18/1,6/1,50/1,Brighton v Burnley
Jack Hinshelwood,14/1,17/4,40/1,Brighton v Burnley
Brajan Gruda,22/1,7/1,50/1,Brighton v Burnley
Kaoru Mitoma,28/1,17/2,66/1,Brighton v Burnley
Florentino Luis,9/1,9/4,28/1,Brighton v Burnley
Lesley Ugochukwu,9/1,12/5,33/1,Brighton v Burnley
Lucas Pires,10/1,13/5,33/1,Brighton v Burnley
Kyle Walker,10/1,13/5,33/1,Brighton v Burnley
Josh Laurent,11/1,14/5,33/1,Brighton v Burnley
Hjalmar Ekdal,12/1,3/1,33/1,Brighton v Burnley
Jaidon Anthony,12/1,7/2,40/1,Brighton v Burnley
Zian Flemming,14/1,15/4,40/1,Brighton v Burnley
Marcus Edwards,14/1,15/4,40/1,Brighton v Burnley
Loum Tchaouna,14/1,15/4,40/1,Brighton v Burnley
Bashir Humphreys,14/1,17/4,40/1,Brighton v Burnley
Armando Broja,18/1,11/2,50/1,Brighton v Burnley
Martin Dubravka,22/1,13/2,50/1,Brighton v Burnley
Jacob Bruun Larsen,25/1,15/2,50/1,Brighton v Burnley
Joao Gomes,9/1,2/1,28/1,Wolves v West Ham
Yerson Mosquera,10/1,23/10,28/1,Wolves v West Ham
Ladislav Krejci,11/1,11/4,33/1,Wolves v West Ham
Andre,11/1,11/4,33/1,Wolves v West Ham
Matt Doherty,12/1,16/5,33/1,Wolves v West Ham
Mateus Mane,14/1,4/1,40/1,Wolves v West Ham
