player names,first card,anytime card,red_card,contest
Jacob Bruun Larsen,9/1,21/10,28/1,Burnley v Chelsea
Lesley Ugochukwu,9/1,21/10,28/1,Burnley v Chelsea
Hannibal Mejbri,10/1,9/4,28/1,Burnley v Chelsea
Josh Cullen,10/1,9/4,28/1,Burnley v Chelsea
Josh Laurent,11/1,13/5,33/1,Burnley v Chelsea
Florentino Luis,11/1,13/5,33/1,Burnley v Chelsea
Axel Tuanzebe,12/1,29/10,33/1,Burnley v Chelsea
Lucas Pires,12/1,16/5,33/1,Burnley v Chelsea
Jaidon Anthony,14/1,7/2,40/1,Burnley v Chelsea
Hjalmar Ekdal,14/1,7/2,40/1,Burnley v Chelsea
Zian Flemming,14/1,15/4,40/1,Burnley v Chelsea
Lyle Foster,14/1,15/4,40/1,Burnley v Chelsea
Quilindschy Hartman,14/1,15/4,40/1,Burnley v Chelsea
Kyle Walker,14/1,15/4,40/1,Burnley v Chelsea
Loum Tchaouna,16/1,17/4,40/1,Burnley v Chelsea
Maxime Esteve,16/1,17/4,40/1,Burnley v Chelsea
Marcus Edwards,18/1,5/1,50/1,Burnley v Chelsea
Armando Broja,20/1,11/2,50/1,Burnley v Chelsea
Martin Dubravka,20/1,11/2,50/1,Burnley v Chelsea
Liam Delap,9/1,9/4,28/1,Burnley v Chelsea
Moises Caicedo,9/1,9/4,28/1,Burnley v Chelsea
Enzo Fernandez,10/1,12/5,33/1,Burnley v Chelsea
Wesley Fofana,11/1,13/5,33/1,Burnley v Chelsea
Facundo Buonanotte,11/1,14/5,33/1,Burnley v Chelsea
Andrey Santos,11/1,14/5,33/1,Burnley v Chelsea
Marc Cucurella,12/1,3/1,33/1,Burnley v Chelsea
Jorrel Hato,12/1,3/1,33/1,Burnley v Chelsea
Estevao,12/1,17/5,40/1,Burnley v Chelsea
Pedro Neto,12/1,17/5,40/1,Burnley v Chelsea
Trevoh Chalobah,12/1,17/5,40/1,Burnley v Chelsea
Tosin Adarabioyo,12/1,17/5,40/1,Burnley v Chelsea
Malo Gusto,12/1,17/5,40/1,Burnley v Chelsea
Joao Pedro,14/1,15/4,40/1,Burnley v Chelsea
Reece James,14/1,15/4,40/1,Burnley v Chelsea
Josh Acheampong,14/1,15/4,40/1,Burnley v Chelsea
Alejandro Garnacho,16/1,17/4,40/1,Burnley v Chelsea
Marc Guiu,16/1,17/4,40/1,Burnley v Chelsea
Tyrique George,18/1,5/1,50/1,Burnley v Chelsea
Jamie Gittens,20/1,11/2,50/1,Burnley v Chelsea
Robert Sanchez,20/1,11/2,50/1,Burnley v Chelsea
Jacob Bruun Larsen,9/1,21/10,28/1,Burnley v Chelsea
Lesley Ugochukwu,9/1,21/10,28/1,Burnley v Chelsea
Hannibal Mejbri,10/1,9/4,28/1,Burnley v Chelsea
Josh Cullen,10/1,9/4,28/1,Burnley v Chelsea
Josh Laurent,11/1,13/5,33/1,Burnley v Chelsea
Florentino Luis,11/1,13/5,33/1,Burnley v Chelsea
Axel Tuanzebe,12/1,29/10,33/1,Burnley v Chelsea
Lucas Pires,12/1,16/5,33/1,Burnley v Chelsea
Jaidon Anthony,14/1,7/2,40/1,Burnley v Chelsea
Hjalmar Ekdal,14/1,7/2,40/1,Burnley v Chelsea
Zian Flemming,14/1,15/4,40/1,Burnley v Chelsea
Lyle Foster,14/1,15/4,40/1,Burnley v Chelsea
Quilindschy Hartman,14/1,15/4,40/1,Burnley v Chelsea
Kyle Walker,14/1,15/4,40/1,Burnley v Chelsea
Loum Tchaouna,16/1,17/4,40/1,Burnley v Chelsea
Maxime Esteve,16/1,17/4,40/1,Burnley v Chelsea
Marcus Edwards,18/1,5/1,50/1,Burnley v Chelsea
Armando Broja,20/1,11/2,50/1,Burnley v Chelsea
Martin Dubravka,20/1,11/2,50/1,Burnley v Chelsea
Liam Delap,9/1,9/4,28/1,Burnley v Chelsea
Moises Caicedo,9/1,9/4,28/1,Burnley v Chelsea
Enzo Fernandez,10/1,12/5,33/1,Burnley v Chelsea
Wesley Fofana,11/1,13/5,33/1,Burnley v Chelsea
Facundo Buonanotte,11/1,14/5,33/1,Burnley v Chelsea
Andrey Santos,11/1,14/5,33/1,Burnley v Chelsea
Marc Cucurella,12/1,3/1,33/1,Burnley v Chelsea
Jorrel Hato,12/1,3/1,33/1,Burnley v Chelsea
Estevao,12/1,17/5,40/1,Burnley v Chelsea
Pedro Neto,12/1,17/5,40/1,Burnley v Chelsea
Trevoh Chalobah,12/1,17/5,40/1,Burnley v Chelsea
Tosin Adarabioyo,12/1,17/5,40/1,Burnley v Chelsea
Malo Gusto,12/1,17/5,40/1,Burnley v Chelsea
Joao Pedro,14/1,15/4,40/1,Burnley v Chelsea
Reece James,14/1,15/4,40/1,Burnley v Chelsea
Josh Acheampong,14/1,15/4,40/1,Burnley v Chelsea
Alejandro Garnacho,16/1,17/4,40/1,Burnley v Chelsea
Marc Guiu,16/1,17/4,40/1,Burnley v Chelsea
Tyrique George,18/1,5/1,50/1,Burnley v Chelsea
Jamie Gittens,20/1,11/2,50/1,Burnley v Chelsea
Robert Sanchez,20/1,11/2,50/1,Burnley v Chelsea
Marcos Senesi,10/1,5/2,33/1,Bournemouth v West Ham
Ryan Christie,11/1,27/10,33/1,Bournemouth v West Ham
Tyler Adams,12/1,29/10,33/1,Bournemouth v West Ham
Lewis Cook,12/1,29/10,33/1,Bournemouth v West Ham
Adam Smith,12/1,3/1,33/1,Bournemouth v West Ham
Alejandro Jimenez,12/1,29/10,33/1,Bournemouth v West Ham
Justin Kluivert,14/1,15/4,40/1,Bournemouth v West Ham
Amine Adli,14/1,15/4,40/1,Bournemouth v West Ham
Bafode Diakite,14/1,15/4,40/1,Bournemouth v West Ham
Alex Scott,12/1,29/10,33/1,Bournemouth v West Ham
Veljko Milosavljevic,14/1,15/4,40/1,Bournemouth v West Ham
David Brooks,14/1,4/1,40/1,Bournemouth v West Ham
Antoine Semenyo,14/1,4/1,40/1,Bournemouth v West Ham
Ben Doak,16/1,23/5,40/1,Bournemouth v West Ham
Adrien Truffert,16/1,23/5,40/1,Bournemouth v West Ham
Evanilson,18/1,5/1,50/1,Bournemouth v West Ham
Marcus Tavernier,20/1,11/2,50/1,Bournemouth v West Ham
Eli Junior Kroupi,14/1,4/1,40/1,Bournemouth v West Ham
Djordje Petrovic,28/1,15/2,50/1,Bournemouth v West Ham
Tomas Soucek,10/1,12/5,33/1,Bournemouth v West Ham
