player names,first card,anytime card,red_card,contest
Lucas Paqueta,8/1,2/1,28/1,West Ham v Sunderland
Soungoutou Magassa,9/1,23/10,28/1,West Ham v Sunderland
Guido Rodriguez,10/1,13/5,33/1,West Ham v Sunderland
Mateus Fernandes,10/1,14/5,33/1,West Ham v Sunderland
Taty Castellanos,11/1,3/1,33/1,West Ham v Sunderland
Jean-Clair Todibo,12/1,16/5,33/1,West Ham v Sunderland
Tomas Soucek,12/1,7/2,40/1,West Ham v Sunderland
Pablo,12/1,15/4,40/1,West Ham v Sunderland
Igor Julio,12/1,15/4,40/1,West Ham v Sunderland
Crysencio Summerville,14/1,17/4,40/1,West Ham v Sunderland
El Hadji Malick Diouf,14/1,17/4,40/1,West Ham v Sunderland
Freddie Potts,14/1,17/4,40/1,West Ham v Sunderland
Konstantinos Mavropanos,16/1,19/4,40/1,West Ham v Sunderland
Max Kilman,16/1,19/4,40/1,West Ham v Sunderland
Kyle Walker-Peters,16/1,19/4,40/1,West Ham v Sunderland
Aaron Wan-Bissaka,16/1,5/1,50/1,West Ham v Sunderland
Oliver Scarles,18/1,6/1,50/1,West Ham v Sunderland
Jarrod Bowen,20/1,13/2,50/1,West Ham v Sunderland
Callum Wilson,25/1,7/1,66/1,West Ham v Sunderland
Alphonse Areola,40/1,10/1,80/1,West Ham v Sunderland
Habib Diarra,9/1,23/10,28/1,West Ham v Sunderland
Trai Hume,9/1,23/10,28/1,West Ham v Sunderland
Daniel Ballard,10/1,5/2,33/1,West Ham v Sunderland
Reinildo Mandava,10/1,11/4,33/1,West Ham v Sunderland
Granit Xhaka,11/1,3/1,33/1,West Ham v Sunderland
Nordi Mukiele,11/1,3/1,33/1,West Ham v Sunderland
Omar Alderete,12/1,16/5,33/1,West Ham v Sunderland
Dennis Cirkin,11/1,3/1,33/1,West Ham v Sunderland
Noah Sadiki,12/1,16/5,33/1,West Ham v Sunderland
Enzo Le Fee,12/1,18/5,40/1,West Ham v Sunderland
Luke O'Nien,12/1,3/1,33/1,West Ham v Sunderland
Brian Brobbey,14/1,18/5,40/1,West Ham v Sunderland
Wilson Isidor,14/1,4/1,40/1,West Ham v Sunderland
Chris Rigg,14/1,9/2,40/1,West Ham v Sunderland
Romaine Mundle,16/1,5/1,50/1,West Ham v Sunderland
Eliezer Mayenda,22/1,7/1,50/1,West Ham v Sunderland
Simon Adingra,22/1,13/2,50/1,West Ham v Sunderland
Lutsharel Geertruida,22/1,7/1,50/1,West Ham v Sunderland
Robin Roefs,22/1,7/1,50/1,West Ham v Sunderland
Chemsdine Talbi,28/1,17/2,66/1,West Ham v Sunderland
Hannibal Mejbri,8/1,15/8,25/1,Burnley v Tottenham
Lesley Ugochukwu,10/1,13/5,33/1,Burnley v Tottenham
Florentino Luis,10/1,13/5,33/1,Burnley v Tottenham
Kyle Walker,10/1,13/5,33/1,Burnley v Tottenham
Lucas Pires,11/1,14/5,33/1,Burnley v Tottenham
Josh Laurent,12/1,7/2,40/1,Burnley v Tottenham
Zian Flemming,14/1,4/1,40/1,Burnley v Tottenham
Lyle Foster,14/1,4/1,40/1,Burnley v Tottenham
Bashir Humphreys,14/1,4/1,40/1,Burnley v Tottenham
Axel Tuanzebe,14/1,4/1,40/1,Burnley v Tottenham
Loum Tchaouna,16/1,23/5,40/1,Burnley v Tottenham
Hjalmar Ekdal,16/1,23/5,40/1,Burnley v Tottenham
Quilindschy Hartman,16/1,23/5,40/1,Burnley v Tottenham
Marcus Edwards,18/1,5/1,50/1,Burnley v Tottenham
Jaidon Anthony,18/1,5/1,50/1,Burnley v Tottenham
Maxime Esteve,18/1,5/1,50/1,Burnley v Tottenham
Armando Broja,20/1,13/2,50/1,Burnley v Tottenham
Jacob Bruun Larsen,25/1,15/2,50/1,Burnley v Tottenham
Martin Dubravka,33/1,10/1,66/1,Burnley v Tottenham
Cristian Romero,15/2,17/10,25/1,Burnley v Tottenham
Yves Bissouma,15/2,17/10,25/1,Burnley v Tottenham
Joao Palhinha,17/2,19/10,28/1,Burnley v Tottenham
Conor Gallagher,10/1,13/5,33/1,Burnley v Tottenham
Pape Matar Sarr,11/1,14/5,33/1,Burnley v Tottenham
Micky van de Ven,11/1,14/5,33/1,Burnley v Tottenham
Archie Gray,11/1,14/5,33/1,Burnley v Tottenham
Kevin Danso,11/1,14/5,33/1,Burnley v Tottenham
Xavi Simons,12/1,16/5,33/1,Burnley v Tottenham
Pedro Porro,12/1,16/5,33/1,Burnley v Tottenham
Radu Dragusin,12/1,16/5,33/1,Burnley v Tottenham
Destiny Udogie,14/1,18/5,40/1,Burnley v Tottenham
Djed Spence,14/1,4/1,40/1,Burnley v Tottenham
Randal Kolo Muani,16/1,5/1,50/1,Burnley v Tottenham
Mathys Tel,16/1,5/1,50/1,Burnley v Tottenham
Dominic Solanke,22/1,7/1,50/1,Burnley v Tottenham
Wilson Odobert,25/1,15/2,50/1,Burnley v Tottenham
Guglielmo Vicario,25/1,15/2,50/1,Burnley v Tottenham
Sasa Lukic,9/1,23/10,28/1,Fulham v Brighton
Harrison Reed,12/1,16/5,33/1,Fulham v Brighton
Joachim Andersen,12/1,16/5,33/1,Fulham v Brighton
Issa Diop,12/1,16/5,33/1,Fulham v Brighton
Harry Wilson,12/1,7/2,40/1,Fulham v Brighton
Calvin Bassey,12/1,7/2,40/1,Fulham v Brighton
Sander Berge,14/1,15/4,40/1,Fulham v Brighton
Kevin,14/1,17/4,40/1,Fulham v Brighton
Jorge Cuenca,14/1,17/4,40/1,Fulham v Brighton
Raul Jimenez,16/1,23/5,40/1,Fulham v Brighton
Joshua King,16/1,23/5,40/1,Fulham v Brighton
Adama Traore,16/1,23/5,40/1,Fulham v Brighton
Tom Cairney,16/1,23/5,40/1,Fulham v Brighton
Timothy Castagne,16/1,23/5,40/1,Fulham v Brighton
Antonee Robinson,16/1,23/5,40/1,Fulham v Brighton
Alex Iwobi,18/1,11/2,50/1,Fulham v Brighton
Bernd Leno,18/1,11/2,50/1,Fulham v Brighton
Ryan Sessegnon,18/1,6/1,50/1,Fulham v Brighton
Emile Smith Rowe,22/1,7/1,50/1,Fulham v Brighton
Carlos Baleba,8/1,19/10,28/1,Fulham v Brighton
Diego Coppola,9/1,9/4,28/1,Fulham v Brighton
Jan Paul van Hecke,10/1,13/5,33/1,Fulham v Brighton
Joel Veltman,10/1,13/5,33/1,Fulham v Brighton
Lewis Dunk,11/1,14/5,33/1,Fulham v Brighton
Yankuba Minteh,12/1,3/1,33/1,Fulham v Brighton
Diego Gomez,12/1,3/1,33/1,Fulham v Brighton
Pascal Gross,12/1,3/1,33/1,Fulham v Brighton
Olivier Boscagli,12/1,17/5,40/1,Fulham v Brighton
Jack Hinshelwood,14/1,15/4,40/1,Fulham v Brighton
Yasin Ayari,14/1,15/4,40/1,Fulham v Brighton
Georginio Rutter,14/1,4/1,40/1,Fulham v Brighton
Maxime De Cuyper,14/1,15/4,40/1,Fulham v Brighton
Brajan Gruda,14/1,4/1,40/1,Fulham v Brighton
Ferdi Kadioglu,16/1,23/5,40/1,Fulham v Brighton
Bart Verbruggen,16/1,23/5,40/1,Fulham v Brighton
Danny Welbeck,16/1,5/1,50/1,Fulham v Brighton
Charalampos Kostoulas,16/1,5/1,50/1,Fulham v Brighton
Kaoru Mitoma,18/1,11/2,50/1,Fulham v Brighton
Bernardo Silva,11/1,18/5,40/1,Man City v Wolves
Abdukodir Khusanov,12/1,4/1,40/1,Man City v Wolves
Rodri,12/1,17/4,40/1,Man City v Wolves
Marc Guehi,14/1,5/1,40/1,Man City v Wolves
Rayan Ait-Nouri,14/1,5/1,40/1,Man City v Wolves
Antoine Semenyo,16/1,11/2,50/1,Man City v Wolves
Max Alleyne,16/1,11/2,50/1,Man City v Wolves
Matheus Nunes,16/1,11/2,50/1,Man City v Wolves
Rico Lewis,16/1,11/2,50/1,Man City v Wolves
Tijjani Reijnders,18/1,13/2,50/1,Man City v Wolves
Phil Foden,20/1,7/1,50/1,Man City v Wolves
Nico O'Reilly,20/1,7/1,50/1,Man City v Wolves
Nathan Ake,20/1,7/1,50/1,Man City v Wolves
Gianluigi Donnarumma,22/1,8/1,50/1,Man City v Wolves
Erling Haaland,25/1,9/1,66/1,Man City v Wolves
Omar Marmoush,25/1,9/1,66/1,Man City v Wolves
Rayan Cherki,25/1,9/1,66/1,Man City v Wolves
Jeremy Doku,25/1,9/1,66/1,Man City v Wolves
Joao Gomes,15/2,21/10,28/1,Man City v Wolves
Yerson Mosquera,8/1,23/10,28/1,Man City v Wolves
Andre,17/2,12/5,33/1,Man City v Wolves
Ladislav Krejci,10/1,29/10,33/1,Man City v Wolves
Emmanuel Agbadou,10/1,29/10,33/1,Man City v Wolves
Matt Doherty,11/1,16/5,33/1,Man City v Wolves
Santiago Bueno,11/1,7/2,40/1,Man City v Wolves
David Moller Wolfe,11/1,7/2,40/1,Man City v Wolves
Jackson Tchatchoua,12/1,15/4,40/1,Man City v Wolves
Jorgen Strand Larsen,14/1,17/4,40/1,Man City v Wolves
Hwang Hee-chan,14/1,17/4,40/1,Man City v Wolves
Hugo Bueno,14/1,17/4,40/1,Man City v Wolves
Mateus Mane,14/1,5/1,50/1,Man City v Wolves
Jhon Arias,14/1,5/1,50/1,Man City v Wolves
Tolu Arokodare,16/1,11/2,50/1,Man City v Wolves
Fernando Lopez,16/1,11/2,50/1,Man City v Wolves
Rodrigo Gomes,16/1,11/2,50/1,Man City v Wolves
Jose Sa,25/1,17/2,66/1,Man City v Wolves
Evanilson,13/2,19/10,13/2,Bournemouth v Liverpool
Eli Junior Kroupi,15/2,11/5,15/2,Bournemouth v Liverpool
Remy Rees-Dottin,9/1,14/5,9/1,Bournemouth v Liverpool
Malcom Dacosta,10/1,10/3,10/1,Bournemouth v Liverpool
Amine Adli,12/1,4/1,12/1,Bournemouth v Liverpool
Ryan Christie,18/1,6/1,18/1,Bournemouth v Liverpool
Alex Scott,22/1,9/1,22/1,Bournemouth v Liverpool
Alejandro Jimenez,22/1,8/1,22/1,Bournemouth v Liverpool
Marcos Senesi,33/1,12/1,33/1,Bournemouth v Liverpool
Lewis Cook,33/1,14/1,33/1,Bournemouth v Liverpool
Veljko Milosavljevic,33/1,14/1,33/1,Bournemouth v Liverpool
James Hill,40/1,18/1,40/1,Bournemouth v Liverpool
Adrien Truffert,40/1,18/1,40/1,Bournemouth v Liverpool
Adam Smith,40/1,18/1,40/1,Bournemouth v Liverpool
Mohamed Salah,5/1,7/5,5/1,Bournemouth v Liverpool
Hugo Ekitike,11/2,31/20,11/2,Bournemouth v Liverpool
Cody Gakpo,15/2,23/10,15/2,Bournemouth v Liverpool
Federico Chiesa,15/2,23/10,15/2,Bournemouth v Liverpool
Rio Ngumoha,9/1,14/5,9/1,Bournemouth v Liverpool
Florian Wirtz,9/1,29/10,9/1,Bournemouth v Liverpool
Trey Nyoni,12/1,4/1,12/1,Bournemouth v Liverpool
Dominik Szoboszlai,14/1,17/4,14/1,Bournemouth v Liverpool
Curtis Jones,16/1,11/2,16/1,Bournemouth v Liverpool
Alexis MacAllister,18/1,13/2,18/1,Bournemouth v Liverpool
Jeremie Frimpong,20/1,15/2,20/1,Bournemouth v Liverpool
Virgil van Dijk,22/1,9/1,22/1,Bournemouth v Liverpool
Ibrahima Konate,28/1,11/1,28/1,Bournemouth v Liverpool
Milos Kerkez,28/1,12/1,28/1,Bournemouth v Liverpool
Ryan Gravenberch,25/1,10/1,25/1,Bournemouth v Liverpool
Wataru Endo,28/1,12/1,28/1,Bournemouth v Liverpool
Andrew Robertson,33/1,14/1,33/1,Bournemouth v Liverpool
Joe Gomez,40/1,16/1,40/1,Bournemouth v Liverpool
Igor Thiago,10/1,13/5,33/1,Brentford v Nottingham Forest
