player names,first card,anytime card,red_card,contest
Stefanos Tzimas,10/1,11/4,33/1,Brighton v Leeds
Carlos Baleba,10/1,29/10,33/1,Brighton v Leeds
Mats Wieffer,11/1,3/1,33/1,Brighton v Leeds
Jan Paul van Hecke,12/1,17/5,33/1,Brighton v Leeds
Joel Veltman,12/1,17/5,33/1,Brighton v Leeds
James Milner,12/1,15/4,40/1,Brighton v Leeds
Lewis Dunk,14/1,17/4,40/1,Brighton v Leeds
Danny Welbeck,14/1,19/4,40/1,Brighton v Leeds
Maxime De Cuyper,14/1,19/4,40/1,Brighton v Leeds
Diego Coppola,14/1,19/4,40/1,Brighton v Leeds
Georginio Rutter,16/1,5/1,50/1,Brighton v Leeds
Yankuba Minteh,16/1,5/1,50/1,Brighton v Leeds
Diego Gomez,16/1,5/1,50/1,Brighton v Leeds
Yasin Ayari,16/1,5/1,50/1,Brighton v Leeds
Ferdi Kadioglu,16/1,5/1,50/1,Brighton v Leeds
Charalampos Kostoulas,18/1,11/2,50/1,Brighton v Leeds
Olivier Boscagli,20/1,13/2,50/1,Brighton v Leeds
Tom Watson,28/1,17/2,66/1,Brighton v Leeds
Kaoru Mitoma,28/1,17/2,66/1,Brighton v Leeds
Bart Verbruggen,28/1,17/2,66/1,Brighton v Leeds
Jayden Bogle,15/2,19/10,28/1,Brighton v Leeds
Ethan Ampadu,8/1,21/10,28/1,Brighton v Leeds
Anton Stach,10/1,13/5,33/1,Brighton v Leeds
Jaka Bijol,10/1,13/5,33/1,Brighton v Leeds
Wilfried Gnonto,10/1,29/10,33/1,Brighton v Leeds
Ilia Gruev,10/1,29/10,33/1,Brighton v Leeds
Pascal Struijk,11/1,3/1,33/1,Brighton v Leeds
James Justin,11/1,3/1,33/1,Brighton v Leeds
Ao Tanaka,12/1,7/2,40/1,Brighton v Leeds
Gabriel Gudmondsson,12/1,7/2,40/1,Brighton v Leeds
Joe Rodon,12/1,7/2,40/1,Brighton v Leeds
Lukas Nmecha,12/1,15/4,40/1,Brighton v Leeds
Sean Longstaff,12/1,15/4,40/1,Brighton v Leeds
Dominic Calvert-Lewin,14/1,17/4,40/1,Brighton v Leeds
Daniel James,14/1,17/4,40/1,Brighton v Leeds
Noah Okafor,14/1,17/4,40/1,Brighton v Leeds
Joel Piroe,16/1,5/1,50/1,Brighton v Leeds
Brenden Aaronson,20/1,13/2,50/1,Brighton v Leeds
Jack Harrison,20/1,13/2,50/1,Brighton v Leeds
Lucas Perri,28/1,17/2,66/1,Brighton v Leeds
Lesley Ugochukwu,15/2,11/5,28/1,Burnley v Arsenal
Josh Cullen,9/1,14/5,33/1,Burnley v Arsenal
Axel Tuanzebe,9/1,3/1,33/1,Burnley v Arsenal
Lucas Pires,10/1,3/1,33/1,Burnley v Arsenal
Joe Worrall,10/1,16/5,33/1,Burnley v Arsenal
Ashley Barnes,10/1,16/5,33/1,Burnley v Arsenal
Florentino Luis,10/1,10/3,40/1,Burnley v Arsenal
Oliver Sonne,11/1,17/5,40/1,Burnley v Arsenal
Hannibal Mejbri,11/1,7/2,40/1,Burnley v Arsenal
Josh Laurent,11/1,18/5,40/1,Burnley v Arsenal
