player names,first card,anytime card,red_card,contest
John McGinn,10/1,21/10,28/1,Aston Villa v Newcastle
Matty Cash,10/1,21/10,28/1,Aston Villa v Newcastle
Morgan Rogers,11/1,23/10,33/1,Aston Villa v Newcastle
Amadou Onana,11/1,23/10,33/1,Aston Villa v Newcastle
Ian Maatsen,11/1,23/10,33/1,Aston Villa v Newcastle
Tyrone Mings,11/1,23/10,33/1,Aston Villa v Newcastle
Boubacar Kamara,11/1,23/10,33/1,Aston Villa v Newcastle
Lamare Bogarde,11/1,23/10,33/1,Aston Villa v Newcastle
Lucas Digne,12/1,13/5,33/1,Aston Villa v Newcastle
Leon Bailey,14/1,18/5,40/1,Aston Villa v Newcastle
Emiliano Buendia,14/1,18/5,40/1,Aston Villa v Newcastle
Youri Tielemans,14/1,18/5,40/1,Aston Villa v Newcastle
Samuel Iling-Junior,16/1,17/4,40/1,Aston Villa v Newcastle
Ezri Konsa,16/1,17/4,40/1,Aston Villa v Newcastle
Pau Torres,16/1,17/4,40/1,Aston Villa v Newcastle
Ollie Watkins,20/1,5/1,50/1,Aston Villa v Newcastle
Donyell Malen,20/1,5/1,50/1,Aston Villa v Newcastle
Evann Guessand,20/1,5/1,50/1,Aston Villa v Newcastle
Marco Bizot,20/1,5/1,50/1,Aston Villa v Newcastle
Joelinton,17/2,17/10,25/1,Aston Villa v Newcastle
Jamaal Lascelles,10/1,2/1,28/1,Aston Villa v Newcastle
Fabian Schar,11/1,11/5,28/1,Aston Villa v Newcastle
Bruno Guimaraes,11/1,11/5,28/1,Aston Villa v Newcastle
Dan Burn,11/1,5/2,33/1,Aston Villa v Newcastle
Emil Krafth,11/1,5/2,33/1,Aston Villa v Newcastle
Anthony Gordon,12/1,14/5,33/1,Aston Villa v Newcastle
Sandro Tonali,12/1,14/5,33/1,Aston Villa v Newcastle
Matt Targett,14/1,16/5,33/1,Aston Villa v Newcastle
William Osula,16/1,15/4,40/1,Aston Villa v Newcastle
Lewis Miley,16/1,15/4,40/1,Aston Villa v Newcastle
Kieran Trippier,16/1,15/4,40/1,Aston Villa v Newcastle
Lewis Hall,16/1,15/4,40/1,Aston Villa v Newcastle
Sven Botman,18/1,17/4,40/1,Aston Villa v Newcastle
Tino Livramento,18/1,17/4,40/1,Aston Villa v Newcastle
Jacob Murphy,20/1,5/1,50/1,Aston Villa v Newcastle
Nick Pope,20/1,5/1,50/1,Aston Villa v Newcastle
Harvey Barnes,25/1,13/2,50/1,Aston Villa v Newcastle
Anthony Elanga,33/1,17/2,66/1,Aston Villa v Newcastle
Carlos Baleba,9/1,2/1,28/1,Brighton v Fulham
Jan Paul van Hecke,12/1,11/4,33/1,Brighton v Fulham
Tariq Lamptey,12/1,11/4,33/1,Brighton v Fulham
Joel Veltman,12/1,11/4,33/1,Brighton v Fulham
Diego Gomez,12/1,16/5,33/1,Brighton v Fulham
Mats Wieffer,12/1,16/5,33/1,Brighton v Fulham
Lewis Dunk ,12/1,16/5,33/1,Brighton v Fulham
Danny Welbeck,16/1,4/1,40/1,Brighton v Fulham
Yankuba Minteh,16/1,4/1,40/1,Brighton v Fulham
Yasin Ayari,16/1,4/1,40/1,Brighton v Fulham
Jack Hinshelwood,16/1,4/1,40/1,Brighton v Fulham
Maxim De Cuyper,16/1,4/1,40/1,Brighton v Fulham
Adam Webster,16/1,4/1,40/1,Brighton v Fulham
Olivier Boscagli,16/1,4/1,40/1,Brighton v Fulham
Georginio Rutter,18/1,5/1,50/1,Brighton v Fulham
Matt O'Riley,18/1,5/1,50/1,Brighton v Fulham
Ferdi Kadioglu,18/1,5/1,50/1,Brighton v Fulham
Kaoru Mitoma,20/1,6/1,50/1,Brighton v Fulham
Julio Enciso,20/1,6/1,50/1,Brighton v Fulham
Brajan Gruda,20/1,6/1,50/1,Brighton v Fulham
Solly March,20/1,6/1,50/1,Brighton v Fulham
Bart Verbruggen,20/1,6/1,50/1,Brighton v Fulham
Sasa Lukic,8/1,13/8,25/1,Brighton v Fulham
Joachim Andersen,9/1,19/10,28/1,Brighton v Fulham
Andreas Pereira,10/1,23/10,28/1,Brighton v Fulham
Sander Berge,12/1,11/4,33/1,Brighton v Fulham
Kenny Tete,12/1,11/4,33/1,Brighton v Fulham
Harrison Reed,12/1,11/4,33/1,Brighton v Fulham
Issa Diop,12/1,11/4,33/1,Brighton v Fulham
Harry Wilson,14/1,17/5,40/1,Brighton v Fulham
Josh King,14/1,17/5,40/1,Brighton v Fulham
Jorge Cuenca,14/1,17/5,40/1,Brighton v Fulham
Calvin Bassey,14/1,17/5,40/1,Brighton v Fulham
Raul Jimenez,16/1,17/4,40/1,Brighton v Fulham
Timothy Castagne,16/1,17/4,40/1,Brighton v Fulham
Rodrigo Muniz,18/1,5/1,50/1,Brighton v Fulham
Adama Traore,16/1,17/4,40/1,Brighton v Fulham
Ryan Sessegnon,18/1,5/1,50/1,Brighton v Fulham
Bernd Leno,18/1,5/1,50/1,Brighton v Fulham
Emile Smith Rowe,22/1,6/1,50/1,Brighton v Fulham
Alex Iwobi,22/1,6/1,50/1,Brighton v Fulham
Granit Xhaka,9/1,19/10,28/1,Sunderland v West Ham
Arthur Masuaku,10/1,9/4,28/1,Sunderland v West Ham
Reinildo Mandava,11/1,13/5,33/1,Sunderland v West Ham
Wilson Isidor,12/1,14/5,33/1,Sunderland v West Ham
Habib Diarra,12/1,14/5,33/1,Sunderland v West Ham
Daniel Ballard,12/1,14/5,33/1,Sunderland v West Ham
Trai Hume,12/1,14/5,33/1,Sunderland v West Ham
Jenson Seelt,12/1,3/1,33/1,Sunderland v West Ham
Noah Sadiki,14/1,7/2,40/1,Sunderland v West Ham
Patrick Roberts,14/1,18/5,40/1,Sunderland v West Ham
Chris Rigg,14/1,15/4,40/1,Sunderland v West Ham
Enzo Le Fee,16/1,17/4,40/1,Sunderland v West Ham
Dan Neil,16/1,17/4,40/1,Sunderland v West Ham
Niall Huggins,18/1,5/1,50/1,Sunderland v West Ham
Marc Guiu,16/1,23/5,40/1,Sunderland v West Ham
Simon Adingra,20/1,11/2,50/1,Sunderland v West Ham
Chemsdine Talbi,20/1,11/2,50/1,Sunderland v West Ham
Eliezer Mayenda,25/1,13/2,50/1,Sunderland v West Ham
Robin Roefs,28/1,15/2,50/1,Sunderland v West Ham
Edson Alvarez,7/1,29/20,22/1,Sunderland v West Ham
Lucas Paqueta,15/2,31/20,22/1,Sunderland v West Ham
Freddie Potts,10/1,12/5,33/1,Sunderland v West Ham
Guido Rodriguez,10/1,12/5,33/1,Sunderland v West Ham
Tomas Soucek,11/1,13/5,33/1,Sunderland v West Ham
Konstantinos Mavropanos,11/1,13/5,33/1,Sunderland v West Ham
El Hadji Malick Diouf,12/1,29/10,33/1,Sunderland v West Ham
Callum Wilson,12/1,16/5,33/1,Sunderland v West Ham
James Ward-Prowse,12/1,16/5,33/1,Sunderland v West Ham
Jean-Clair Todibo,12/1,29/10,33/1,Sunderland v West Ham
Nayef Aguerd,14/1,7/2,40/1,Sunderland v West Ham
Aaron Wan-Bissaka,14/1,7/2,40/1,Sunderland v West Ham
Kyle Walker-Peters,16/1,4/1,40/1,Sunderland v West Ham
Maximilian Kilman,14/1,15/4,40/1,Sunderland v West Ham
Luis Guilherme,16/1,23/5,40/1,Sunderland v West Ham
Jarrod Bowen,18/1,5/1,50/1,Sunderland v West Ham
Niclas Fullkrug,18/1,5/1,50/1,Sunderland v West Ham
Alphonse Areola,25/1,7/1,50/1,Sunderland v West Ham
Rodrigo Bentancur,8/1,9/5,25/1,Tottenham v Burnley
Joao Palhinha,17/2,19/10,28/1,Tottenham v Burnley
Cristian Romero,10/1,5/2,33/1,Tottenham v Burnley
Pape Matar Sarr,12/1,29/10,33/1,Tottenham v Burnley
Lucas Bergvall,12/1,29/10,33/1,Tottenham v Burnley
Micky van de Ven,14/1,18/5,40/1,Tottenham v Burnley
Richarlison,14/1,15/4,40/1,Tottenham v Burnley
Brennan Johnson,16/1,17/4,40/1,Tottenham v Burnley
Pedro Porro,16/1,17/4,40/1,Tottenham v Burnley
Mathys Tel,16/1,24/5,40/1,Tottenham v Burnley
Ben Davies,16/1,24/5,40/1,Tottenham v Burnley
Archie Gray,16/1,24/5,40/1,Tottenham v Burnley
Djed Spence,18/1,5/1,50/1,Tottenham v Burnley
Mohammed Kudus,18/1,11/2,50/1,Tottenham v Burnley
Dominic Solanke,20/1,6/1,50/1,Tottenham v Burnley
Wilson Odobert,22/1,13/2,50/1,Tottenham v Burnley
Guglielmo Vicario,20/1,6/1,50/1,Tottenham v Burnley
Hannibal Mejbri,15/2,13/8,22/1,Tottenham v Burnley
Josh Cullen,9/1,21/10,28/1,Tottenham v Burnley
Ashley Barnes,9/1,21/10,28/1,Tottenham v Burnley
Josh Laurent,10/1,23/10,33/1,Tottenham v Burnley
Hjalmar Ekdal,10/1,23/10,33/1,Tottenham v Burnley
Joe Worrall,11/1,13/5,33/1,Tottenham v Burnley
Lucas Pires,11/1,13/5,33/1,Tottenham v Burnley
Quilindschy Hartman,12/1,14/5,33/1,Tottenham v Burnley
Maxime Esteve,12/1,3/1,33/1,Tottenham v Burnley
Lyle Foster,12/1,3/1,33/1,Tottenham v Burnley
Jaidon Anthony,14/1,15/4,40/1,Tottenham v Burnley
Loum Tchaouna,14/1,15/4,40/1,Tottenham v Burnley
Marcus Edwards,16/1,17/4,40/1,Tottenham v Burnley
Kyle Walker,16/1,23/5,40/1,Tottenham v Burnley
Jacob Bruun Larsen,18/1,5/1,50/1,Tottenham v Burnley
Luca Koleosho,18/1,5/1,50/1,Tottenham v Burnley
Martin Dubravka,18/1,5/1,50/1,Tottenham v Burnley
Moises Caicedo,10/1,19/10,28/1,Chelsea v Crystal Palace
Enzo Fernandez,11/1,23/10,28/1,Chelsea v Crystal Palace
Marc Cucurella,11/1,23/10,28/1,Chelsea v Crystal Palace
Andrey Santos,12/1,13/5,33/1,Chelsea v Crystal Palace
Liam Delap,12/1,3/1,33/1,Chelsea v Crystal Palace
Jorrel Hato,12/1,3/1,33/1,Chelsea v Crystal Palace
Pedro Neto,14/1,10/3,40/1,Chelsea v Crystal Palace
Reece James,14/1,10/3,40/1,Chelsea v Crystal Palace
Tosin Adarabioyo,14/1,10/3,40/1,Chelsea v Crystal Palace
Malo Gusto,14/1,7/2,40/1,Chelsea v Crystal Palace
Estevao,14/1,18/5,40/1,Chelsea v Crystal Palace
Trevoh Chalobah,16/1,15/4,40/1,Chelsea v Crystal Palace
Joao Pedro,16/1,4/1,40/1,Chelsea v Crystal Palace
Cole Palmer,18/1,9/2,40/1,Chelsea v Crystal Palace
Jamie Gittens,20/1,11/2,50/1,Chelsea v Crystal Palace
Robert Sanchez,22/1,6/1,50/1,Chelsea v Crystal Palace
Filip Jorgensen,28/1,7/1,50/1,Chelsea v Crystal Palace
Will Hughes,8/1,6/4,22/1,Chelsea v Crystal Palace
Daniel Munoz,9/1,17/10,25/1,Chelsea v Crystal Palace
Jefferson Lerma,9/1,17/10,25/1,Chelsea v Crystal Palace
Marc Guehi,11/1,9/4,28/1,Chelsea v Crystal Palace
Chris Richards,11/1,12/5,33/1,Chelsea v Crystal Palace
Maxence Lacroix,12/1,5/2,33/1,Chelsea v Crystal Palace
Adam Wharton,16/1,15/4,40/1,Chelsea v Crystal Palace
Tyrick Mitchell,16/1,15/4,40/1,Chelsea v Crystal Palace
Ismaila Sarr,16/1,4/1,40/1,Chelsea v Crystal Palace
Jean-Philippe Mateta,18/1,17/4,40/1,Chelsea v Crystal Palace
Dean Henderson,20/1,5/1,50/1,Chelsea v Crystal Palace
Eberechi Eze,22/1,11/2,50/1,Chelsea v Crystal Palace
Morgan Gibbs-White,9/1,2/1,28/1,Nottingham Forest v Brentford
Ibrahim Sangare,11/1,5/2,33/1,Nottingham Forest v Brentford
Ryan Yates,12/1,11/4,33/1,Nottingham Forest v Brentford
Elliot Anderson,12/1,3/1,33/1,Nottingham Forest v Brentford
Neco Williams,12/1,16/5,33/1,Nottingham Forest v Brentford
Jota Silva,14/1,18/5,40/1,Nottingham Forest v Brentford
Morato,14/1,18/5,40/1,Nottingham Forest v Brentford
Igor Jesus,16/1,4/1,40/1,Nottingham Forest v Brentford
Nikola Milenkovic,16/1,4/1,40/1,Nottingham Forest v Brentford
Willy Boly,16/1,4/1,40/1,Nottingham Forest v Brentford
Ola Aina,14/1,18/5,40/1,Nottingham Forest v Brentford
Murillo,16/1,4/1,40/1,Nottingham Forest v Brentford
Dan Ndoye,16/1,9/2,40/1,Nottingham Forest v Brentford
Taiwo Awoniyi,25/1,7/1,50/1,Nottingham Forest v Brentford
Callum Hudson-Odoi,25/1,7/1,50/1,Nottingham Forest v Brentford
Matz Sels,25/1,7/1,50/1,Nottingham Forest v Brentford
Chris Wood,33/1,17/2,66/1,Nottingham Forest v Brentford
Aaron Hickey,17/2,9/5,25/1,Nottingham Forest v Brentford
Igor Thiago,9/1,21/10,28/1,Nottingham Forest v Brentford
Jordan Henderson,11/1,5/2,33/1,Nottingham Forest v Brentford
Kristoffer Ajer,11/1,5/2,33/1,Nottingham Forest v Brentford
Mathias Jensen,12/1,11/4,33/1,Nottingham Forest v Brentford
Yehor Yarmolyuk,12/1,11/4,33/1,Nottingham Forest v Brentford
Sepp Van den Berg,12/1,11/4,33/1,Nottingham Forest v Brentford
Keane Lewis-Potter,12/1,3/1,33/1,Nottingham Forest v Brentford
Nathan Collins,14/1,17/5,40/1,Nottingham Forest v Brentford
Michael Kayode,14/1,17/5,40/1,Nottingham Forest v Brentford
Fabio Carvalho,14/1,15/4,40/1,Nottingham Forest v Brentford
Rico Henry,14/1,15/4,40/1,Nottingham Forest v Brentford
Antoni Milambo,16/1,17/4,40/1,Nottingham Forest v Brentford
Kevin Schade,12/1,11/4,33/1,Nottingham Forest v Brentford
Mikkel Damsgaard,18/1,5/1,50/1,Nottingham Forest v Brentford
Mads Roerslev,18/1,5/1,50/1,Nottingham Forest v Brentford
Caoimhin Kelleher,28/1,15/2,50/1,Nottingham Forest v Brentford
Casemiro,9/1,9/5,25/1,Man Utd v Arsenal
Manuel Ugarte,9/1,9/5,25/1,Man Utd v Arsenal
Tyrell Malacia,11/1,23/10,28/1,Man Utd v Arsenal
Luke Shaw,11/1,23/10,28/1,Man Utd v Arsenal
Mason Mount,12/1,5/2,33/1,Man Utd v Arsenal
Harry Maguire,12/1,5/2,33/1,Man Utd v Arsenal
Matheus Cunha,12/1,14/5,33/1,Man Utd v Arsenal
Bruno Fernandes,12/1,5/2,33/1,Man Utd v Arsenal
Amad Diallo,12/1,14/5,33/1,Man Utd v Arsenal
Kobbie Mainoo,12/1,14/5,33/1,Man Utd v Arsenal
Patrick Dorgu,12/1,14/5,33/1,Man Utd v Arsenal
Matthijs De Ligt,12/1,3/1,33/1,Man Utd v Arsenal
Diogo Dalot,14/1,7/2,40/1,Man Utd v Arsenal
Leny Yoro,14/1,7/2,40/1,Man Utd v Arsenal
Bryan Mbeumo,16/1,15/4,40/1,Man Utd v Arsenal
Noussair Mazraoui,16/1,15/4,40/1,Man Utd v Arsenal
Ayden Heaven,16/1,15/4,40/1,Man Utd v Arsenal
Joshua Zirkzee,18/1,9/2,40/1,Man Utd v Arsenal
Chido Obi,18/1,9/2,40/1,Man Utd v Arsenal
Rasmus Hojlund,20/1,5/1,50/1,Man Utd v Arsenal
Benjamin Sesko,22/1,6/1,50/1,Man Utd v Arsenal
Altay Bayindir,22/1,6/1,50/1,Man Utd v Arsenal
Christian Norgaard,8/1,8/5,22/1,Man Utd v Arsenal
Mikel Merino,9/1,19/10,28/1,Man Utd v Arsenal
Riccardo Calafiori,9/1,19/10,28/1,Man Utd v Arsenal
Declan Rice,10/1,21/10,28/1,Man Utd v Arsenal
Martin Zubimendi,10/1,21/10,28/1,Man Utd v Arsenal
Gabriel,11/1,23/10,28/1,Man Utd v Arsenal
Myles Lewis-Skelly,11/1,23/10,28/1,Man Utd v Arsenal
Kai Havertz,12/1,5/2,33/1,Man Utd v Arsenal
Ben White,12/1,5/2,33/1,Man Utd v Arsenal
Fabio Vieira,12/1,14/5,33/1,Man Utd v Arsenal
Oleksandr Zinchenko,12/1,14/5,33/1,Man Utd v Arsenal
Jurrien Timber,12/1,14/5,33/1,Man Utd v Arsenal
Bukayo Saka,12/1,3/1,33/1,Man Utd v Arsenal
William Saliba,12/1,3/1,33/1,Man Utd v Arsenal
Viktor Gyokeres,16/1,15/4,40/1,Man Utd v Arsenal
Leandro Trossard,16/1,15/4,40/1,Man Utd v Arsenal
Reiss Nelson,16/1,15/4,40/1,Man Utd v Arsenal
Jakub Kiwior,12/1,3/1,33/1,Man Utd v Arsenal
Cristhian Mosquera,16/1,15/4,40/1,Man Utd v Arsenal
Noni Madueke,18/1,9/2,40/1,Man Utd v Arsenal
Gabriel Martinelli,18/1,9/2,40/1,Man Utd v Arsenal
Martin Odegaard,18/1,9/2,40/1,Man Utd v Arsenal
Ethan Nwaneri,20/1,5/1,50/1,Man Utd v Arsenal
David Raya,20/1,5/1,50/1,Man Utd v Arsenal
Jayden Bogle,10/1,23/10,33/1,Leeds v Everton
Ilia Gruev,11/1,27/10,33/1,Leeds v Everton
Ethan Ampadu,10/1,5/2,33/1,Leeds v Everton
Wilfried Gnonto,11/1,27/10,33/1,Leeds v Everton
Ao Tanaka,12/1,29/10,33/1,Leeds v Everton
Anton Stach,12/1,16/5,40/1,Leeds v Everton
Pascal Struijk ,12/1,16/5,40/1,Leeds v Everton
Lukas Nmecha,14/1,15/4,40/1,Leeds v Everton
Daniel James,14/1,15/4,40/1,Leeds v Everton
Joe Rodon,12/1,7/2,40/1,Leeds v Everton
