player names,first card,anytime card,red_card,contest
Chris Wood,6/1,19/10,6/1,Nottingham Forest v Chelsea
Igor Jesus,13/2,2/1,13/2,Nottingham Forest v Chelsea
Morgan Gibbs-White,11/1,15/4,11/1,Nottingham Forest v Chelsea
Dan Ndoye,12/1,4/1,12/1,Nottingham Forest v Chelsea
James McAtee,12/1,4/1,12/1,Nottingham Forest v Chelsea
Callum Hudson-Odoi,12/1,9/2,12/1,Nottingham Forest v Chelsea
Dilane Bakwa,12/1,9/2,12/1,Nottingham Forest v Chelsea
Elliot Anderson,22/1,8/1,22/1,Nottingham Forest v Chelsea
Ryan Yates,22/1,17/2,22/1,Nottingham Forest v Chelsea
Douglas Luiz,22/1,9/1,22/1,Nottingham Forest v Chelsea
Nicolas Dominguez,25/1,10/1,25/1,Nottingham Forest v Chelsea
Nikola Milenkovic,28/1,11/1,28/1,Nottingham Forest v Chelsea
Neco Williams,28/1,10/1,28/1,Nottingham Forest v Chelsea
Ibrahim Sangare,28/1,10/1,28/1,Nottingham Forest v Chelsea
Murillo,33/1,14/1,33/1,Nottingham Forest v Chelsea
Jair Cunha,33/1,14/1,33/1,Nottingham Forest v Chelsea
Oleksandr Zinchenko,33/1,14/1,33/1,Nottingham Forest v Chelsea
Nicolo Savona,33/1,14/1,33/1,Nottingham Forest v Chelsea
Morato,40/1,22/1,40/1,Nottingham Forest v Chelsea
Joao Pedro,23/5,13/10,23/5,Nottingham Forest v Chelsea
Cole Palmer,11/2,13/8,11/2,Nottingham Forest v Chelsea
Estevao,15/2,23/10,15/2,Nottingham Forest v Chelsea
Enzo Fernandez,7/1,21/10,7/1,Nottingham Forest v Chelsea
Tyrique George,8/1,5/2,8/1,Nottingham Forest v Chelsea
Pedro Neto,9/1,3/1,9/1,Nottingham Forest v Chelsea
Alejandro Garnacho,17/2,14/5,17/2,Nottingham Forest v Chelsea
Facundo Buonanotte,17/2,14/5,17/2,Nottingham Forest v Chelsea
Jamie Gittens,9/1,3/1,9/1,Nottingham Forest v Chelsea
Marc Cucurella,18/1,13/2,18/1,Nottingham Forest v Chelsea
Andrey Santos,18/1,13/2,18/1,Nottingham Forest v Chelsea
Trevoh Chalobah,22/1,8/1,22/1,Nottingham Forest v Chelsea
Reece James,22/1,9/1,22/1,Nottingham Forest v Chelsea
Axel Disasi,22/1,9/1,22/1,Nottingham Forest v Chelsea
Moises Caicedo,22/1,9/1,22/1,Nottingham Forest v Chelsea
Tosin Adarabioyo,22/1,9/1,22/1,Nottingham Forest v Chelsea
Romeo Lavia,25/1,10/1,25/1,Nottingham Forest v Chelsea
Benoit Badiashile,28/1,12/1,28/1,Nottingham Forest v Chelsea
Jorrel Hato,28/1,12/1,28/1,Nottingham Forest v Chelsea
Malo Gusto,28/1,12/1,28/1,Nottingham Forest v Chelsea
Josh Acheampong,33/1,14/1,33/1,Nottingham Forest v Chelsea
Wesley Fofana,33/1,14/1,33/1,Nottingham Forest v Chelsea
Carlos Baleba,17/2,19/10,28/1,Brighton v Newcastle
Mats Wieffer,11/1,5/2,33/1,Brighton v Newcastle
Jan Paul van Hecke,11/1,5/2,33/1,Brighton v Newcastle
James Milner,11/1,5/2,33/1,Brighton v Newcastle
Diego Coppola,11/1,5/2,33/1,Brighton v Newcastle
Georginio Rutter,14/1,15/4,40/1,Brighton v Newcastle
Yankuba Minteh,12/1,11/4,33/1,Brighton v Newcastle
Diego Gomez,14/1,17/5,40/1,Brighton v Newcastle
Yasin Ayari,14/1,15/4,40/1,Brighton v Newcastle
Maxime De Cuyper,12/1,3/1,33/1,Brighton v Newcastle
Lewis Dunk,12/1,3/1,33/1,Brighton v Newcastle
Danny Welbeck,18/1,24/5,50/1,Brighton v Newcastle
Stefanos Tzimas,18/1,24/5,50/1,Brighton v Newcastle
Ferdi Kadioglu,18/1,24/5,50/1,Brighton v Newcastle
Kaoru Mitoma,22/1,13/2,50/1,Brighton v Newcastle
Brajan Gruda,18/1,17/4,50/1,Brighton v Newcastle
Joelinton,17/2,19/10,28/1,Brighton v Newcastle
Bruno Guimaraes,9/1,11/5,28/1,Brighton v Newcastle
Fabian Schar,9/1,11/5,28/1,Brighton v Newcastle
Anthony Gordon,11/1,5/2,33/1,Brighton v Newcastle
Dan Burn,11/1,5/2,33/1,Brighton v Newcastle
Sandro Tonali,12/1,3/1,33/1,Brighton v Newcastle
Nick Woltemade,14/1,15/4,40/1,Brighton v Newcastle
Joe Willock,14/1,15/4,40/1,Brighton v Newcastle
Malick Thiaw,14/1,15/4,40/1,Brighton v Newcastle
Sven Botman,14/1,4/1,40/1,Brighton v Newcastle
Kieran Trippier,14/1,4/1,40/1,Brighton v Newcastle
William Osula,18/1,24/5,50/1,Brighton v Newcastle
Lewis Miley,18/1,24/5,50/1,Brighton v Newcastle
Nick Pope,18/1,24/5,50/1,Brighton v Newcastle
Harvey Barnes,22/1,13/2,50/1,Brighton v Newcastle
Anthony Elanga,22/1,13/2,50/1,Brighton v Newcastle
Jacob Murphy,22/1,13/2,50/1,Brighton v Newcastle
Will Hughes,9/1,2/1,28/1,Crystal Palace v Bournemouth
Daniel Munoz,9/1,21/10,28/1,Crystal Palace v Bournemouth
Yeremy Pino,10/1,23/10,28/1,Crystal Palace v Bournemouth
Jefferson Lerma,10/1,12/5,33/1,Crystal Palace v Bournemouth
Chris Richards,12/1,16/5,33/1,Crystal Palace v Bournemouth
Eddie Nketiah,12/1,10/3,40/1,Crystal Palace v Bournemouth
Daichi Kamada,12/1,10/3,40/1,Crystal Palace v Bournemouth
Maxence Lacroix,12/1,10/3,40/1,Crystal Palace v Bournemouth
Marc Guehi,12/1,10/3,40/1,Crystal Palace v Bournemouth
Christantus Uche,14/1,18/5,40/1,Crystal Palace v Bournemouth
Nathaniel Clyne,14/1,18/5,40/1,Crystal Palace v Bournemouth
Adam Wharton,14/1,15/4,40/1,Crystal Palace v Bournemouth
Jaydee Canvot,14/1,15/4,40/1,Crystal Palace v Bournemouth
Borna Sosa,16/1,17/4,40/1,Crystal Palace v Bournemouth
Jean-Philippe Mateta,18/1,24/5,50/1,Crystal Palace v Bournemouth
Tyrick Mitchell,18/1,24/5,50/1,Crystal Palace v Bournemouth
Ismaila Sarr,18/1,5/1,50/1,Crystal Palace v Bournemouth
Justin Devenny,18/1,5/1,50/1,Crystal Palace v Bournemouth
Dean Henderson,22/1,13/2,50/1,Crystal Palace v Bournemouth
Marcos Senesi,17/2,15/8,25/1,Crystal Palace v Bournemouth
Alejandro Jimenez,17/2,15/8,25/1,Crystal Palace v Bournemouth
Tyler Adams,9/1,19/10,28/1,Crystal Palace v Bournemouth
Adam Smith,9/1,2/1,28/1,Crystal Palace v Bournemouth
Alex Scott,9/1,2/1,28/1,Crystal Palace v Bournemouth
Veljko Milosavljevic,10/1,23/10,28/1,Crystal Palace v Bournemouth
Julian Araujo,10/1,23/10,28/1,Crystal Palace v Bournemouth
Ryan Christie,10/1,12/5,33/1,Crystal Palace v Bournemouth
Ben Doak,12/1,11/4,33/1,Crystal Palace v Bournemouth
Lewis Cook,12/1,11/4,33/1,Crystal Palace v Bournemouth
Bafode Diakite,12/1,29/10,33/1,Crystal Palace v Bournemouth
Amine Adli,12/1,3/1,33/1,Crystal Palace v Bournemouth
James Hill,12/1,3/1,33/1,Crystal Palace v Bournemouth
Justin Kluivert,12/1,16/5,33/1,Crystal Palace v Bournemouth
Antoine Semenyo,12/1,16/5,33/1,Crystal Palace v Bournemouth
Julio Soler,14/1,17/5,40/1,Crystal Palace v Bournemouth
Marcus Tavernier,14/1,18/5,40/1,Crystal Palace v Bournemouth
Adrien Truffert,14/1,15/4,40/1,Crystal Palace v Bournemouth
Evanilson,14/1,15/4,40/1,Crystal Palace v Bournemouth
Eli Junior Kroupi,16/1,17/4,40/1,Crystal Palace v Bournemouth
David Brooks,16/1,17/4,40/1,Crystal Palace v Bournemouth
Djordje Petrovic,22/1,6/1,50/1,Crystal Palace v Bournemouth
Mateo Kovacic,12/1,17/5,33/1,Man City v Everton
Nicolas Gonzalez,12/1,18/5,40/1,Man City v Everton
Bernardo Silva,14/1,4/1,40/1,Man City v Everton
Matheus Nunes,16/1,24/5,40/1,Man City v Everton
Ruben Dias,16/1,5/1,50/1,Man City v Everton
Tijani Reijnders,18/1,11/2,50/1,Man City v Everton
John Stones,18/1,11/2,50/1,Man City v Everton
Savinho,18/1,13/2,50/1,Man City v Everton
Nico O'Reilly,18/1,13/2,50/1,Man City v Everton
Josko Gvardiol,18/1,13/2,50/1,Man City v Everton
