player names,first card,anytime card,red_card,contest
Aaron Hickey,12/1,3/1,33/1,Brentford v Burnley
Nathan Collins,12/1,17/5,40/1,Brentford v Burnley
Jordan Henderson,12/1,17/5,40/1,Brentford v Burnley
Igor Thiago,12/1,7/2,40/1,Brentford v Burnley
Vitaly Janelt,12/1,7/2,40/1,Brentford v Burnley
Keane Lewis-Potter,14/1,18/5,40/1,Brentford v Burnley
Kristoffer Ajer,14/1,15/4,40/1,Brentford v Burnley
Mathias Jensen,14/1,4/1,40/1,Brentford v Burnley
Kevin Schade,16/1,17/4,40/1,Brentford v Burnley
Dango Ouattara,16/1,17/4,40/1,Brentford v Burnley
Michael Kayode,16/1,23/5,40/1,Brentford v Burnley
Sepp van den Berg,16/1,24/5,40/1,Brentford v Burnley
Mikkel Damsgaard,20/1,6/1,50/1,Brentford v Burnley
Caoimhin Kelleher,28/1,17/2,66/1,Brentford v Burnley
Florentino Luis,17/2,9/5,25/1,Brentford v Burnley
Lesley Ugochukwu,17/2,19/10,28/1,Brentford v Burnley
Josh Cullen,17/2,19/10,28/1,Brentford v Burnley
Josh Laurent,10/1,12/5,33/1,Brentford v Burnley
Axel Tuanzebe,11/1,13/5,33/1,Brentford v Burnley
Kyle Walker,11/1,13/5,33/1,Brentford v Burnley
Jaidon Anthony,12/1,17/5,40/1,Brentford v Burnley
Loum Tchaouna,12/1,17/5,40/1,Brentford v Burnley
Zian Flemming,14/1,15/4,40/1,Brentford v Burnley
Quilindschy Hartman,14/1,15/4,40/1,Brentford v Burnley
Maxime Esteve,14/1,4/1,40/1,Brentford v Burnley
Lyle Foster,14/1,15/4,40/1,Brentford v Burnley
Armando Broja,20/1,6/1,50/1,Brentford v Burnley
Jacob Bruun Larsen,28/1,15/2,50/1,Brentford v Burnley
Bernardo Silva,11/1,10/3,33/1,Man City v Leeds
Nico Gonzalez,12/1,18/5,40/1,Man City v Leeds
Abdukodir Khusanov,12/1,15/4,40/1,Man City v Leeds
Ruben Dias,14/1,17/4,40/1,Man City v Leeds
Savinho,14/1,9/2,40/1,Man City v Leeds
Matheus Nunes,14/1,9/2,40/1,Man City v Leeds
Rayan Ait-Nouri,14/1,23/5,40/1,Man City v Leeds
Nico O'Reilly,16/1,11/2,50/1,Man City v Leeds
Gianluigi Donnarumma,16/1,11/2,50/1,Man City v Leeds
Tijjani Reijnders,18/1,6/1,50/1,Man City v Leeds
Phil Foden,18/1,13/2,50/1,Man City v Leeds
Josko Gvardiol,18/1,13/2,50/1,Man City v Leeds
Omar Marmoush,20/1,7/1,50/1,Man City v Leeds
Rayan Cherki,20/1,7/1,50/1,Man City v Leeds
Erling Haaland,25/1,8/1,66/1,Man City v Leeds
Oscar Bobb,25/1,8/1,66/1,Man City v Leeds
Jeremy Doku,25/1,8/1,66/1,Man City v Leeds
Nathan Ake,25/1,8/1,66/1,Man City v Leeds
John Stones,25/1,8/1,66/1,Man City v Leeds
Rico Lewis,25/1,8/1,66/1,Man City v Leeds
Wilfried Gnonto,15/2,2/1,28/1,Man City v Leeds
Jayden Bogle,15/2,2/1,28/1,Man City v Leeds
Ethan Ampadu,15/2,2/1,28/1,Man City v Leeds
Anton Stach,10/1,11/4,33/1,Man City v Leeds
Ao Tanaka,11/1,16/5,33/1,Man City v Leeds
Lukas Nmecha,12/1,17/5,40/1,Man City v Leeds
Joe Rodon,12/1,18/5,40/1,Man City v Leeds
Dominic Calvert-Lewin,12/1,15/4,40/1,Man City v Leeds
Noah Okafor,12/1,15/4,40/1,Man City v Leeds
Pascal Struijk,12/1,15/4,40/1,Man City v Leeds
Sean Longstaff,12/1,15/4,40/1,Man City v Leeds
Daniel James,14/1,4/1,40/1,Man City v Leeds
Joel Piroe,14/1,23/5,40/1,Man City v Leeds
Gabriel Gudmundsson,14/1,23/5,40/1,Man City v Leeds
Brenden Aaronson,16/1,5/1,50/1,Man City v Leeds
Lucas Perri,20/1,13/2,50/1,Man City v Leeds
Granit Xhaka,11/1,5/2,33/1,Sunderland v Bournemouth
Reinildo Mandava,11/1,13/5,33/1,Sunderland v Bournemouth
Arthur Masuaku,12/1,27/10,33/1,Sunderland v Bournemouth
Daniel Ballard,12/1,14/5,33/1,Sunderland v Bournemouth
Wilson Isidor,12/1,14/5,33/1,Sunderland v Bournemouth
Trai Hume,12/1,14/5,33/1,Sunderland v Bournemouth
Nordi Mukiele,12/1,3/1,33/1,Sunderland v Bournemouth
Noah Sadiki,12/1,3/1,33/1,Sunderland v Bournemouth
Luke O'Nien,14/1,17/5,40/1,Sunderland v Bournemouth
Omar Alderete,14/1,7/2,40/1,Sunderland v Bournemouth
Enzo Le Fee,16/1,4/1,40/1,Sunderland v Bournemouth
Brian Brobbey,16/1,4/1,40/1,Sunderland v Bournemouth
Bertrand Traore,18/1,19/4,40/1,Sunderland v Bournemouth
Lutsharel Geertruida,18/1,24/5,40/1,Sunderland v Bournemouth
Chris Rigg,18/1,24/5,50/1,Sunderland v Bournemouth
Dan Neil,22/1,6/1,50/1,Sunderland v Bournemouth
Simon Adingra,28/1,15/2,50/1,Sunderland v Bournemouth
Robin Roefs,33/1,9/1,66/1,Sunderland v Bournemouth
Anthony Patterson,33/1,9/1,66/1,Sunderland v Bournemouth
Chemsdine Talbi,40/1,10/1,66/1,Sunderland v Bournemouth
Eliezer Mayenda,40/1,12/1,80/1,Sunderland v Bournemouth
