player names,first card,anytime card,red_card,contest
Rodrigo Bentancur,9/1,2/1,28/1,Tottenham v Man Utd
Cristian Romero,9/1,2/1,28/1,Tottenham v Man Utd
Joao Palhinha,10/1,21/10,28/1,Tottenham v Man Utd
Xavi Simons,12/1,29/10,33/1,Tottenham v Man Utd
Richarlison,12/1,3/1,33/1,Tottenham v Man Utd
Pape Sarr,12/1,3/1,33/1,Tottenham v Man Utd
Lucas Bergvall,12/1,3/1,33/1,Tottenham v Man Utd
Micky van de Ven,12/1,16/5,33/1,Tottenham v Man Utd
Mohammed Kudus,14/1,10/3,40/1,Tottenham v Man Utd
Pedro Porro,14/1,10/3,40/1,Tottenham v Man Utd
Kevin Danso,14/1,10/3,40/1,Tottenham v Man Utd
Destiny Udogie,14/1,15/4,40/1,Tottenham v Man Utd
Brennan Johnson,16/1,4/1,40/1,Tottenham v Man Utd
Djed Spence,16/1,4/1,40/1,Tottenham v Man Utd
Randal Kolo Muani,16/1,9/2,40/1,Tottenham v Man Utd
Mathys Tel,16/1,9/2,40/1,Tottenham v Man Utd
Wilson Odobert,22/1,13/2,50/1,Tottenham v Man Utd
Guglielmo Vicario,28/1,7/1,50/1,Tottenham v Man Utd
Benjamin Sesko,13/5,4/11,8/1,Tottenham v Man Utd
Casemiro,17/2,7/4,25/1,Tottenham v Man Utd
Manuel Ugarte,17/2,7/4,25/1,Tottenham v Man Utd
Bruno Fernandes,11/1,12/5,33/1,Tottenham v Man Utd
Harry Maguire,11/1,12/5,33/1,Tottenham v Man Utd
Patrick Dorgu,11/1,12/5,33/1,Tottenham v Man Utd
Luke Shaw,11/1,12/5,33/1,Tottenham v Man Utd
Leny Yoro,11/1,13/5,33/1,Tottenham v Man Utd
Amad Diallo,12/1,11/4,33/1,Tottenham v Man Utd
Mason Mount,12/1,29/10,33/1,Tottenham v Man Utd
Kobbie Mainoo,12/1,16/5,33/1,Tottenham v Man Utd
Diogo Dalot,12/1,16/5,33/1,Tottenham v Man Utd
Matthijs De Ligt,14/1,17/5,40/1,Tottenham v Man Utd
Matheus Cunha,12/1,16/5,33/1,Tottenham v Man Utd
Noussair Mazraoui,14/1,18/5,40/1,Tottenham v Man Utd
Bryan Mbeumo,18/1,5/1,50/1,Tottenham v Man Utd
Senne Lammens,22/1,13/2,50/1,Tottenham v Man Utd
Jack Grealish,11/1,3/1,33/1,Everton v Fulham
James Garner,11/1,3/1,33/1,Everton v Fulham
Tim Iroegbunam,11/1,3/1,33/1,Everton v Fulham
Kiernan Dewsbury-Hall,12/1,15/4,40/1,Everton v Fulham
Jake O'Brien,12/1,15/4,40/1,Everton v Fulham
James Tarkowski,12/1,15/4,40/1,Everton v Fulham
Idrissa Gueye,12/1,15/4,40/1,Everton v Fulham
Thierno Barry,14/1,23/5,40/1,Everton v Fulham
Carlos Alcaraz,14/1,23/5,40/1,Everton v Fulham
Tyler Dibling,14/1,23/5,40/1,Everton v Fulham
Michael Keane,14/1,23/5,40/1,Everton v Fulham
Vitaliy Mykolenko,14/1,23/5,40/1,Everton v Fulham
Iliman Ndiaye,18/1,11/2,50/1,Everton v Fulham
Adam Aznou,18/1,11/2,50/1,Everton v Fulham
Seamus Coleman,18/1,11/2,50/1,Everton v Fulham
Jordan Pickford,18/1,11/2,50/1,Everton v Fulham
Beto,25/1,15/2,50/1,Everton v Fulham
Dwight McNeil,25/1,15/2,50/1,Everton v Fulham
Sasa Lukic,17/2,21/10,28/1,Everton v Fulham
Joachim Andersen,11/1,29/10,33/1,Everton v Fulham
Harry Wilson,12/1,17/5,40/1,Everton v Fulham
Kenny Tete,11/1,29/10,33/1,Everton v Fulham
Kevin,14/1,17/4,40/1,Everton v Fulham
Joshua King,14/1,17/4,40/1,Everton v Fulham
Tom Cairney,14/1,17/4,40/1,Everton v Fulham
Ryan Sessegnon,14/1,17/4,40/1,Everton v Fulham
Sander Berge,14/1,17/4,40/1,Everton v Fulham
Jorge Cuenca,14/1,17/4,40/1,Everton v Fulham
Calvin Bassey,14/1,17/4,40/1,Everton v Fulham
Raul Jimenez,16/1,5/1,50/1,Everton v Fulham
Adama Traore,16/1,5/1,50/1,Everton v Fulham
Alex Iwobi,16/1,5/1,50/1,Everton v Fulham
