player names,first card,anytime card,red_card,contest
Anthony Gordon,10/1,5/2,33/1,Newcastle v Chelsea
Bruno Guimaraes,10/1,5/2,33/1,Newcastle v Chelsea
Joelinton,11/1,13/5,33/1,Newcastle v Chelsea
Fabian Schar,12/1,16/5,33/1,Newcastle v Chelsea
Sandro Tonali,14/1,4/1,40/1,Newcastle v Chelsea
Jacob Ramsey,16/1,17/4,40/1,Newcastle v Chelsea
Lewis Miley,16/1,9/2,40/1,Newcastle v Chelsea
Yoane Wissa,16/1,23/5,40/1,Newcastle v Chelsea
Malick Thiaw,16/1,23/5,40/1,Newcastle v Chelsea
Nick Woltemade,18/1,5/1,50/1,Newcastle v Chelsea
Joe Willock,18/1,5/1,50/1,Newcastle v Chelsea
Lewis Hall,18/1,5/1,50/1,Newcastle v Chelsea
Sven Botman,22/1,13/2,50/1,Newcastle v Chelsea
Anthony Elanga,28/1,17/2,66/1,Newcastle v Chelsea
Aaron Ramsdale,28/1,17/2,66/1,Newcastle v Chelsea
Harvey Barnes,33/1,9/1,66/1,Newcastle v Chelsea
Jacob Murphy,33/1,9/1,66/1,Newcastle v Chelsea
Moises Caicedo,15/2,31/20,22/1,Newcastle v Chelsea
Wesley Fofana,9/1,2/1,28/1,Newcastle v Chelsea
Enzo Fernandez,10/1,9/4,28/1,Newcastle v Chelsea
Marc Cucurella,10/1,12/5,33/1,Newcastle v Chelsea
Malo Gusto,10/1,12/5,33/1,Newcastle v Chelsea
Pedro Neto,12/1,29/10,33/1,Newcastle v Chelsea
Estevao,12/1,16/5,40/1,Newcastle v Chelsea
Andrey Santos,10/1,12/5,33/1,Newcastle v Chelsea
Reece James,12/1,16/5,40/1,Newcastle v Chelsea
Trevoh Chalobah,12/1,16/5,40/1,Newcastle v Chelsea
Tosin Adarabioyo,12/1,16/5,40/1,Newcastle v Chelsea
Cole Palmer,14/1,18/5,40/1,Newcastle v Chelsea
Joao Pedro,14/1,18/5,40/1,Newcastle v Chelsea
Alejandro Garnacho,14/1,18/5,40/1,Newcastle v Chelsea
Benoit Badiashile,14/1,18/5,40/1,Newcastle v Chelsea
Jorrel Hato,12/1,29/10,33/1,Newcastle v Chelsea
Josh Acheampong,16/1,17/4,40/1,Newcastle v Chelsea
Robert Sanchez,16/1,17/4,40/1,Newcastle v Chelsea
Marc Guiu,14/1,18/5,40/1,Newcastle v Chelsea
Jamie Gittens,18/1,5/1,50/1,Newcastle v Chelsea
Marcos Senesi,10/1,5/2,33/1,Bournemouth v Burnley
Tyler Adams,11/1,14/5,33/1,Bournemouth v Burnley
Julian Araujo,11/1,14/5,33/1,Bournemouth v Burnley
David Brooks,11/1,3/1,33/1,Bournemouth v Burnley
Alex Scott,11/1,3/1,33/1,Bournemouth v Burnley
Justin Kluivert,12/1,10/3,33/1,Bournemouth v Burnley
Adam Smith,12/1,10/3,33/1,Bournemouth v Burnley
Amine Adli,12/1,18/5,40/1,Bournemouth v Burnley
Bafode Diakite,14/1,15/4,40/1,Bournemouth v Burnley
Antoine Semenyo,14/1,17/4,40/1,Bournemouth v Burnley
Alejandro Jimenez,16/1,24/5,40/1,Bournemouth v Burnley
James Hill,16/1,24/5,40/1,Bournemouth v Burnley
Evanilson,18/1,5/1,50/1,Bournemouth v Burnley
Enes Unal,18/1,5/1,50/1,Bournemouth v Burnley
Adrien Truffert,18/1,5/1,50/1,Bournemouth v Burnley
Marcus Tavernier,18/1,6/1,50/1,Bournemouth v Burnley
Julio Soler,18/1,6/1,50/1,Bournemouth v Burnley
Eli Junior Kroupi,16/1,24/5,40/1,Bournemouth v Burnley
Djordje Petrovic,33/1,9/1,66/1,Bournemouth v Burnley
