player names,first card,anytime card,red_card,contest
Alex Jimenez,9/1,9/5,25/1,Bournemouth v Fulham
Marcos Senesi,10/1,2/1,28/1,Bournemouth v Fulham
Ryan Christie,11/1,23/10,33/1,Bournemouth v Fulham
Alex Scott,11/1,23/10,33/1,Bournemouth v Fulham
Veljko Milosavljevic,11/1,23/10,33/1,Bournemouth v Fulham
Tyler Adams,11/1,23/10,33/1,Bournemouth v Fulham
Ben Doak,12/1,5/2,33/1,Bournemouth v Fulham
Justin Kluivert,12/1,14/5,33/1,Bournemouth v Fulham
Amine Adli,12/1,14/5,33/1,Bournemouth v Fulham
Bafode Diakite,14/1,3/1,33/1,Bournemouth v Fulham
James Hill,14/1,3/1,33/1,Bournemouth v Fulham
Julio Soler,14/1,3/1,33/1,Bournemouth v Fulham
Antoine Semenyo,14/1,3/1,33/1,Bournemouth v Fulham
Evanilson,16/1,15/4,40/1,Bournemouth v Fulham
Marcus Tavernier,16/1,15/4,40/1,Bournemouth v Fulham
Adrien Truffert,16/1,15/4,40/1,Bournemouth v Fulham
David Brooks,16/1,15/4,40/1,Bournemouth v Fulham
Romain Faivre,20/1,5/1,50/1,Bournemouth v Fulham
Eli Junior Kroupi,18/1,9/2,40/1,Bournemouth v Fulham
Sasa Lukic,15/2,13/10,20/1,Bournemouth v Fulham
Joachim Andersen,17/2,6/4,22/1,Bournemouth v Fulham
Sander Berge,11/1,21/10,28/1,Bournemouth v Fulham
Kenny Tete,12/1,23/10,33/1,Bournemouth v Fulham
Calvin Bassey,12/1,23/10,33/1,Bournemouth v Fulham
Harry Wilson,12/1,13/5,33/1,Bournemouth v Fulham
Harrison Reed,12/1,13/5,33/1,Bournemouth v Fulham
Jorge Cuenca,12/1,13/5,33/1,Bournemouth v Fulham
Ryan Sessegnon,14/1,29/10,33/1,Bournemouth v Fulham
Timothy Castagne,14/1,29/10,33/1,Bournemouth v Fulham
Raul Jimenez,14/1,10/3,40/1,Bournemouth v Fulham
Rodrigo Muniz,14/1,10/3,40/1,Bournemouth v Fulham
Joshua King,16/1,15/4,40/1,Bournemouth v Fulham
Adama Traore,14/1,10/3,40/1,Bournemouth v Fulham
Tom Cairney,16/1,15/4,40/1,Bournemouth v Fulham
Bernd Leno,18/1,9/2,40/1,Bournemouth v Fulham
Emile Smith Rowe,22/1,11/2,50/1,Bournemouth v Fulham
Alex Iwobi,22/1,11/2,50/1,Bournemouth v Fulham
Jayden Bogle,17/2,2/1,28/1,Leeds v Tottenham
Anton Stach,10/1,5/2,33/1,Leeds v Tottenham
Ethan Ampadu,10/1,5/2,33/1,Leeds v Tottenham
Jaka Bijol,10/1,12/5,33/1,Leeds v Tottenham
Ilia Gruev,11/1,11/4,33/1,Leeds v Tottenham
James Justin,12/1,16/5,33/1,Leeds v Tottenham
Ao Tanaka,14/1,18/5,40/1,Leeds v Tottenham
Sebastiaan Bornauw,14/1,18/5,40/1,Leeds v Tottenham
Pascal Struijk,14/1,15/4,40/1,Leeds v Tottenham
Dominic Calvert-Lewin,14/1,4/1,40/1,Leeds v Tottenham
Lukas Nmecha,14/1,4/1,40/1,Leeds v Tottenham
Joe Rodon,14/1,4/1,40/1,Leeds v Tottenham
Sean Longstaff,14/1,17/4,40/1,Leeds v Tottenham
Gabriel Gudmundsson,14/1,17/4,40/1,Leeds v Tottenham
Joel Piroe,20/1,6/1,50/1,Leeds v Tottenham
Noah Okafor,20/1,6/1,50/1,Leeds v Tottenham
Brenden Aaronson,22/1,7/1,50/1,Leeds v Tottenham
Karl Darlow,22/1,7/1,50/1,Leeds v Tottenham
Jack Harrison,28/1,17/2,66/1,Leeds v Tottenham
Rodrigo Bentancur,15/2,17/10,25/1,Leeds v Tottenham
Cristian Romero,9/1,9/4,28/1,Leeds v Tottenham
Joao Palhinha,9/1,23/10,28/1,Leeds v Tottenham
