player names,first card,anytime card,red_card,contest
Lucas Paqueta,15/2,29/20,22/1,West Ham v Chelsea
Tomas Soucek,10/1,9/4,28/1,West Ham v Chelsea
Freddie Potts,10/1,9/4,28/1,West Ham v Chelsea
Guido Rodriguez,10/1,9/4,28/1,West Ham v Chelsea
El Hadji Malick Diouf,12/1,11/4,33/1,West Ham v Chelsea
Andy Irving,12/1,11/4,33/1,West Ham v Chelsea
Konstantinos Mavropanos,11/1,5/2,33/1,West Ham v Chelsea
Jean-Clair Todibo,12/1,11/4,33/1,West Ham v Chelsea
Callum Wilson,12/1,3/1,33/1,West Ham v Chelsea
James Ward-Prowse,12/1,3/1,33/1,West Ham v Chelsea
Oliver Scarles,12/1,3/1,33/1,West Ham v Chelsea
Nayef Aguerd,14/1,17/5,40/1,West Ham v Chelsea
Aaron Wan-Bissaka,14/1,17/5,40/1,West Ham v Chelsea
Maximilian Kilman,14/1,18/5,40/1,West Ham v Chelsea
Luis Guilherme,14/1,15/4,40/1,West Ham v Chelsea
Kyle Walker-Peters,14/1,15/4,40/1,West Ham v Chelsea
Jarrod Bowen,18/1,5/1,50/1,West Ham v Chelsea
Niclas Fullkrug,18/1,5/1,50/1,West Ham v Chelsea
Mads Hermansen,22/1,6/1,50/1,West Ham v Chelsea
Moises Caicedo,17/2,9/5,25/1,West Ham v Chelsea
Liam Delap,11/1,12/5,33/1,West Ham v Chelsea
Enzo Fernandez,11/1,12/5,33/1,West Ham v Chelsea
Marc Cucurella,11/1,12/5,33/1,West Ham v Chelsea
Wesley Fofana,11/1,12/5,33/1,West Ham v Chelsea
Andrey Santos,12/1,3/1,33/1,West Ham v Chelsea
Reece James,12/1,3/1,33/1,West Ham v Chelsea
Estevao,14/1,17/5,40/1,West Ham v Chelsea
Pedro Neto,14/1,17/5,40/1,West Ham v Chelsea
Tosin Adarabioyo,14/1,17/5,40/1,West Ham v Chelsea
Jorrel Hato,14/1,17/5,40/1,West Ham v Chelsea
Malo Gusto,14/1,17/5,40/1,West Ham v Chelsea
Trevoh Chalobah,14/1,15/4,40/1,West Ham v Chelsea
Josh Acheampong,14/1,15/4,40/1,West Ham v Chelsea
Joao Pedro,16/1,17/4,40/1,West Ham v Chelsea
Cole Palmer,16/1,23/5,40/1,West Ham v Chelsea
Jamie Gittens,18/1,5/1,50/1,West Ham v Chelsea
Robert Sanchez,22/1,6/1,50/1,West Ham v Chelsea
Nico Gonzalez,11/1,14/5,33/1,Man City v Tottenham
Bernardo Silva,12/1,10/3,33/1,Man City v Tottenham
Rayan Ait-Nouri,12/1,17/5,40/1,Man City v Tottenham
Rico Lewis,14/1,17/4,40/1,Man City v Tottenham
Matheus Nunes,14/1,17/4,40/1,Man City v Tottenham
Ruben Dias,14/1,17/4,40/1,Man City v Tottenham
Tijani Reijnders,16/1,5/1,50/1,Man City v Tottenham
Manuel Akanji,16/1,5/1,50/1,Man City v Tottenham
Erling Haaland,18/1,11/2,50/1,Man City v Tottenham
Omar Marmoush,18/1,11/2,50/1,Man City v Tottenham
Ilkay Gundogan,18/1,11/2,50/1,Man City v Tottenham
Josko Gvardiol,18/1,11/2,50/1,Man City v Tottenham
Rayan Cherki,20/1,6/1,50/1,Man City v Tottenham
John Stones,22/1,7/1,50/1,Man City v Tottenham
Jeremy Doku,25/1,8/1,50/1,Man City v Tottenham
Phil Foden,28/1,17/2,66/1,Man City v Tottenham
Oscar Bobb,28/1,17/2,66/1,Man City v Tottenham
Rodrigo Bentancur,11/2,23/20,18/1,Man City v Tottenham
Joao Palhinha,6/1,11/8,20/1,Man City v Tottenham
Cristian Romero,15/2,17/10,25/1,Man City v Tottenham
Pape Sarr,9/1,21/10,28/1,Man City v Tottenham
