player names,first card,anytime card,red_card,contest
Facundo Buonanotte,11/1,29/10,33/1,Chelsea v Sunderland
Moises Caicedo,11/1,29/10,33/1,Chelsea v Sunderland
Enzo Fernandez,12/1,3/1,33/1,Chelsea v Sunderland
Romeo Lavia,14/1,15/4,40/1,Chelsea v Sunderland
Tosin Adarabioyo,14/1,4/1,40/1,Chelsea v Sunderland
Jorrel Hato,14/1,4/1,40/1,Chelsea v Sunderland
Marc Cucurella,14/1,17/4,40/1,Chelsea v Sunderland
Estevao,16/1,19/4,40/1,Chelsea v Sunderland
Josh Acheampong,16/1,19/4,40/1,Chelsea v Sunderland
Pedro Neto,18/1,5/1,50/1,Chelsea v Sunderland
Trevoh Chalobah,18/1,5/1,50/1,Chelsea v Sunderland
Reece James,18/1,5/1,50/1,Chelsea v Sunderland
Joao Pedro,18/1,11/2,50/1,Chelsea v Sunderland
Robert Sanchez,18/1,11/2,50/1,Chelsea v Sunderland
Alejandro Garnacho,18/1,11/2,50/1,Chelsea v Sunderland
Marc Guiu,22/1,7/1,50/1,Chelsea v Sunderland
Tyrique George,22/1,7/1,50/1,Chelsea v Sunderland
Jamie Gittens,22/1,7/1,50/1,Chelsea v Sunderland
Arthur Masuaku,9/1,11/5,28/1,Chelsea v Sunderland
Daniel Ballard,9/1,23/10,28/1,Chelsea v Sunderland
Granit Xhaka,9/1,23/10,28/1,Chelsea v Sunderland
Nordi Mukiele,10/1,12/5,33/1,Chelsea v Sunderland
Noah Sadiki,10/1,5/2,33/1,Chelsea v Sunderland
Wilson Isidor,11/1,11/4,33/1,Chelsea v Sunderland
Brian Brobbey,11/1,11/4,33/1,Chelsea v Sunderland
Trai Hume,10/1,5/2,33/1,Chelsea v Sunderland
Bertrand Traore,12/1,3/1,33/1,Chelsea v Sunderland
Omar Alderete,12/1,3/1,33/1,Chelsea v Sunderland
Dan Neil,14/1,15/4,40/1,Chelsea v Sunderland
