player names,first card,anytime card,red_card,contest
Lesley Ugochukwu,10/1,14/5,33/1,Burnley v Newcastle
Josh Cullen,10/1,14/5,33/1,Burnley v Newcastle
Florentino Luis,9/1,13/5,33/1,Burnley v Newcastle
Kyle Walker,10/1,3/1,33/1,Burnley v Newcastle
Lucas Pires,10/1,3/1,33/1,Burnley v Newcastle
Josh Laurent,11/1,10/3,40/1,Burnley v Newcastle
Zian Flemming,12/1,4/1,40/1,Burnley v Newcastle
Jaidon Anthony,14/1,9/2,40/1,Burnley v Newcastle
Marcus Edwards,14/1,9/2,40/1,Burnley v Newcastle
Loum Tchaouna,14/1,9/2,40/1,Burnley v Newcastle
Hjalmar Ekdal,12/1,18/5,40/1,Burnley v Newcastle
Bashir Humphreys,14/1,9/2,40/1,Burnley v Newcastle
Mike Tresor,18/1,13/2,50/1,Burnley v Newcastle
Armando Broja,18/1,13/2,50/1,Burnley v Newcastle
Jacob Bruun Larsen,22/1,15/2,50/1,Burnley v Newcastle
Martin Dubravka,22/1,15/2,50/1,Burnley v Newcastle
Bruno Guimaraes,9/1,27/10,33/1,Burnley v Newcastle
Fabian Schar,10/1,29/10,33/1,Burnley v Newcastle
Joelinton,10/1,3/1,33/1,Burnley v Newcastle
Yoane Wissa,12/1,15/4,40/1,Burnley v Newcastle
Anthony Gordon,12/1,15/4,40/1,Burnley v Newcastle
Sandro Tonali,12/1,17/4,40/1,Burnley v Newcastle
Jacob Ramsey,14/1,23/5,40/1,Burnley v Newcastle
Joe Willock,16/1,5/1,50/1,Burnley v Newcastle
Lewis Miley,16/1,5/1,50/1,Burnley v Newcastle
Malick Thiaw,16/1,5/1,50/1,Burnley v Newcastle
Lewis Hall,16/1,5/1,50/1,Burnley v Newcastle
Nick Woltemade,16/1,11/2,50/1,Burnley v Newcastle
Jacob Murphy,16/1,11/2,50/1,Burnley v Newcastle
Nick Pope,20/1,7/1,50/1,Burnley v Newcastle
Harvey Barnes,25/1,17/2,66/1,Burnley v Newcastle
Aaron Ramsdale,20/1,7/1,50/1,Burnley v Newcastle
Moises Caicedo,9/1,7/4,25/1,Chelsea v Bournemouth
Enzo Fernandez,11/1,23/10,28/1,Chelsea v Bournemouth
Wesley Fofana,11/1,23/10,28/1,Chelsea v Bournemouth
